paper_id,category,fractional_weight
275,Operation of the Antarctic Treaty system Reports,1.0
278,Environmental Impact Assessment EIA Other EIA Matters,1.0
282,Science issues,1.0
285,Marine Acoustics,1.0
286,Climate Change,0.5
286,Environmental Protection General,0.5
287,Operation of the Antarctic Treaty system Reports,0.5
287,Science issues,0.5
288,Operation of the Antarctic Treaty system General,1.0
289,Management Plans,1.0
290,Comprehensive Environmental Evaluations,1.0
291,Comprehensive Environmental Evaluations,1.0
295,Exchange of Information,1.0
296,Management Plans,1.0
297,Management Plans,1.0
298,Inspections,1.0
299,Tourism and NG_Activities,1.0
300,Environmental Monitoring and Reporting,0.5
300,Tourism and NG_Activities,0.5
301,Cooperation with Other Organisations,1.0
302,Management Plans,1.0
303,Management Plans,1.0
304,Management Plans,1.0
305,Management Plans,1.0
306,Environmental Domains Analysis,0.3333333333333333
306,Environmental Protection General,0.3333333333333333
306,Operation of the Antarctic Treaty system Reports,0.3333333333333333
307,Environmental Impact Assessment EIA Other EIA Matters,0.5
307,Tourism and NG_Activities,0.5
309,CEP Strategy Discussions,1.0
310,Science issues,1.0
311,Inspections,1.0
312,Environmental Protection General,0.5
312,Operation of the Antarctic Treaty system Reports,0.5
313,Marine Protected Areas,1.0
315,Marine Acoustics,1.0
316,Environmental Protection General,0.5
316,Operation of the Antarctic Treaty system General,0.5
317,Inspections,1.0
319,Exchange of Information,1.0
320,International Polar Year,0.5
320,Sub glacial Lakes,0.5
321,Management Plans,1.0
322,Site Guidelines for Visitors,0.5
322,Tourism and NG_Activities,0.5
323,Search and Rescue,0.5
323,Tourism and NG_Activities,0.5
324,Operational issues,1.0
325,Management Plans,1.0
326,Environmental Protection General,0.5
326,Science issues,0.5
327,Fauna and Flora_General,0.5
327,Specially Protected Species,0.5
328,Specially Protected Species,1.0
329,Climate Change,1.0
330,Environmental Monitoring and Reporting,1.0
331,Exchange of Information,1.0
332,Environmental Protection General,1.0
333,Environmental Protection General,1.0
334,Science issues,1.0
336,Management Plans,1.0
337,Management Plans,1.0
339,Drilling,1.0
341,Operation of the Antarctic Treaty system Reports,1.0
343,International Polar Year,1.0
344,Environmental Monitoring and Reporting,1.0
345,Environmental Monitoring and Reporting,1.0
346,Exchange of Information,1.0
347,International Polar Year,0.5
347,Science issues,0.5
349,Operation of the Antarctic Treaty system Reports,1.0
350,Area Protection and Management Plans General,0.5
350,Inspections,0.5
351,Environmental Protection General,0.5
351,Waste management and disposal,0.5
352,Exchange of Information,1.0
353,Fauna and Flora_General,1.0
354,Environmental Protection General,1.0
355,Waste management and disposal,1.0
356,Educational issues,1.0
357,Nonnative Species and Quarantine,1.0
358,Nonnative Species and Quarantine,0.5
358,Prevention of marine pollution,0.5
360,Cooperation with Other Organisations,0.5
360,Marine Protected Areas,0.5
