paper_id,archive_categories,category_count,primary_concern,assignment_method,conditional_information,conditional_probability,marginal_idf,runner_up,runner_up_information,information_margin,full_bundle_support,remainder_support,conditional_tie_count,collector_first_match,matches_collector_first_match
12808,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
12809,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
12828,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
12870,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
12927,Area Protection and Management Plans General	Safety and Operations in Antarctica,2,Safety and Operations in Antarctica,conditional_information,4.833632898779901,0.007957559681697613,2.8611364848736818,Area Protection and Management Plans General,4.830976854721785,0.002656044058116258,3,377,1,Area Protection and Management Plans General,False
12972,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
12974,Area Protection and Management Plans General	Tourism and NG_Activities,2,Area Protection and Management Plans General,conditional_information,4.448516375942715,0.011695906432748537,2.8584804408155655,Tourism and NG_Activities,3.8528036457681747,0.5957127301745402,8,684,1,Area Protection and Management Plans General,True
13011,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
13013,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
13015,Area Protection and Management Plans General,1,Area Protection and Management Plans General,single_archive_category,2.8584804408155655,0.057355849688118056,2.8584804408155655,,,,377,6573,1,Area Protection and Management Plans General,True
12866,Biological Prospecting	Science issues,2,Biological Prospecting,conditional_information,5.917548864157814,0.0026917900403768506,4.783392443031105,Science issues,3.3141860046725258,2.603362859485288,2,743,1,Biological Prospecting,True
12811,Climate Change	Environmental Monitoring and Reporting,2,Climate Change,conditional_information,3.9473901492654373,0.019305019305019305,3.458006834998207,Environmental Monitoring and Reporting,3.7232808808312687,0.22410926843416856,5,259,1,Climate Change,True
12816,Climate Change	Safety and Operations in Antarctica,2,Climate Change,conditional_information,4.543294782270004,0.010638297872340425,3.458006834998207,Safety and Operations in Antarctica,3.9464244321454784,0.5968703501245254,4,376,1,Climate Change,True
12861,Climate Change	Science issues,2,Climate Change,conditional_information,3.31485917871343,0.03633916554508748,3.458006834998207,Science issues,2.03688192726104,1.27797725145239,27,743,1,Climate Change,True
12900,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
12926,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
12930,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
12963,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
12991,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
12995,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
13020,Climate Change,1,Climate Change,single_archive_category,3.458006834998207,0.0314924691921497,3.458006834998207,,,,207,6573,1,Climate Change,True
12830,Cooperation with Other Organisations	Operation of the Antarctic Treaty system Reports,2,Cooperation with Other Organisations,conditional_information,2.147709512808839,0.116751269035533,3.462849459473995,Operation of the Antarctic Treaty system Reports,1.499234772300486,0.6484747405083529,46,394,1,Cooperation with Other Organisations,True
12793,Cooperation with Other Organisations	Operation of the Antarctic Treaty system Reports,2,Cooperation with Other Organisations,conditional_information,2.147709512808839,0.116751269035533,3.462849459473995,Operation of the Antarctic Treaty system Reports,1.499234772300486,0.6484747405083529,46,394,1,Cooperation with Other Organisations,True
12801,Cooperation with Other Organisations	Operation of the Antarctic Treaty system Reports,2,Cooperation with Other Organisations,conditional_information,2.147709512808839,0.116751269035533,3.462849459473995,Operation of the Antarctic Treaty system Reports,1.499234772300486,0.6484747405083529,46,394,1,Cooperation with Other Organisations,True
