topic,space_coord,x_plot,region_id,is_region_anchor,mds_x,mds_y,mds_z,weighted_degree
Area Protection and Management Plans General,0.2112252331691105,0.5004157993437484,2,False,0.0008315986874967152,0.4598768221248528,-0.030894643942786293,12.000926261649813
Biological Prospecting,-0.4419373765024202,0.2728040707719594,2,False,-0.4543918584560811,-0.13830065744946474,-0.2558914015825703,9.859210690203003
CEP Strategy Discussions,0.3972066554451192,0.5652259283677754,3,False,0.13045185673555082,0.015997764721593644,-0.3251380700831371,10.678423227425576
Climate Change,-0.1340839193527708,0.3800837228694225,2,False,-0.23983255426115502,-0.1968952247874204,-0.7458929345094472,9.442531551399385
Comprehensive Environmental Evaluations,-0.4095273350631356,0.2840982040334893,2,False,-0.4318035919330214,0.5356329495928556,0.6073509186593029,11.76362354897158
Cooperation with Other Organisations,-0.3301490903760204,0.311759645788881,2,False,-0.376480708422238,-0.2382329786592351,-1.0,6.25331165747174
Drilling,0.8033113114200827,0.706743800577266,3,False,0.4134876011545321,0.059293273481644704,1.0,7.2844255556135025
Educational issues,-1.224785518434747,0.0,1,False,-1.0,-0.14822865567649368,0.016084476807850745,9.675066312997348
Emergency report and contingency planning,0.1280744210110086,0.4714397070089904,2,False,-0.05712058598201919,0.5040659360151016,0.02884059030890307,10.185590662673507
Environmental Domains Analysis,1.6448495999749042,1.0,3,False,1.0,-0.2864999777920306,-0.34998367567859356,5.510895012517464
Environmental Impact Assessment EIA Other EIA Matters,-0.477088748254896,0.2605546487018962,2,False,-0.4788907025962076,0.02177026870935861,0.44917580485052255,12.745464190981432
Environmental Monitoring and Reporting,-0.6832459090036015,0.1887137517787509,1,False,-0.6225724964424981,-0.1992145713238619,0.26830205577411914,10.662546017201189
Environmental Protection General,-0.4729289734131545,0.2620042318963083,2,False,-0.47599153620738344,0.131027165829952,0.13824771778328637,13.20737400530504
Exchange of Information,-0.9045666995994536,0.1115886883252106,1,True,-0.7768226233495787,0.2803424570533366,0.3229871555779089,11.824537416606383
Fauna and Flora_General,-0.3419856514758713,0.3076348840643275,2,False,-0.38473023187134503,0.2097883612870155,-0.4740954927295814,11.071340610654426
Historic Sites and Monuments,0.1593626198760352,0.4823429046539811,2,False,-0.035314190692037783,0.4367495637684682,0.2989922673814236,11.768855963615758
Human Footprint and wilderness values,0.3736812174628915,0.5570278693771726,3,False,0.11405573875434527,0.6349405205290153,0.01430516437519791,12.05570206891788
Inspections,-0.2264522496201977,0.347895543377593,2,True,-0.3042089132448139,0.37119374050106924,0.44189034939344696,13.77664257400192
Institutional and legal matters,0.0166359799297504,0.4326060447198917,2,False,-0.13478791056021655,0.20289766615759341,0.20386463472928362,11.601036825794752
International Polar Year,-0.3488926931337255,0.3052279433304539,2,False,-0.3895441133390921,-0.55063069881601,0.3286223467044016,9.671906768634376
Liability,-0.1942072652403403,0.3591321581558954,2,False,-0.2817356836882091,0.18221558450733988,0.15555265909059868,11.199604408971336
Management Plans,-0.2577703997960199,0.3369819084088453,2,False,-0.3260361831823094,0.4708234869064851,0.19861004893590972,12.929499280567125
Marine Acoustics,1.0298722718286557,0.7856949393318449,3,False,0.5713898786636897,-0.2523497900973495,-0.18563976564243356,8.827924109388826
Marine Protected Areas,0.0641378825470576,0.449159334827253,2,False,-0.10168133034549387,1.0,0.0912826833694953,11.0653136827942
Marine living resources,0.5178293757982102,0.6072600948648526,3,False,0.2145201897297051,0.7558682116918591,0.42267692434526816,10.771804446932022
Mineral resources,0.3497626442026537,0.5486928120359824,3,False,0.09738562407196483,0.8126293633243249,0.6175304183547743,9.326544290229302
Multiyear strategic workplan,0.9574516466375907,0.7604580634912677,3,False,0.5209161269825353,0.11544591567145424,0.7636323885007614,9.078016597117697
Nonnative Species and Quarantine,-0.1664942994508747,0.3687894715933,2,False,-0.2624210568133999,0.25067998282031034,-0.11137567189795472,12.816575515691028
Opening statements,-1.0159051367967675,0.072789875025554,1,False,-0.854420249948892,-0.08794513690986527,0.47231461865603985,10.344827586206897
Operation of the Antarctic Treaty system General,-0.7232621068853018,0.1747690528081454,1,False,-0.650461894383709,0.11178077985027701,0.5053481338799612,11.013262599469495
Operation of the Antarctic Treaty system Reports,-0.6558721545130007,0.1982528580975261,1,False,-0.6034942838049477,0.1927847424962088,-0.5729407745747856,10.251006349971867
Operation of the Antarctic Treaty system The Secretariat,-0.869182845307452,0.1239191250643634,1,False,-0.7521617498712732,0.49429948076601926,0.3371541549799708,9.71337337993845
Operation of the CEP,0.8061085330261665,0.7077185661800908,3,True,0.41543713236018154,0.05343492826387042,0.22422215115905964,9.27016502254492
Operational issues,-0.5926031855416222,0.2203005980925824,1,False,-0.5593988038148352,0.25301746920797386,0.3113789704569261,12.470277224288113
Prevention of marine pollution,-0.0563468623216594,0.4071732495247113,2,False,-0.1856535009505773,0.7994053323344747,-0.21037683373093297,7.937317798774775
Repair and remediation of environmental damage,0.1485079878640144,0.4785603220035303,2,False,-0.04287935599293935,0.3914106850693553,0.3491175948879395,12.10903503243847
Safety and Operations in Antarctica,-0.4788076223160047,0.2599556617261369,2,False,-0.48008867654772613,0.31817518552338986,0.11190955234717759,10.558336017208655
Science issues,-1.0611708974648983,0.0570158275246239,1,False,-0.885968344950752,-0.5611928362160736,0.34618050744576645,8.970070733863837
Search and Rescue,0.4345246074566192,0.5782303524397047,3,False,0.15646070487940933,0.6765178089356356,-0.07612367508616347,10.027688689730965
Site Guidelines for Visitors,0.4439202173916774,0.5815045003879167,3,False,0.16300900077583336,0.8748916970896736,-0.3748958416951824,8.934033706083722
Specially Protected Species,0.5508368988700214,0.6187624363507289,3,False,0.23752487270145783,0.26015365454753536,-0.012696055945104145,10.40388284902884
State of the Antarctic Environment Report SAER,1.3964970726824937,0.913455015343537,3,False,0.826910030687074,-0.19643882764497123,-0.07363437088491387,6.981221182113143
Sub glacial Lakes,1.1767782145132744,0.8368881874706654,3,False,0.6737763749413308,-1.0,0.7945136922064737,3.7835813382968286
Tourism and NG_Activities,0.5977218460389705,0.6351007320692914,3,False,0.2702014641385828,0.7077064422571444,0.08620230923280503,9.815688448592793
Waste management and disposal,-0.1410292972823702,0.377663422851123,2,False,-0.24467315429775394,0.14763822521896364,0.6416306507709759,12.239334872628884
