actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca
Malaysia,41,4,-1.0261122533851503,0.0692329361928428,0.0570158275246239,0.1852840687449767,1.0035810368320326,1,1.0,1,0.0,Educational issues,,1.0,0.0,0.0,1,0.0692329361928428,0.0478667614864112,0.0645671178040436,1.6282079851359526,0.8141039925679763,4,0.8141039925679763,0.387481948580996,2.580765384457563,0.4736184812921484,0.3213542010125439,Science issues
Estonia,19,4,-0.9571974093604988,0.0932481301743147,0.0,0.3029565956921501,0.4869113951333746,1,0.8966911871731358,2,0.0,Educational issues,0.2203005980925824,0.8966911871731358,0.1033088128268641,0.0,1,0.0932481301743147,0.0961805857071428,0.1055732116423388,1.7583577117047715,0.8791788558523858,4,0.8791788558523858,0.3459790691047078,2.890348258892384,0.5364743776504246,0.4174984557344564,Educational issues
Switzerland,56,3,-0.8528439759095382,0.1296128347952955,0.1887137517787509,0.1763861018536923,-0.0941829621872594,1,1.0,2,0.1887137517787509,Environmental Monitoring and Reporting,0.1159238767531969,1.0,0.0,0.0,6,0.1296128347952956,0.0611900065666208,0.0614663866922026,1.4722520207385497,0.9288876046396536,3,0.9288876046396536,0.3873586131863271,2.5815871029024478,0.5101317340480442,0.4049393314180609,Environmental Monitoring and Reporting
Bulgaria,9,9,-0.8305842979407747,0.1373698063440337,0.1115886883252106,0.4297022299677465,1.0768377392422528,1,0.8051076836943315,1,0.0,Educational issues,,0.8051076836943315,0.1948923163056685,0.0,1,0.1373698063440337,0.123089545071013,0.1497410688944618,3.112544143051039,0.9818983545777378,13,0.8411281847916763,0.1662020037870527,6.016774630956049,0.9137658909681536,0.6698414950457944,Educational issues
IOC,29,3,-0.6443273412256892,0.2022759526063881,0.1982528580975261,0.2025629564736569,-0.17820426794385,1,0.8129776615370174,2,0.1982528580975261,Operation of the Antarctic Treaty system Reports,0.1135067876913548,0.8129776615370174,0.1870223384629825,0.0,5,0.2022759526063881,0.0444289458315576,0.0705884017010208,1.2869439351287573,0.8119712198510686,3,0.8119712198510686,0.4809179042599857,2.079356977858318,0.5564622909529743,0.3366426721783034,Operation of the Antarctic Treaty system Reports
Portugal,48,7,-0.5591297295898747,0.2319653061723672,0.1887137517787509,0.6499318424838739,0.5751928967768016,1,0.7646677864226951,1,0.0,Educational issues,,0.7646677864226951,0.0542550846332959,0.1810771289440091,1,0.2319653061723672,0.1916076575993565,0.2264858825828928,2.8207873676494484,1.0047847336602524,11,0.8153904105092799,0.1910444603794616,5.234383650872431,1.0835950778017334,0.8974247639075075,Educational issues
UNEP,58,9,-0.4475939329824753,0.2708328945608215,0.2728040707719594,0.2361152019513203,-0.3019001444354725,2,0.9190417135852852,1,0.2728040707719594,Biological Prospecting,,0.0809582864147148,0.9190417135852852,0.0,11,0.2708328945608216,0.0425996328699667,0.0822805660679867,2.4193554382971474,0.7632216652432924,11,0.6993505595726024,0.3075016665104201,3.2520148958806168,0.8353685033341718,0.5702925771470586,Biological Prospecting
ACAP,0,3,-0.3777704429599183,0.2951647301919846,0.311759645788881,0.1116778942473486,-2.0836203165642337,2,0.8790239040425727,1,0.311759645788881,Cooperation with Other Organisations,,0.1209760959574272,0.8790239040425727,0.0,4,0.2951647301919846,0.0268745835460863,0.038917106056759,1.267108295772837,0.7994563248003055,3,0.7994563248003055,0.4896280258074313,2.0423667504549585,0.4274474302023622,0.2865985456560931,Cooperation with Other Organisations
Poland,47,11,-0.2957953297740981,0.3237311192286684,0.3687894715933,0.4605919406345019,-0.4324020690598889,2,0.776155560448017,5,0.0,Educational issues,0.3687894715933,0.1533411146972985,0.776155560448017,0.0705033248546843,10,0.3237311192286683,0.1288305250863218,0.160505402822698,3.7550664830239295,1.085457640727434,18,0.900511755421287,0.096759349502306,10.334918590747325,1.0947359767928833,0.8744879123865607,Management Plans
IUCN,33,10,-0.2937886506056521,0.3244303994805626,0.3591321581558954,0.3382675714260559,-0.6009041922415163,2,0.7793969481137133,7,0.4326060447198917,Institutional and legal matters,0.0525223218504692,0.2206030518862868,0.7793969481137133,0.0,8,0.3244303994805626,0.0887857764673355,0.1178782519268594,3.53038414621578,1.062751524227524,15,0.9036301528852778,0.1018290534620588,9.820379999629449,1.1969341115615433,0.959662025290047,Nonnative Species and Quarantine
