country,pioneer_score,topics_adopted,first_activity,abs_pioneer_score,intensity,pioneer_index,abs_pioneer_index,gdp_per_capita,residual,strategic_group,color,region_1_share,region_2_share,region_3_share,dominant_regime,dominant_regime_label,max_regime_share
ACAP,5.5,2,2007.0,21.0,29.127162013080326,-5.5,-21.0,,,On-trend,gray7,0.12097609595742723,0.8790239040425728,0.0,2,Mode 2,0.8790239040425728
ASOC,3.3793103448275863,29,1991.0,8.03448275862069,4.20815204957111,-3.3793103448275863,-8.03448275862069,,,On-trend,gray7,0.057175100560762256,0.5283260213361527,0.4144988781030851,2,Mode 2,0.5283260213361527
Argentina,0.3636363636363636,33,1961.0,0.3636363636363636,3.1946008613536483,-0.3636363636363636,-0.3636363636363636,,,On-trend,gray7,0.29192972859791677,0.40505204625480656,0.3030182251472768,2,Mode 2,0.40505204625480656
Australia,-1.6666666666666667,33,1961.0,-1.6666666666666667,3.0190827306299552,1.6666666666666667,1.6666666666666667,,,On-trend,gray7,0.20450270971006554,0.2420367463094466,0.5534605439804879,3,Mode 3,0.5534605439804879
Austria,10.5,2,1991.0,21.0,20.62447911200624,-10.5,-21.0,,,On-trend,gray7,0.4229886413707788,0.5770113586292213,0.0,2,Mode 2,0.5770113586292213
Belarus,9.0,14,2006.0,24.071428571428573,9.961678364783696,-9.0,-24.071428571428573,,,On-trend,gray7,0.10046377258183362,0.8281029699006369,0.0714332575175295,2,Mode 2,0.8281029699006369
Belgium,4.52,25,1961.0,4.52,4.123721876251954,-4.52,-4.52,,,On-trend,gray7,0.32031489216093795,0.5553087443990795,0.12437636343998255,2,Mode 2,0.5553087443990795
Brazil,3.12,25,1987.0,7.48,4.525651436275507,-3.12,-7.48,,,On-trend,gray7,0.25911285053798383,0.7349107091786504,0.0059764402833657375,2,Mode 2,0.7349107091786504
Bulgaria,6.0,12,1991.0,12.75,5.380862085346553,-6.0,-12.75,,,On-trend,gray7,0.8051076836943315,0.19489231630566856,0.0,1,Mode 1,0.8051076836943315
CCAMLR,8.11111111111111,9,1991.0,9.666666666666666,17.876793248326848,-8.11111111111111,-9.666666666666666,,,On-trend,gray7,0.2923611250086334,0.4666567109945525,0.24098216399681413,2,Mode 2,0.4666567109945525
