topic,topic_total_volume,emergence_year,emergence_percentile,threshold_pct
Area Protection and Management Plans General,377,1972,0.05,5.0
Area Protection and Management Plans General,377,1975,0.1,10.0
Area Protection and Management Plans General,377,1985,0.15,15.0
Area Protection and Management Plans General,377,1991,0.2,20.0
Area Protection and Management Plans General,377,1991,0.25,25.0
Area Protection and Management Plans General,377,1997,0.3,30.0
Biological Prospecting,55,2003,0.05,5.0
Biological Prospecting,55,2005,0.1,10.0
Biological Prospecting,55,2006,0.15,15.0
Biological Prospecting,55,2006,0.2,20.0
Biological Prospecting,55,2008,0.25,25.0
Biological Prospecting,55,2009,0.3,30.0
CEP Strategy Discussions,43,1994,0.05,5.0
CEP Strategy Discussions,43,2005,0.1,10.0
CEP Strategy Discussions,43,2006,0.15,15.0
CEP Strategy Discussions,43,2006,0.2,20.0
CEP Strategy Discussions,43,2008,0.25,25.0
CEP Strategy Discussions,43,2008,0.3,30.0
Climate Change,200,2006,0.05,5.0
Climate Change,200,2008,0.1,10.0
Climate Change,200,2010,0.15,15.0
Climate Change,200,2011,0.2,20.0
Climate Change,200,2011,0.25,25.0
Climate Change,200,2013,0.3,30.0
Comprehensive Environmental Evaluations,145,1987,0.05,5.0
Comprehensive Environmental Evaluations,145,1994,0.1,10.0
Comprehensive Environmental Evaluations,145,1995,0.15,15.0
Comprehensive Environmental Evaluations,145,1995,0.2,20.0
Comprehensive Environmental Evaluations,145,1996,0.25,25.0
Comprehensive Environmental Evaluations,145,1997,0.3,30.0
Cooperation with Other Organisations,200,1983,0.05,5.0
Cooperation with Other Organisations,200,1991,0.1,10.0
Cooperation with Other Organisations,200,1992,0.15,15.0
Cooperation with Other Organisations,200,1995,0.2,20.0
Cooperation with Other Organisations,200,1996,0.25,25.0
Cooperation with Other Organisations,200,1999,0.3,30.0
Drilling,24,1979,0.05,5.0
Drilling,24,1987,0.1,10.0
Drilling,24,1994,0.15,15.0
Drilling,24,1996,0.2,20.0
Drilling,24,1996,0.25,25.0
Drilling,24,1998,0.3,30.0
Educational issues,184,1996,0.05,5.0
Educational issues,184,1997,0.1,10.0
Educational issues,184,1999,0.15,15.0
Educational issues,184,2006,0.2,20.0
Educational issues,184,2007,0.25,25.0
Educational issues,184,2008,0.3,30.0
Emergency report and contingency planning,49,1996,0.05,5.0
Emergency report and contingency planning,49,1997,0.1,10.0
Emergency report and contingency planning,49,1998,0.15,15.0
Emergency report and contingency planning,49,1998,0.2,20.0
Emergency report and contingency planning,49,1998,0.25,25.0
Emergency report and contingency planning,49,1999,0.3,30.0
Environmental Domains Analysis,17,1991,0.05,5.0
Environmental Domains Analysis,17,2001,0.1,10.0
Environmental Domains Analysis,17,2002,0.15,15.0
Environmental Domains Analysis,17,2003,0.2,20.0
Environmental Domains Analysis,17,2003,0.25,25.0
Environmental Domains Analysis,17,2004,0.3,30.0
Environmental Impact Assessment EIA Other EIA Matters,203,1999,0.05,5.0
Environmental Impact Assessment EIA Other EIA Matters,203,2001,0.1,10.0
Environmental Impact Assessment EIA Other EIA Matters,203,2002,0.15,15.0
