country,n,rmse,fraction_removed
United Kingdom,1,0.04352448550230034,0.015384615384615385
New Zealand,2,0.05431549143674284,0.03076923076923077
Norway,3,0.06600587711343796,0.046153846153846156
Australia,4,0.07813365467728593,0.06153846153846154
United States,5,0.0879675306242331,0.07692307692307693
SCAR,6,0.09305360099427362,0.09230769230769231
ASOC,7,0.10023366170792135,0.1076923076923077
Sweden,8,0.10537958585589821,0.12307692307692308
Spain,9,0.10895498092853802,0.13846153846153847
Argentina,10,0.11393089453299353,0.15384615384615385
Germany,11,0.11854378651978249,0.16923076923076924
Ukraine,12,0.12243581952581606,0.18461538461538463
Chile,13,0.12507490346389064,0.2
Russian Federation,14,0.13320408733265127,0.2153846153846154
France,15,0.13955730884633255,0.23076923076923078
South Africa,16,0.14678170639762556,0.24615384615384617
Netherlands,17,0.15140310548231245,0.26153846153846155
Belgium,18,0.15867077454784556,0.27692307692307694
Finland,19,0.1626114042521682,0.2923076923076923
COMNAP,20,0.16459270353690164,0.3076923076923077
Japan,21,0.16929162361066882,0.3230769230769231
China,22,0.17242883724389438,0.3384615384615385
IAATO,23,0.1763732779980196,0.35384615384615387
IUCN,24,0.18077828288714096,0.36923076923076925
Uruguay,25,0.18365042369200105,0.38461538461538464
Italy,26,0.18791259391316778,0.4
India,27,0.1956014956752702,0.4153846153846154
Brazil,28,0.1991488971480257,0.4307692307692308
Belarus,29,0.20441008144870973,0.4461538461538462
Ecuador,30,0.2075475538300061,0.46153846153846156
Poland,31,0.21123513081532044,0.47692307692307695
Czechia,32,0.2145893827026428,0.49230769230769234
Peru,33,0.21903674754229985,0.5076923076923077
Korea (ROK),34,0.2244234433014286,0.5230769230769231
Romania,35,0.2309335111071887,0.5384615384615384
WMO,36,0.23838688880462214,0.5538461538461539
Türkiye,37,0.241302637265634,0.5692307692307692
Bulgaria,38,0.24545379322925745,0.5846153846153846
Colombia,39,0.24915345095629582,0.6
CCAMLR,40,0.25150751870927107,0.6153846153846154
Denmark,41,0.25601796646733654,0.6307692307692307
Canada,42,0.2585755264827492,0.6461538461538462
UNEP,43,0.26084573443387615,0.6615384615384615
Estonia,44,0.26376652737979406,0.676923076923077
Portugal,45,0.26708691151881153,0.6923076923076923
Monaco,46,0.2751352159407164,0.7076923076923077
Switzerland,47,0.28250874355035716,0.7230769230769231
WTO,48,0.28347153842272316,0.7384615384615385
IPCC,49,0.2854455918898461,0.7538461538461538
ACAP,50,0.286304423755718,0.7692307692307693
IOC,51,0.2888842630953912,0.7846153846153846
ICAO,52,0.2894749890342985,0.8
Venezuela,53,0.28993847862445693,0.8153846153846154
Austria,54,0.2932604469925821,0.8307692307692308
Malaysia,55,0.29410377040362307,0.8461538461538461
Kazakhstan,56,0.29857753250561603,0.8615384615384616
Greece,57,0.2992690070641438,0.8769230769230769
Iceland,58,0.29977702362503345,0.8923076923076924
Slovakia,59,0.30628343545931896,0.9076923076923077
Korea (DPRK),60,0.30634029102629745,0.9230769230769231
IGP&I Clubs,61,0.30634029102629745,0.9384615384615385
IOPC Funds,62,0.30634029102629745,0.9538461538461539
IPY-IPO,63,0.30634029102629745,0.9692307692307692
IMO,64,0.3060492130142586,0.9846153846153847
ATS,65,0.2633955886979219,1.0
