period_idx,period_start,period_end,period_label,period_mid,actor_a,actor_b,collaboration_count,presence_jaccard,specialized_jaccard,presence_active_a,presence_active_b,specialized_active_a,specialized_active_b
0,1961,1970,1961-1970,1965.5,ACAP,ASOC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,ATS,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Argentina,0,0.0,0.0,0,7,0,4
0,1961,1970,1961-1970,1965.5,ACAP,Australia,0,0.0,0.0,0,14,0,9
0,1961,1970,1961-1970,1965.5,ACAP,Austria,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Belarus,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Belgium,0,0.0,0.0,0,6,0,4
0,1961,1970,1961-1970,1965.5,ACAP,Brazil,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Bulgaria,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,CCAMLR,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,COMNAP,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Canada,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Chile,0,0.0,0.0,0,9,0,6
0,1961,1970,1961-1970,1965.5,ACAP,China,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Colombia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Czechia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Denmark,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Ecuador,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Estonia,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Finland,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,France,0,0.0,0.0,0,6,0,5
0,1961,1970,1961-1970,1965.5,ACAP,Germany,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,Greece,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IAATO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,ICAO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IGP&I Clubs,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IHO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IMO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IOC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IOPC Funds,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IPCC,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IPY-IPO,0,,,0,0,0,0
0,1961,1970,1961-1970,1965.5,ACAP,IUCN,0,,,0,0,0,0
