period_idx,period_start,period_end,period_label,basis,basis_label,n_active_actors,n_topics_active,observed_mean_pairwise_jaccard,null_mean_pairwise_jaccard,null_q05,null_q95,null_sd,gap_observed_minus_null,z_observed_minus_null,p_lower_than_null
0,1961,1970,1961-1970,presence,Any activity,13,19,0.388546076639968,0.3873816220198581,0.3824230361037488,0.39419380356738953,0.0037653400586918837,0.0011644546201098893,0.3092561633103684,0.683291770573566
1,1971,1980,1971-1980,presence,Any activity,16,22,0.3094774988012217,0.3024275090298383,0.29737713106216396,0.30984226370178386,0.0037167533122672244,0.007049989771383436,1.8968140145634074,0.942643391521197
2,1981,1990,1981-1990,presence,Any activity,29,27,0.2360617672161618,0.2405861400661817,0.23068836116374303,0.25106997612607157,0.006359500214576163,-0.004524372850019914,-0.7114352853782311,0.2518703241895262
3,1991,2000,1991-2000,presence,Any activity,47,37,0.21562150008197178,0.2085336181897334,0.20445827600461572,0.21327586039976654,0.0028879900743242343,0.007087881892238385,2.454261167742029,0.9850374064837906
4,2001,2010,2001-2010,presence,Any activity,48,40,0.2042325369693844,0.2029719794424317,0.20071078506695983,0.20566671771305733,0.001527674263595398,0.0012605575269526992,0.8251481071533949,0.7880299251870324
5,2011,2020,2011-2020,presence,Any activity,58,38,0.18624171722362934,0.1855245296977916,0.1826777595448941,0.18838981951588613,0.0018031851596213328,0.0007171875258377425,0.3977337113778993,0.6658354114713217
6,2021,2025,2021-2025,presence,Any activity,48,32,0.3023732015523176,0.2993588107770268,0.2966575081669624,0.30222468588055973,0.0016550017011636765,0.0030143907752908095,1.8213822820673293,0.9600997506234414
0,1961,1970,1961-1970,rpa,RPA > 1,13,19,0.1879716950135502,0.16413241014903612,0.15797569621806046,0.1719297188796623,0.0042494869669359924,0.023839284864514088,5.60992069160361,1.0
1,1971,1980,1971-1980,rpa,RPA > 1,16,22,0.177209963239375,0.15976823525774764,0.15524336196211197,0.16536833730675643,0.0033204898704459027,0.017441727981627353,5.252757473187272,1.0
2,1981,1990,1981-1990,rpa,RPA > 1,29,27,0.15725367713197327,0.1179796866455029,0.11101784853278986,0.1262291502385859,0.004704776511799464,0.03927399048647037,8.347684611154678,1.0
3,1991,2000,1991-2000,rpa,RPA > 1,47,37,0.1409980938406587,0.12171071215141424,0.11848142172991986,0.12497084640081879,0.002084724361039621,0.01928738168924446,9.251765868762684,1.0
4,2001,2010,2001-2010,rpa,RPA > 1,48,40,0.13288632764006406,0.1286147262653832,0.12696976768667256,0.13052269592154755,0.0011075167424857764,0.004271601374680856,3.8569181040942278,0.9975062344139651
5,2011,2020,2011-2020,rpa,RPA > 1,58,38,0.11458592903405,0.10823495744699904,0.10621885336412741,0.11127210292824939,0.0014806611340332865,0.00635097158705096,4.289280944216494,1.0
6,2021,2025,2021-2025,rpa,RPA > 1,48,32,0.1597713634911072,0.1462909076873328,0.14414040321261104,0.1485917159181911,0.0013554170678035298,0.01348045580377441,9.945614618546642,1.0
