k,topic_order,topic,x_plot,region,region_anchor,region_anchor_x
2,0,Educational issues,0.0,1,Environmental Protection General,0.2620042318963083
2,1,Science issues,0.0570158275246239,1,Environmental Protection General,0.2620042318963083
2,2,Opening statements,0.072789875025554,1,Environmental Protection General,0.2620042318963083
2,3,Exchange of Information,0.1115886883252106,1,Environmental Protection General,0.2620042318963083
2,4,Operation of the Antarctic Treaty system The Secretariat,0.1239191250643634,1,Environmental Protection General,0.2620042318963083
2,5,Operation of the Antarctic Treaty system General,0.1747690528081454,1,Environmental Protection General,0.2620042318963083
2,6,Environmental Monitoring and Reporting,0.1887137517787509,1,Environmental Protection General,0.2620042318963083
2,7,Operation of the Antarctic Treaty system Reports,0.1982528580975261,1,Environmental Protection General,0.2620042318963083
2,8,Operational issues,0.2203005980925824,1,Environmental Protection General,0.2620042318963083
2,9,Safety and Operations in Antarctica,0.2599556617261369,1,Environmental Protection General,0.2620042318963083
2,10,Environmental Impact Assessment EIA Other EIA Matters,0.2605546487018962,1,Environmental Protection General,0.2620042318963083
2,11,Environmental Protection General,0.2620042318963083,1,Environmental Protection General,0.2620042318963083
2,12,Biological Prospecting,0.2728040707719594,1,Environmental Protection General,0.2620042318963083
2,13,Comprehensive Environmental Evaluations,0.2840982040334893,1,Environmental Protection General,0.2620042318963083
2,14,International Polar Year,0.3052279433304539,1,Environmental Protection General,0.2620042318963083
2,15,Fauna and Flora_General,0.3076348840643275,1,Environmental Protection General,0.2620042318963083
2,16,Cooperation with Other Organisations,0.311759645788881,1,Environmental Protection General,0.2620042318963083
2,17,Management Plans,0.3369819084088453,1,Environmental Protection General,0.2620042318963083
2,18,Inspections,0.347895543377593,1,Environmental Protection General,0.2620042318963083
2,19,Liability,0.3591321581558954,1,Environmental Protection General,0.2620042318963083
2,20,Nonnative Species and Quarantine,0.3687894715933,1,Environmental Protection General,0.2620042318963083
2,21,Waste management and disposal,0.377663422851123,1,Environmental Protection General,0.2620042318963083
2,22,Climate Change,0.3800837228694225,1,Environmental Protection General,0.2620042318963083
2,23,Prevention of marine pollution,0.4071732495247113,1,Environmental Protection General,0.2620042318963083
2,24,Institutional and legal matters,0.4326060447198917,1,Environmental Protection General,0.2620042318963083
2,25,Marine Protected Areas,0.449159334827253,1,Environmental Protection General,0.2620042318963083
2,26,Emergency report and contingency planning,0.4714397070089904,1,Environmental Protection General,0.2620042318963083
2,27,Repair and remediation of environmental damage,0.4785603220035303,1,Environmental Protection General,0.2620042318963083
2,28,Historic Sites and Monuments,0.4823429046539811,1,Environmental Protection General,0.2620042318963083
2,29,Area Protection and Management Plans General,0.5004157993437484,2,Drilling,0.706743800577266
2,30,Mineral resources,0.5486928120359824,2,Drilling,0.706743800577266
2,31,Human Footprint and wilderness values,0.5570278693771726,2,Drilling,0.706743800577266
2,32,CEP Strategy Discussions,0.5652259283677754,2,Drilling,0.706743800577266
2,33,Search and Rescue,0.5782303524397047,2,Drilling,0.706743800577266
2,34,Site Guidelines for Visitors,0.5815045003879167,2,Drilling,0.706743800577266
2,35,Marine living resources,0.6072600948648526,2,Drilling,0.706743800577266
2,36,Specially Protected Species,0.6187624363507289,2,Drilling,0.706743800577266
2,37,Tourism and NG_Activities,0.6351007320692914,2,Drilling,0.706743800577266
2,38,Drilling,0.706743800577266,2,Drilling,0.706743800577266
2,39,Operation of the CEP,0.7077185661800908,2,Drilling,0.706743800577266
2,40,Multiyear strategic workplan,0.7604580634912677,2,Drilling,0.706743800577266
2,41,Marine Acoustics,0.7856949393318449,2,Drilling,0.706743800577266
2,42,Sub glacial Lakes,0.8368881874706654,2,Drilling,0.706743800577266
2,43,State of the Antarctic Environment Report SAER,0.913455015343537,2,Drilling,0.706743800577266
2,44,Environmental Domains Analysis,1.0,2,Drilling,0.706743800577266
3,0,Educational issues,0.0,1,Exchange of Information,0.1115886883252106
3,1,Science issues,0.0570158275246239,1,Exchange of Information,0.1115886883252106
3,2,Opening statements,0.072789875025554,1,Exchange of Information,0.1115886883252106
3,3,Exchange of Information,0.1115886883252106,1,Exchange of Information,0.1115886883252106
3,4,Operation of the Antarctic Treaty system The Secretariat,0.1239191250643634,1,Exchange of Information,0.1115886883252106
3,5,Operation of the Antarctic Treaty system General,0.1747690528081454,1,Exchange of Information,0.1115886883252106
3,6,Environmental Monitoring and Reporting,0.1887137517787509,1,Exchange of Information,0.1115886883252106
3,7,Operation of the Antarctic Treaty system Reports,0.1982528580975261,1,Exchange of Information,0.1115886883252106
3,8,Operational issues,0.2203005980925824,1,Exchange of Information,0.1115886883252106
3,9,Safety and Operations in Antarctica,0.2599556617261369,2,Inspections,0.347895543377593
3,10,Environmental Impact Assessment EIA Other EIA Matters,0.2605546487018962,2,Inspections,0.347895543377593
3,11,Environmental Protection General,0.2620042318963083,2,Inspections,0.347895543377593
3,12,Biological Prospecting,0.2728040707719594,2,Inspections,0.347895543377593
3,13,Comprehensive Environmental Evaluations,0.2840982040334893,2,Inspections,0.347895543377593
3,14,International Polar Year,0.3052279433304539,2,Inspections,0.347895543377593
3,15,Fauna and Flora_General,0.3076348840643275,2,Inspections,0.347895543377593
