draw,pair_key,pair_label,null_mean_jaccard
0,1-1,R1-R1,0.07698586074254524
0,1-2,R1-R2,0.10252045838362674
0,1-3,R1-R3,0.10629042821135565
0,2-2,R2-R2,0.1906548328153048
0,2-3,R2-R3,0.2151415236946711
0,3-3,R3-R3,0.24352497631554276
1,1-1,R1-R1,0.0862622980604264
1,1-2,R1-R2,0.11861782664301067
1,1-3,R1-R3,0.11265803781240485
1,2-2,R2-R2,0.18351339313375242
1,2-3,R2-R3,0.20733315307023725
1,3-3,R3-R3,0.2296379782337099
2,1-1,R1-R1,0.08929820947833896
2,1-2,R1-R2,0.11977798354350247
2,1-3,R1-R3,0.11414849844830667
2,2-2,R2-R2,0.19351014287295257
2,2-3,R2-R3,0.19800982622356966
2,3-3,R3-R3,0.22948936641822196
3,1-1,R1-R1,0.08404348795391575
3,1-2,R1-R2,0.11353298419779516
3,1-3,R1-R3,0.11568833871041878
3,2-2,R2-R2,0.18666034419777378
3,2-3,R2-R3,0.2101864119356071
3,3-3,R3-R3,0.23305190539659834
4,1-1,R1-R1,0.06729373782392357
4,1-2,R1-R2,0.11056088831171218
4,1-3,R1-R3,0.10001446732787451
4,2-2,R2-R2,0.193312121305299
4,2-3,R2-R3,0.20905145738655945
4,3-3,R3-R3,0.24800286785563166
5,1-1,R1-R1,0.08512670757956432
5,1-2,R1-R2,0.1020986796477333
5,1-3,R1-R3,0.10824164711447189
5,2-2,R2-R2,0.19494900362173292
5,2-3,R2-R3,0.21571707692922973
5,3-3,R3-R3,0.2234075651984726
6,1-1,R1-R1,0.08605749932797498
6,1-2,R1-R2,0.11340289707611366
6,1-3,R1-R3,0.11166930302306903
6,2-2,R2-R2,0.1960246937769756
6,2-3,R2-R3,0.2013244136219082
6,3-3,R3-R3,0.23120318297569467
7,1-1,R1-R1,0.08393032249984121
7,1-2,R1-R2,0.10889041133749472
7,1-3,R1-R3,0.12028257847305479
7,2-2,R2-R2,0.1838438527941207
7,2-3,R2-R3,0.20885016265980544
7,3-3,R3-R3,0.2449090609736242
8,1-1,R1-R1,0.08971549560664394
8,1-2,R1-R2,0.11233816458548584
8,1-3,R1-R3,0.12143100120848122
8,2-2,R2-R2,0.1914007058626933
8,2-3,R2-R3,0.20065955763190763
8,3-3,R3-R3,0.24213579206496566
9,1-1,R1-R1,0.10348162062734256
9,1-2,R1-R2,0.12008377004263358
9,1-3,R1-R3,0.11164905683349964
9,2-2,R2-R2,0.1906659090619142
9,2-3,R2-R3,0.20385373091958417
9,3-3,R3-R3,0.21189438777654082
10,1-1,R1-R1,0.07577204064503529
10,1-2,R1-R2,0.10913747509135334
10,1-3,R1-R3,0.11405424362200595
10,2-2,R2-R2,0.19153815256663448
10,2-3,R2-R3,0.21220462079829877
10,3-3,R3-R3,0.22632972942098675
11,1-1,R1-R1,0.1038795837258404
11,1-2,R1-R2,0.1282895955695091
11,1-3,R1-R3,0.12033919496064997
11,2-2,R2-R2,0.18275504468955278
11,2-3,R2-R3,0.2023429290372984
11,3-3,R3-R3,0.22388132347391043
12,1-1,R1-R1,0.07668554089008633
12,1-2,R1-R2,0.11235390938689907
12,1-3,R1-R3,0.11346130261386819
12,2-2,R2-R2,0.18283264401663385
12,2-3,R2-R3,0.21242747827023326
12,3-3,R3-R3,0.24601920929940904
13,1-1,R1-R1,0.07847864405351036
13,1-2,R1-R2,0.10787846365120453
13,1-3,R1-R3,0.11511549714273937
13,2-2,R2-R2,0.19347026726613772
13,2-3,R2-R3,0.2073460199956613
13,3-3,R3-R3,0.2218174930753234
14,1-1,R1-R1,0.06558337303834066
14,1-2,R1-R2,0.11188813483314823
14,1-3,R1-R3,0.12193556530784733
14,2-2,R2-R2,0.1833510716606573
14,2-3,R2-R3,0.21281293886042776
14,3-3,R3-R3,0.24495433900029376
15,1-1,R1-R1,0.07658435963917247
15,1-2,R1-R2,0.10675011880408183
15,1-3,R1-R3,0.12186898708534545
15,2-2,R2-R2,0.18958669642140336
15,2-3,R2-R3,0.20876644212068562
15,3-3,R3-R3,0.24298042767233918
16,1-1,R1-R1,0.08139709616982344
16,1-2,R1-R2,0.10889679059503597
16,1-3,R1-R3,0.12373226108361234
16,2-2,R2-R2,0.18938956325265058
16,2-3,R2-R3,0.207734270162345
16,3-3,R3-R3,0.23688990116691866
17,1-1,R1-R1,0.07632088400804979
17,1-2,R1-R2,0.11299369476321809
17,1-3,R1-R3,0.11643362789231704
17,2-2,R2-R2,0.1996691326695774
17,2-3,R2-R3,0.2041580840176978
17,3-3,R3-R3,0.23032460017993941
18,1-1,R1-R1,0.10419276579035935
18,1-2,R1-R2,0.11817156349719375
18,1-3,R1-R3,0.12371484306998844
18,2-2,R2-R2,0.18097260161528297
18,2-3,R2-R3,0.20698102919946365
18,3-3,R3-R3,0.22278265343743966
19,1-1,R1-R1,0.06902701297930681
19,1-2,R1-R2,0.11304885350929152
19,1-3,R1-R3,0.12146510664452231
19,2-2,R2-R2,0.18004850983567344
19,2-3,R2-R3,0.21115623785483117
19,3-3,R3-R3,0.25332456643832146
20,1-1,R1-R1,0.0911089875662068
20,1-2,R1-R2,0.12122213379535271
20,1-3,R1-R3,0.12114441197659431
20,2-2,R2-R2,0.18996080081888045
20,2-3,R2-R3,0.20003350268011422
20,3-3,R3-R3,0.22054219175213294
21,1-1,R1-R1,0.08483860877788545
21,1-2,R1-R2,0.12168809393053066
21,1-3,R1-R3,0.1135683846051703
21,2-2,R2-R2,0.18280000200838797
21,2-3,R2-R3,0.20414210189361512
21,3-3,R3-R3,0.25452735060831966
22,1-1,R1-R1,0.09151029699158042
22,1-2,R1-R2,0.12863662053736227
22,1-3,R1-R3,0.12106717803886477
22,2-2,R2-R2,0.1820595260998368
22,2-3,R2-R3,0.20347738635448614
22,3-3,R3-R3,0.22910840488648598
23,1-1,R1-R1,0.09699262165839706
23,1-2,R1-R2,0.11424789493527714
23,1-3,R1-R3,0.1145987501881773
23,2-2,R2-R2,0.1942578127989072
23,2-3,R2-R3,0.19928996869375717
23,3-3,R3-R3,0.2207491215035473
24,1-1,R1-R1,0.08290371244916697
24,1-2,R1-R2,0.1112186941965202
24,1-3,R1-R3,0.1209626131320752
24,2-2,R2-R2,0.1858963994211155
24,2-3,R2-R3,0.20900734064266283
24,3-3,R3-R3,0.23155818469127704
25,1-1,R1-R1,0.07866925731230542
25,1-2,R1-R2,0.11168555500750278
25,1-3,R1-R3,0.12682073485146791
25,2-2,R2-R2,0.18399545907122017
25,2-3,R2-R3,0.20853132842712666
25,3-3,R3-R3,0.24616962193145678
26,1-1,R1-R1,0.09297723839836139
26,1-2,R1-R2,0.11545729721701241
26,1-3,R1-R3,0.12065090009014486
26,2-2,R2-R2,0.19424193663759298
26,2-3,R2-R3,0.20126525599340633
26,3-3,R3-R3,0.22333393256892833
27,1-1,R1-R1,0.08905886151875456
27,1-2,R1-R2,0.11601155897492767
27,1-3,R1-R3,0.1145417975365857
27,2-2,R2-R2,0.18677436642783657
27,2-3,R2-R3,0.20687396171280154
27,3-3,R3-R3,0.23241656794910803
28,1-1,R1-R1,0.09030980648803615
28,1-2,R1-R2,0.10782026029504241
28,1-3,R1-R3,0.12077475352427225
28,2-2,R2-R2,0.17901315035046184
28,2-3,R2-R3,0.2114067456421986
28,3-3,R3-R3,0.2699734901618734
29,1-1,R1-R1,0.09153897293145816
29,1-2,R1-R2,0.1203547448934554
29,1-3,R1-R3,0.11555992967928924
29,2-2,R2-R2,0.19020131605731683
29,2-3,R2-R3,0.2016181963787137
29,3-3,R3-R3,0.22435636568708892
30,1-1,R1-R1,0.06502103931916767
30,1-2,R1-R2,0.10936230248973024
30,1-3,R1-R3,0.12326874578786305
30,2-2,R2-R2,0.18218422908204784
30,2-3,R2-R3,0.2112454141953731
30,3-3,R3-R3,0.25618147883429554
31,1-1,R1-R1,0.09973337616350561
31,1-2,R1-R2,0.10505897690715281
31,1-3,R1-R3,0.12581653302122373
31,2-2,R2-R2,0.18220666457488263
