actor_i,actor_j,overlap_jaccard_rpa,exclusive_phi_proximity,complementarity_score,k_i,k_j,same_regime,regime_pair,pair_type,pair_label
Argentina,Australia,0.2,0.3953032230926967,0.1953032230926967,16,20,0,2-3,Complementary,Argentina - Australia
Argentina,Belarus,0.12,0.39106536269997805,0.27106536269997805,16,12,1,2-2,Complementary,Argentina - Belarus
Argentina,Belgium,0.2,0.39307289235601395,0.19307289235601394,16,14,1,2-2,Complementary,Argentina - Belgium
Argentina,Brazil,0.28,0.3629680313301003,0.08296803133010028,16,16,1,2-2,Separate / weak,Argentina - Brazil
Argentina,Bulgaria,0.19047619047619047,0.305120129290955,0.11464393881476453,16,9,0,1-2,Separate / weak,Argentina - Bulgaria
Argentina,Canada,0.0,0.38964913349342223,0.38964913349342223,16,6,0,1-2,Complementary,Argentina - Canada
Argentina,Chile,0.38095238095238093,0.41395104895104895,0.03299866799866802,16,13,1,2-2,Aligned,Argentina - Chile
Argentina,China,0.2692307692307692,0.38428235829506247,0.11505158906429325,16,17,1,2-2,Aligned,Argentina - China
Argentina,Colombia,0.1,0.38799741924741926,0.2879974192474193,16,6,0,1-2,Complementary,Argentina - Colombia
Argentina,Czechia,0.08333333333333333,0.4324099858474858,0.3490766525141525,16,10,1,2-2,Complementary,Argentina - Czechia
Argentina,Ecuador,0.3181818181818182,0.3964766196447231,0.0782948014629049,16,13,1,2-2,Aligned,Argentina - Ecuador
Argentina,Finland,0.11538461538461539,0.37686655289699944,0.261481937512384,16,13,1,2-2,Separate / weak,Argentina - Finland
Argentina,France,0.36,0.32575834090032874,-0.03424165909967125,16,18,0,2-3,Separate / weak,Argentina - France
Argentina,Germany,0.16666666666666666,0.39756480726875465,0.230898140602088,16,19,1,2-2,Complementary,Argentina - Germany
Argentina,India,0.11538461538461539,0.39451009191376357,0.2791254765291482,16,13,1,2-2,Complementary,Argentina - India
Argentina,Italy,0.24,0.3452312522951468,0.1052312522951468,16,15,1,2-2,Separate / weak,Argentina - Italy
Argentina,Japan,0.16,0.34879458026009746,0.18879458026009746,16,13,1,2-2,Separate / weak,Argentina - Japan
Argentina,Korea (ROK),0.18518518518518517,0.3477326273875693,0.16254744220238415,16,16,0,2-3,Separate / weak,Argentina - Korea (ROK)
Argentina,Netherlands,0.2608695652173913,0.35498776797914733,0.09411820276175603,16,13,1,2-2,Separate / weak,Argentina - Netherlands
Argentina,New Zealand,0.15625,0.41720541605797024,0.26095541605797024,16,21,0,2-3,Complementary,Argentina - New Zealand
Argentina,Norway,0.21428571428571427,0.408575270036477,0.1942895557507627,16,18,0,2-3,Complementary,Argentina - Norway
Argentina,Peru,0.07407407407407407,0.39863540898364547,0.3245613349095714,16,13,0,1-2,Complementary,Argentina - Peru
