regime_triplet,n_triplets,coverage_efficiency_mean,coverage_efficiency_sd,coverage_efficiency_resid_mean,coverage_efficiency_resid_sd,union_topics_mean,unique_topics_mean,mean_pairwise_overlap_mean,mean_pairwise_overlap_resid_mean,mean_pairwise_overlap_resid_sd,coverage_perm_p_two_sided,overlap_perm_p_two_sided,coverage_perm_q05,coverage_perm_q95,overlap_perm_q05,overlap_perm_q95
1-1-3,189,0.7782040215849179,0.06336253382759835,0.023420654246332603,0.04623214174387765,25.66137566137566,19.317460317460316,0.16757204205842743,-0.005390252825394567,0.04521577237843046,0.010494752623688156,0.6211894052973513,-0.013471164324019574,0.015866838815888216,-0.01778073718744989,0.017241909002276193
1-2-3,1260,0.7289833393705347,0.05242490783970361,0.006621078923434418,0.04179822883975529,28.817460317460316,19.302380952380954,0.18260104226265794,-0.006085816300032612,0.04257714004656325,0.07946026986506746,0.14042978510744628,-0.004018172207079595,0.007199407710668815,-0.007747140995069525,0.005755172279386893
1-3-3,252,0.7257130628601183,0.049534364995474894,0.005614043400908299,0.04162526652624677,31.583333333333332,20.496031746031747,0.17267254904041807,-0.010263325596123396,0.03749208825622998,0.495752123938031,0.28735632183908044,-0.012727784840281035,0.014542350136380937,-0.01627605324820319,0.016209919471238683
2-2-3,1710,0.6763315113141791,0.043258406259336725,0.001977180230770227,0.03650397351788058,31.18654970760234,18.589473684210525,0.23651886851674617,-0.0018471590090212476,0.04313970299469183,0.5957021489255372,0.6661669165417291,-0.00454974061178375,0.007044877048860334,-0.007458671677303207,0.00614240326249384
2-2-2,1140,0.6686110636529045,0.04701988771032162,-0.0011549542228239276,0.04306739940251194,28.123684210526317,16.460526315789473,0.24537876308897488,-0.0012328201447702968,0.050583507270413046,0.8425787106446777,0.8655672163918041,-0.008196480386558338,0.011005873275111043,-0.011733331236763572,0.010667702881054258
1-2-2,1330,0.7031929610164377,0.05801095742711296,-0.0013362239691294192,0.05229242612447645,24.921804511278197,15.971428571428572,0.21092334155651266,0.0010950747862357038,0.053976884334251296,0.7646176911544228,0.8320839580209896,-0.00601593652979287,0.007973191226126752,-0.008731011587001656,0.007890348159235252
2-3-3,720,0.6632413730806387,0.043933385483074676,-0.0017102147653806638,0.035711203516670176,33.227777777777774,18.905555555555555,0.24605278001613237,0.001209787193643863,0.04093663161941238,0.7896051974012993,0.8765617191404298,-0.009104559925104894,0.01178358580221268,-0.013248442109511325,0.011674105589704959
1-1-2,420,0.7168424064603057,0.06571543981123412,-0.0035808753956821956,0.060202752835598256,20.67142857142857,14.0,0.2153567460739082,0.010833786254422724,0.059449973159414575,0.6746626686656672,0.271864067966017,-0.012294759546827114,0.01447347115957974,-0.016187789580451317,0.015705921560809827
3-3-3,84,0.640216771133373,0.04427633022995976,-0.00939064910414688,0.03382696755758159,34.63095238095238,18.55952380952381,0.27398049758713344,0.014074149060675778,0.043011125098226174,0.46926536731634183,0.3583208395802099,-0.02082474960402917,0.023154939244687665,-0.02509874086431631,0.026155855511900694
1-1-1,35,0.6839340464321477,0.04305050558563962,-0.029374583630255722,0.04380923891235914,15.228571428571428,10.114285714285714,0.2586789766411615,0.04202918389514374,0.049090535544996594,0.095952023988006,0.037481259370314844,-0.028224244055073094,0.029035425492834853,-0.031411146047490936,0.03403235377006488
