actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid
New Zealand,Sweden,Russian Federation,0,1,2,2-3-3,14,19,21,36,54,0.6666666666666666,21,0.24204244031830235,0.6587453828880606,0.24629219176504688,0.007921283778606014,-0.004249751446744526
New Zealand,Sweden,Korea (ROK),0,1,3,2-3-3,14,16,21,35,51,0.6862745098039216,19,0.18771551724137928,0.6777160484797048,0.2306275240295846,0.008558461324216782,-0.04291200678820534
New Zealand,Sweden,Ukraine,0,1,4,2-3-3,10,14,21,32,45,0.7111111111111111,20,0.18068712896299102,0.7166463273883479,0.19530379900830985,-0.005535216277236743,-0.01461667004531883
New Zealand,Sweden,Norway,0,1,5,2-3-3,14,18,21,31,53,0.5849056603773585,13,0.3289655172413793,0.6599777116737828,0.24585565219564864,-0.07507205129642436,0.08310986504573065
New Zealand,Sweden,Japan,0,1,6,2-2-3,13,14,21,34,48,0.7083333333333334,20,0.1713809761785774,0.7026700654569568,0.20650627134955624,0.00566326787637661,-0.03512529517097884
New Zealand,Sweden,France,0,1,7,2-3-3,14,18,21,33,53,0.6226415094339622,17,0.29940029985007494,0.6599777116737828,0.24585565219564864,-0.03733620223982059,0.05354464765442629
New Zealand,Sweden,United States,0,1,8,2-3-3,14,19,21,35,54,0.6481481481481481,16,0.21182266009852216,0.6587453828880606,0.24629219176504688,-0.010597234739912476,-0.03446953166652472
New Zealand,Sweden,United Kingdom,0,1,9,2-3-3,14,21,22,36,57,0.631578947368421,17,0.25176121616611047,0.6564756540182228,0.24834759470309362,-0.024896706649801814,0.0034136214630168527
New Zealand,Sweden,Spain,0,1,10,2-2-3,14,15,21,34,50,0.68,19,0.21669278996865202,0.6913562619696922,0.2169816669210011,-0.011356261969692194,-0.00028887695234908195
New Zealand,Sweden,Germany,0,1,11,2-2-3,14,19,21,34,54,0.6296296296296297,16,0.2541507024265645,0.6587453828880606,0.24629219176504688,-0.029115753258430965,0.007858510661517631
New Zealand,Sweden,Uruguay,0,1,12,2-2-3,14,17,21,37,52,0.7115384615384616,24,0.19947056774642982,0.6648086601316282,0.242158074086533,0.04672980140683336,-0.04268750634010318
New Zealand,Sweden,Finland,0,1,13,2-2-3,13,14,21,34,48,0.7083333333333334,22,0.208648056923919,0.7026700654569568,0.20650627134955624,0.00566326787637661,0.002141785574362759
New Zealand,Sweden,China,0,1,14,2-2-3,14,17,21,36,52,0.6923076923076923,22,0.20723712217965093,0.6648086601316282,0.242158074086533,0.027499032176064087,-0.034920951906882075
New Zealand,Sweden,South Africa,0,1,15,2-2-3,14,18,21,36,53,0.6792452830188679,21,0.21880526083112292,0.6599777116737828,0.24585565219564864,0.019267571345085055,-0.027050391364525722
New Zealand,Sweden,India,0,1,16,2-2-3,13,14,21,33,48,0.6875,19,0.19836510316270436,0.7026700654569568,0.20650627134955624,-0.01517006545695676,-0.008141168186851871
New Zealand,Sweden,Italy,0,1,17,2-2-3,14,15,21,33,50,0.66,17,0.2225887056471764,0.6913562619696922,0.2169816669210011,-0.03135626196969221,0.005607038726175295
New Zealand,Sweden,Czechia,0,1,18,2-2-3,10,14,21,32,45,0.7111111111111111,20,0.18068712896299102,0.7166463273883479,0.19530379900830985,-0.005535216277236743,-0.01461667004531883
New Zealand,Sweden,Belgium,0,1,19,2-2-3,14,14,21,34,49,0.6938775510204082,21,0.21543016370602577,0.7014185368592751,0.20646753468984994,-0.007540985838866976,0.008962629016175838
New Zealand,Sweden,Netherlands,0,1,20,2-2-3,13,14,21,32,48,0.6666666666666666,19,0.2570607553366174,0.7026700654569568,0.20650627134955624,-0.03600339879029013,0.05055448398706114
New Zealand,Sweden,Belarus,0,1,21,2-2-3,12,14,21,32,47,0.6808510638297872,19,0.2224046706805327,0.7044837964668109,0.20377627741572393,-0.0236327326370237,0.01862839326480878
New Zealand,Sweden,Canada,0,1,22,1-2-3,6,14,21,31,41,0.7560975609756098,22,0.16511936339522545,0.7670461775052126,0.14874242995574447,-0.010948616529602884,0.01637693343948099
New Zealand,Sweden,Australia,0,1,23,2-3-3,14,20,21,36,55,0.6545454545454545,20,0.24792097039038086,0.6601910710336001,0.24522740102455956,-0.005645616488145544,0.0026935693658212967
New Zealand,Sweden,Argentina,0,1,24,2-2-3,14,16,21,37,51,0.7254901960784313,24,0.17233090185676392,0.6777160484797048,0.2306275240295846,0.04777414759872656,-0.058296622172820695
New Zealand,Sweden,Peru,0,1,25,1-2-3,13,14,21,35,48,0.7291666666666666,24,0.1891675374433995,0.7026700654569568,0.20650627134955624,0.02649660120970987,-0.017338733906156728
New Zealand,Sweden,Poland,0,1,26,2-2-3,11,14,21,33,46,0.717391304347826,21,0.17614845775765317,0.712650675914469,0.19783296389065957,0.004740628433357097,-0.021684506133006404
New Zealand,Sweden,Chile,0,1,27,2-2-3,13,14,21,34,48,0.7083333333333334,21,0.1820607553366174,0.7026700654569568,0.20650627134955624,0.00566326787637661,-0.024445516012938845
New Zealand,Sweden,Brazil,0,1,28,2-2-3,14,16,21,36,51,0.7058823529411765,22,0.18476369755568867,0.6777160484797048,0.2306275240295846,0.028166304461471725,-0.04586382647389595
New Zealand,Sweden,Romania,0,1,29,2-2-3,9,14,21,33,44,0.75,23,0.15199360026946232,0.7260281249016469,0.1853621226147687,0.02397187509835308,-0.03336852234530638
New Zealand,Sweden,Ecuador,0,1,30,2-2-3,13,14,21,35,48,0.7291666666666666,22,0.15507662835249042,0.7026700654569568,0.20650627134955624,0.02649660120970987,-0.051429642997065816
New Zealand,Sweden,Portugal,0,1,31,1-2-3,7,14,21,32,42,0.7619047619047619,23,0.1501620984379605,0.7622869836548868,0.15318622834214057,-0.00038222175012492254,-0.0030241299041800784
New Zealand,Sweden,Colombia,0,1,32,1-2-3,6,14,21,33,41,0.8048780487804879,25,0.09932988971101493,0.7670461775052126,0.14874242995574447,0.03783187127527521,-0.04941254024472953
New Zealand,Sweden,Bulgaria,0,1,33,1-2-3,9,14,21,33,44,0.75,23,0.1730523627075351,0.7260281249016469,0.1853621226147687,0.02397187509835308,-0.012309759907233597
New Zealand,Sweden,Venezuela,0,1,34,1-2-3,5,14,21,32,40,0.8,24,0.10818120351588911,0.768431919248276,0.14728519923468308,0.031568080751724015,-0.03910399571879397
New Zealand,Sweden,Türkiye,0,1,35,1-2-3,6,14,21,33,41,0.8048780487804879,25,0.09563218390804597,0.7670461775052126,0.14874242995574447,0.03783187127527521,-0.0531102460476985
New Zealand,Russian Federation,Korea (ROK),0,2,3,3-3-3,16,19,21,36,56,0.6428571428571429,19,0.26875,0.6371432302918026,0.27287760289300605,0.005713912565340262,-0.004127602893006066
New Zealand,Russian Federation,Ukraine,0,2,4,3-3-3,10,19,21,35,50,0.7,23,0.2168803418803419,0.6846252170415243,0.21786914111115516,0.015374782958475608,-0.0009887992308132698
New Zealand,Russian Federation,Norway,0,2,5,3-3-3,18,19,21,33,58,0.5689655172413793,12,0.3419540229885058,0.6281880290078541,0.28434585624869047,-0.05922251176647475,0.057608166739815336
New Zealand,Russian Federation,Japan,0,2,6,2-3-3,13,19,21,35,53,0.660377358490566,20,0.2582125603864734,0.6615078212214061,0.2437337991135281,-0.0011304627308400539,0.014478761272945284
New Zealand,Russian Federation,France,0,2,7,3-3-3,18,19,21,36,58,0.6206896551724138,19,0.30679012345679013,0.6281880290078541,0.28434585624869047,-0.007498373835440275,0.022444267208099666
New Zealand,Russian Federation,United States,0,2,8,3-3-3,19,19,21,38,59,0.6440677966101694,17,0.21717171717171715,0.6272591275733728,0.28566544816626904,0.016808669036796675,-0.06849373099455189
