regime_triplet,n_triplets,coverage_efficiency_mean,coverage_efficiency_resid_mean,mean_pairwise_overlap_mean,mean_pairwise_overlap_resid_mean,union_topics_mean,unique_topics_mean,coverage_perm_p_two_sided,overlap_perm_p_two_sided,coverage_perm_q05,coverage_perm_q95,overlap_perm_q05,overlap_perm_q95
1-1-3,30,0.8184065244192918,0.10777426381096752,0.13676806665487323,-0.07530118049306962,26.633333333333333,21.333333333333332,0.0004997501249375312,0.0004997501249375312,-0.03864432140234939,0.0358427871756023,-0.033545859037976876,0.039353234132659835
1-2-3,75,0.732078368805093,0.023860754852043323,0.18254832455187417,-0.031247719852355277,28.493333333333332,19.226666666666667,0.010994502748625687,0.0014992503748125937,-0.017164144236960818,0.011611404649864876,-0.011546307487666696,0.017220755573469
1-3-3,15,0.7156267304139798,0.009273148675582843,0.17215846489009906,-0.043481488770770946,32.4,20.333333333333332,0.7736131934032984,0.16391804097951024,-0.05299353814526567,0.04767628526267157,-0.04529709901795943,0.05557273411174948
1-1-1,10,0.7034389226184892,-0.007455515022732129,0.23578282828282832,0.02229573764164601,13.9,9.6,0.8450774612693653,0.5317341329335332,-0.06264620131390389,0.06127656452530603,-0.052416247401066096,0.06709193067832724
1-1-2,50,0.6942470981914397,-0.016786130703205792,0.23417810494745478,0.021103150540333813,18.16,11.94,0.3658170914542729,0.2518740629685157,-0.031208915506708772,0.026786714338829218,-0.025414820422436854,0.03161538572667222
2-2-3,30,0.6712227481626514,-0.03336783892690246,0.2519299008071594,0.035325812692520185,30.4,18.4,0.13843078460769614,0.11044477761119441,-0.04020621052413673,0.0334375681872025,-0.03180479836234053,0.04036127133833119
1-2-2,50,0.662185493583304,-0.04748572432981226,0.2561746999703656,0.04292577142763435,21.52,12.72,0.00399800099950025,0.011494252873563218,-0.031149135131774808,0.025324868353671204,-0.024891877508728392,0.03172458192258339
2-3-3,15,0.648031367827071,-0.0568089614736067,0.2653237040194744,0.04893218187157568,33.46666666666667,18.6,0.05997001499250375,0.09745127436281859,-0.05181744463878345,0.04783807336436337,-0.044205319972031296,0.05307283756966945
2-2-2,10,0.6220626584843529,-0.07748366837067358,0.3017726133515607,0.08079062597640838,24.2,12.6,0.02148925537231384,0.017491254372813594,-0.06342544871528494,0.05865567897259108,-0.05221591806498575,0.06684003540624141
3-3-3,1,0.5689655172413793,-0.1363579176061228,0.3419540229885058,0.126022029224307,33.0,12.0,0.03948025987006497,0.03248375812093953,-0.09861731482323621,0.11700565516084016,-0.10105338574261509,0.1076439819042872
