actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid
New Zealand,Russian Federation,Norway,0,1,2,3-3-3,18,19,21,33,58,0.5689655172413793,12,0.3419540229885058,0.7053234348475022,0.2159319937641988,-0.1363579176061228,0.126022029224307
New Zealand,Russian Federation,Finland,0,1,3,2-3-3,13,19,21,36,53,0.6792452830188679,21,0.22111111111111112,0.7052695836889016,0.21626390967789969,-0.026024300670033695,0.004847201433211434
New Zealand,Russian Federation,India,0,1,4,2-3-3,13,19,21,34,53,0.6415094339622641,17,0.24809523809523812,0.7052695836889016,0.21626390967789969,-0.06376014972663746,0.031831328417338434
New Zealand,Russian Federation,Belarus,0,1,5,2-3-3,12,19,21,35,52,0.6730769230769231,20,0.2215099715099715,0.7052942571286694,0.21617997827161536,-0.032217334051746316,0.0053299932383561455
New Zealand,Russian Federation,Canada,0,1,6,1-3-3,6,19,21,33,46,0.717391304347826,21,0.1794871794871795,0.7062681460816286,0.2157177713852705,0.011123158266197475,-0.036230591898091025
New Zealand,Russian Federation,Poland,0,1,7,2-3-3,11,19,21,36,51,0.7058823529411765,23,0.19634377967711303,0.7051630354092123,0.21628064303894678,0.000719317531964192,-0.019936863361833757
New Zealand,Russian Federation,Brazil,0,1,8,2-3-3,16,19,21,37,56,0.6607142857142857,21,0.24661489446435683,0.7049564397736106,0.2163133502782954,-0.044242154059324856,0.03030154418606143
New Zealand,Russian Federation,Portugal,0,1,9,1-3-3,7,19,21,36,47,0.7659574468085106,25,0.1223076923076923,0.706073881511786,0.2159464893339885,0.05988356529672467,-0.0936387970262962
New Zealand,Russian Federation,Bulgaria,0,1,10,1-3-3,9,19,21,38,49,0.7755102040816326,28,0.13482758620689655,0.705431532551659,0.2163767799628998,0.0700786715299736,-0.08154919375600325
New Zealand,Russian Federation,Venezuela,0,1,11,1-3-3,5,19,21,34,45,0.7555555555555555,23,0.13095238095238096,0.7066554053869027,0.215348011857597,0.04890015016865279,-0.08439563090521604
New Zealand,Russian Federation,Türkiye,0,1,12,1-3-3,6,19,21,34,46,0.7391304347826086,22,0.13898550724637682,0.7062681460816286,0.2157177713852705,0.03286228870098007,-0.0767322641388937
New Zealand,Norway,Finland,0,2,3,2-3-3,13,18,21,32,52,0.6153846153846154,14,0.2752136752136752,0.7055250263594386,0.21604749942148946,-0.09014041097482317,0.05916617579218572
New Zealand,Norway,India,0,2,4,2-3-3,13,18,21,31,52,0.5961538461538461,15,0.3353174603174603,0.7055250263594386,0.21604749942148946,-0.10937118020559244,0.11926996089597083
New Zealand,Norway,Belarus,0,2,5,2-3-3,12,18,21,31,51,0.6078431372549019,16,0.32407407407407407,0.7055551922719574,0.21585205782604783,-0.09771205501705549,0.10822201624802624
New Zealand,Norway,Canada,0,2,6,1-3-3,6,18,21,30,45,0.6666666666666666,16,0.2097902097902098,0.7069169727084702,0.21526589173160587,-0.040250306041803574,-0.005475681941396082
New Zealand,Norway,Poland,0,2,7,2-3-3,11,18,21,31,50,0.62,17,0.3153515834675255,0.7059681032825155,0.2156085333924126,-0.08596810328251547,0.09974305007511292
New Zealand,Norway,Brazil,0,2,8,2-3-3,16,18,21,34,55,0.6181818181818182,18,0.3176025487853445,0.7051265696437404,0.21602939966101145,-0.08694475146192227,0.10157314912433305
New Zealand,Norway,Portugal,0,2,9,1-3-3,7,18,21,30,46,0.6521739130434783,15,0.2212931995540691,0.706418246416077,0.21561701025381885,-0.05424433337259871,0.0056761893002502395
New Zealand,Norway,Bulgaria,0,2,10,1-3-3,9,18,21,32,48,0.6666666666666666,17,0.21982758620689655,0.7058669067013189,0.2160367799628998,-0.03920024003465228,0.003790806243996747
New Zealand,Norway,Venezuela,0,2,11,1-3-3,5,18,21,30,44,0.6818181818181818,16,0.1818181818181818,0.7070529189844164,0.21503141734100245,-0.02523473716623459,-0.033213235522820655
New Zealand,Norway,Türkiye,0,2,12,1-3-3,6,18,21,29,45,0.6444444444444445,14,0.22363636363636363,0.7069169727084702,0.21526589173160587,-0.06247252826402572,0.00837047190475776
New Zealand,Finland,India,0,3,4,2-2-3,13,13,21,32,47,0.6808510638297872,18,0.21587301587301586,0.7052607185632157,0.21668083438717736,-0.024409654733428487,-0.0008078185141615069
New Zealand,Finland,Belarus,0,3,5,2-2-3,12,13,21,32,46,0.6956521739130435,20,0.22378167641325533,0.7052015141228828,0.2166491997450164,-0.00954934020983933,0.007132476668238935
New Zealand,Finland,Canada,0,3,6,1-2-3,6,13,21,31,40,0.775,23,0.17631257631257632,0.7063622740583395,0.2155694425844051,0.06863772594166051,-0.03925686627182878
New Zealand,Finland,Poland,0,3,7,2-2-3,11,13,21,34,45,0.7555555555555555,23,0.13647586980920315,0.7049619005963127,0.2169984229714326,0.05059365495924284,-0.08052255316222945
New Zealand,Finland,Brazil,0,3,8,2-2-3,13,16,21,34,50,0.68,20,0.2359447004608295,0.7053465648209769,0.21617991272819118,-0.025346564820976858,0.019764787732638317
New Zealand,Finland,Portugal,0,3,9,1-2-3,7,13,21,32,41,0.7804878048780488,24,0.15341880341880343,0.7063795162895502,0.21539336813530618,0.0741082885884986,-0.061974564716502756
New Zealand,Finland,Bulgaria,0,3,10,1-2-3,9,13,21,32,43,0.7441860465116279,21,0.18093869731800769,0.7055886594206658,0.21612885267495222,0.038597387090962054,-0.03519015535694453
New Zealand,Finland,Venezuela,0,3,11,1-2-3,5,13,21,31,39,0.7948717948717948,23,0.13968253968253966,0.7083570118028645,0.2137731421337187,0.08651478306893035,-0.07409060245117904
New Zealand,Finland,Türkiye,0,3,12,1-2-3,6,13,21,31,40,0.775,23,0.16,0.7063622740583395,0.2155694425844051,0.06863772594166051,-0.055569442584405104
New Zealand,India,Belarus,0,4,5,2-2-3,12,13,21,31,46,0.6739130434782609,19,0.25076580339738236,0.7052015141228828,0.2166491997450164,-0.031288470644621924,0.03411660365236596
New Zealand,India,Canada,0,4,6,1-2-3,6,13,21,29,40,0.725,18,0.1731379731379731,0.7063622740583395,0.2155694425844051,0.018637725941660466,-0.042431469446432
New Zealand,India,Poland,0,4,7,2-2-3,11,13,21,31,45,0.6888888888888889,20,0.24426807760141092,0.7049619005963127,0.2169984229714326,-0.016073011707423812,0.027269654629978324
New Zealand,India,Brazil,0,4,8,2-2-3,13,16,21,33,50,0.66,19,0.26292882744495644,0.7053465648209769,0.21617991272819118,-0.045346564820976876,0.04674891471676526
New Zealand,India,Portugal,0,4,9,1-2-3,7,13,21,30,41,0.7317073170731707,19,0.15589312648136178,0.7063795162895502,0.21539336813530618,0.025327800783620513,-0.05950024165394441
New Zealand,India,Bulgaria,0,4,10,1-2-3,9,13,21,32,43,0.7441860465116279,22,0.18096203998840918,0.7055886594206658,0.21612885267495222,0.038597387090962054,-0.035166812686543036
New Zealand,India,Venezuela,0,4,11,1-2-3,5,13,21,30,39,0.7692307692307693,21,0.13809523809523808,0.7083570118028645,0.2137731421337187,0.060873757427904795,-0.07567790403848063
New Zealand,India,Türkiye,0,4,12,1-2-3,6,13,21,29,40,0.725,20,0.21714285714285717,0.7063622740583395,0.2155694425844051,0.018637725941660466,0.0015734145584520576
New Zealand,Belarus,Canada,0,5,6,1-2-3,6,12,21,29,39,0.7435897435897436,20,0.1821326821326821,0.7085364989823516,0.21342523444686362,0.03505324460739201,-0.031292552314181515
New Zealand,Belarus,Poland,0,5,7,2-2-3,11,12,21,32,44,0.7272727272727273,22,0.18580246913580245,0.7050750319094441,0.2168011165741262,0.0221976953632832,-0.030998647438323756
New Zealand,Belarus,Brazil,0,5,8,2-2-3,12,16,21,33,49,0.673469387755102,21,0.2719235364396655,0.7051844251616946,0.21631800796628642,-0.03171503740659254,0.05560552847337907
New Zealand,Belarus,Portugal,0,5,9,1-2-3,7,12,21,30,40,0.75,21,0.1622150997150997,0.7063289407250061,0.21568147281471117,0.04367105927499393,-0.05346637309961147
New Zealand,Belarus,Bulgaria,0,5,10,1-2-3,9,12,21,32,42,0.7619047619047619,22,0.14112388250319285,0.7059961624076597,0.2155973224560962,0.05590859949710214,-0.07447343995290334
New Zealand,Belarus,Venezuela,0,5,11,1-2-3,5,12,21,29,38,0.7631578947368421,20,0.1455026455026455,0.7099027700518721,0.21236585697363786,0.05325512468497007,-0.06686321147099236
New Zealand,Belarus,Türkiye,0,5,12,1-2-3,6,12,21,29,39,0.7435897435897436,21,0.195978835978836,0.7085364989823516,0.21342523444686362,0.03505324460739201,-0.01744639846802762
New Zealand,Canada,Poland,0,6,7,1-2-3,6,11,21,30,38,0.7894736842105263,22,0.11899335232668566,0.7086737742704932,0.21335354778103902,0.08079990994003317,-0.09436019545435335
New Zealand,Canada,Brazil,0,6,8,1-2-3,6,16,21,33,43,0.7674418604651163,24,0.15141071592684496,0.7065996550390594,0.21530278406901054,0.060842205426056895,-0.06389206814216558
New Zealand,Canada,Portugal,0,6,9,1-1-3,6,7,21,29,34,0.8529411764705882,24,0.09906759906759906,0.7110776769537569,0.2110282334583463,0.1418634995168313,-0.11196063439074723
New Zealand,Canada,Bulgaria,0,6,10,1-1-3,6,9,21,31,36,0.8611111111111112,26,0.10764809902740936,0.71126278812692,0.2108689275790404,0.14984832298419115,-0.10322082855163105
New Zealand,Canada,Venezuela,0,6,11,1-1-3,5,6,21,28,32,0.875,24,0.1378205128205128,0.7109237855542316,0.2112812702291806,0.16407621444576836,-0.07346075740866781
New Zealand,Canada,Türkiye,0,6,12,1-1-3,6,6,21,29,33,0.8787878787878788,25,0.06979020979020979,0.7096730355322513,0.21323945279845766,0.16911484325562753,-0.14344924300824785
New Zealand,Poland,Brazil,0,7,8,2-2-3,11,16,21,33,48,0.6875,21,0.24291119076065312,0.705168188752601,0.2164155982481904,-0.01766818875260101,0.026495592512462723
New Zealand,Poland,Portugal,0,7,9,1-2-3,7,11,21,29,39,0.7435897435897436,19,0.1540360873694207,0.7073827868788524,0.21487951831114752,0.03620695671089125,-0.06084343094172681
New Zealand,Poland,Bulgaria,0,7,10,1-2-3,9,11,21,32,41,0.7804878048780488,24,0.15655598126862494,0.7059751635691,0.21547210199754244,0.07451264130894886,-0.0589161207289175
New Zealand,Poland,Venezuela,0,7,11,1-2-3,5,11,21,30,37,0.8108108108108109,23,0.10934744268077601,0.7114367106590777,0.21103200568231528,0.0993741001517332,-0.10168456300153927
New Zealand,Poland,Türkiye,0,7,12,1-2-3,6,11,21,30,38,0.7894736842105263,22,0.10922839506172839,0.7086737742704932,0.21335354778103902,0.08079990994003317,-0.10412515271931062
New Zealand,Brazil,Portugal,0,8,9,1-2-3,7,16,21,33,44,0.75,22,0.1401571546732837,0.7058457394972367,0.21604958105818584,0.044154260502763276,-0.07589242638490212
New Zealand,Brazil,Bulgaria,0,8,10,1-2-3,9,16,21,33,46,0.717391304347826,20,0.18127353980055813,0.7055101619967481,0.21638373445596934,0.011881142351077956,-0.03511019465541121
New Zealand,Brazil,Venezuela,0,8,11,1-2-3,5,16,21,33,42,0.7857142857142857,24,0.12007168458781363,0.7069855127064839,0.21507348081865468,0.07872877300780179,-0.09500179623084105
New Zealand,Brazil,Türkiye,0,8,12,1-2-3,6,16,21,32,43,0.7441860465116279,22,0.1652568697729988,0.7065996550390594,0.21530278406901054,0.03758639147256848,-0.05004591429601174
New Zealand,Portugal,Bulgaria,0,9,10,1-1-3,7,9,21,30,37,0.8108108108108109,23,0.14824638962569997,0.7092238455536295,0.21278113278697777,0.10158696525718136,-0.0645347431612778
New Zealand,Portugal,Venezuela,0,9,11,1-1-3,5,7,21,29,33,0.8787878787878788,25,0.09230769230769231,0.7112873780004327,0.21086281851486682,0.16750050078744605,-0.11855512620717451
New Zealand,Portugal,Türkiye,0,9,12,1-1-3,6,7,21,28,34,0.8235294117647058,22,0.11291375291375293,0.7110776769537569,0.2110282334583463,0.11245173481094894,-0.09811448054459336
New Zealand,Bulgaria,Venezuela,0,10,11,1-1-3,5,9,21,31,35,0.8857142857142857,27,0.10240334378265413,0.7109245686652221,0.21099435187026183,0.17478971704906354,-0.1085910080876077
New Zealand,Bulgaria,Türkiye,0,10,12,1-1-3,6,9,21,30,36,0.8333333333333334,24,0.12149425287356323,0.71126278812692,0.2108689275790404,0.12207054520641336,-0.08937467470547718
New Zealand,Venezuela,Türkiye,0,11,12,1-1-3,5,6,21,28,32,0.875,24,0.10074074074074074,0.7109237855542316,0.2112812702291806,0.16407621444576836,-0.11054052948843987
Russian Federation,Norway,Finland,1,2,3,2-3-3,13,18,19,33,50,0.66,19,0.2493899204244032,0.7030181828581124,0.2174882168004218,-0.04301818285811232,0.0319017036239814
Russian Federation,Norway,India,1,2,4,2-3-3,13,18,19,32,50,0.64,18,0.2825095785440613,0.7030181828581124,0.2174882168004218,-0.06301818285811234,0.06502136174363948
Russian Federation,Norway,Belarus,1,2,5,2-3-3,12,18,19,33,49,0.673469387755102,20,0.23938992042440319,0.7039849949622643,0.21694139621360126,-0.030515607207162287,0.02244852421080193
Russian Federation,Norway,Canada,1,2,6,1-3-3,6,18,19,30,43,0.6976744186046512,19,0.2055903866248694,0.7064793449615402,0.215402493274897,-0.008804926356889009,-0.009812106650027602
Russian Federation,Norway,Poland,1,2,7,2-3-3,11,18,19,33,48,0.6875,21,0.23019259600968747,0.7039288725132846,0.2169781855112601,-0.01642887251328462,0.013214410498427365
Russian Federation,Norway,Brazil,1,2,8,2-3-3,16,18,19,34,53,0.6415094339622641,19,0.2771392081736909,0.70207881178893,0.21765661191577348,-0.06056937782666583,0.059482596257917436
Russian Federation,Norway,Portugal,1,2,9,1-3-3,7,18,19,33,44,0.75,22,0.13427286356821588,0.7055907027520113,0.21604855649887425,0.0444092972479887,-0.08177569293065837
Russian Federation,Norway,Bulgaria,1,2,10,1-3-3,9,18,19,34,46,0.7391304347826086,24,0.1736206896551724,0.7037223507741542,0.21720447313667818,0.03540808400845441,-0.04358378348150577
Russian Federation,Norway,Venezuela,1,2,11,1-3-3,5,18,19,31,42,0.7380952380952381,21,0.15472458575906853,0.7067252466567441,0.21525292303837024,0.03136999143849406,-0.06052833727930171
Russian Federation,Norway,Türkiye,1,2,12,1-3-3,6,18,19,32,43,0.7441860465116279,22,0.15124256053791285,0.7064793449615402,0.215402493274897,0.03770670155008771,-0.06415993273698414
Russian Federation,Finland,India,1,3,4,2-2-3,13,13,19,29,45,0.6444444444444445,17,0.2866666666666667,0.7054747211091332,0.21615877089511387,-0.06103027666468874,0.07050789577155281
Russian Federation,Finland,Belarus,1,3,5,2-2-3,12,13,19,30,44,0.6818181818181818,20,0.26269905533063426,0.7053900872244995,0.21615120218701883,-0.023571905406317706,0.046547853143615425
Russian Federation,Finland,Canada,1,3,6,1-2-3,6,13,19,26,38,0.6842105263157895,19,0.29571428571428576,0.7084616348990664,0.21370850730096397,-0.024251108583276948,0.0820057784133218
Russian Federation,Finland,Poland,1,3,7,2-2-3,11,13,19,31,43,0.7209302325581395,20,0.17491841491841495,0.7058677291881077,0.2158297948519999,0.015062503370031788,-0.04091137993358496
Russian Federation,Finland,Brazil,1,3,8,2-2-3,13,16,19,29,48,0.6041666666666666,14,0.3190828924162257,0.7042622058466181,0.21662262432563398,-0.10009553917995151,0.10246026809059175
Russian Federation,Finland,Portugal,1,3,9,1-2-3,7,13,19,28,39,0.717948717948718,18,0.19000000000000003,0.7076756343822261,0.2142470322106944,0.010273083566491814,-0.02424703221069438
Russian Federation,Finland,Bulgaria,1,3,10,1-2-3,9,13,19,27,41,0.6585365853658537,15,0.25833333333333336,0.7068650197291999,0.2149199582118963,-0.04832843436334622,0.04341337512143706
Russian Federation,Finland,Venezuela,1,3,11,1-2-3,5,13,19,26,37,0.7027027027027027,18,0.2361904761904762,0.7107207995466556,0.21140730955614304,-0.008018096843952827,0.024783166634333165
Russian Federation,Finland,Türkiye,1,3,12,1-2-3,6,13,19,27,38,0.7105263157894737,18,0.21120772946859903,0.7084616348990664,0.21370850730096397,0.0020646808904072333,-0.0025007778323649366
Russian Federation,India,Belarus,1,4,5,2-2-3,12,13,19,29,44,0.6590909090909091,17,0.26269905533063426,0.7053900872244995,0.21615120218701883,-0.04629917813359041,0.046547853143615425
Russian Federation,India,Canada,1,4,6,1-2-3,6,13,19,25,38,0.6578947368421053,15,0.26555555555555554,0.7084616348990664,0.21370850730096397,-0.05056689805696113,0.05184704825459158
Russian Federation,India,Poland,1,4,7,2-2-3,11,13,19,29,43,0.6744186046511628,18,0.25572649572649575,0.7058677291881077,0.2158297948519999,-0.03144912453694493,0.039896700874495844
Russian Federation,India,Brazil,1,4,8,2-2-3,13,16,19,29,48,0.6041666666666666,14,0.3190828924162257,0.7042622058466181,0.21662262432563398,-0.10009553917995151,0.10246026809059175
Russian Federation,India,Portugal,1,4,9,1-2-3,7,13,19,29,39,0.7435897435897436,20,0.16549019607843138,0.7076756343822261,0.2142470322106944,0.035914109207517475,-0.04875683613226303
Russian Federation,India,Bulgaria,1,4,10,1-2-3,9,13,19,29,41,0.7073170731707317,20,0.23137254901960783,0.7068650197291999,0.2149199582118963,0.0004520534415317634,0.016452590807711526
Russian Federation,India,Venezuela,1,4,11,1-2-3,5,13,19,26,37,0.7027027027027027,17,0.20761904761904762,0.7107207995466556,0.21140730955614304,-0.008018096843952827,-0.0037882619370954163
Russian Federation,India,Türkiye,1,4,12,1-2-3,6,13,19,26,38,0.6842105263157895,16,0.2413664596273292,0.7084616348990664,0.21370850730096397,-0.024251108583276948,0.027657952326365226
Russian Federation,Belarus,Canada,1,5,6,1-2-3,6,12,19,26,37,0.7027027027027027,18,0.24267399267399267,0.71023184734424,0.2117113588827211,-0.007529144641537311,0.030962633791271565
Russian Federation,Belarus,Poland,1,5,7,2-2-3,11,12,19,31,42,0.7380952380952381,21,0.16538461538461538,0.7056130226543315,0.2161911623733674,0.03248221544090668,-0.05080654698875203
Russian Federation,Belarus,Brazil,1,5,8,2-2-3,12,16,19,30,47,0.6382978723404256,17,0.2962013295346629,0.704125681023923,0.2167141505771602,-0.06582780868349747,0.07948717895750268
Russian Federation,Belarus,Portugal,1,5,9,1-2-3,7,12,19,30,38,0.7894736842105263,23,0.13993589743589743,0.7079673657468368,0.21436808248691597,0.0815063184636895,-0.07443218505101853
Russian Federation,Belarus,Bulgaria,1,5,10,1-2-3,9,12,19,30,40,0.75,21,0.15965811965811963,0.7057730122245097,0.21562613092806898,0.04422698777549028,-0.05596801126994935
Russian Federation,Belarus,Venezuela,1,5,11,1-2-3,5,12,19,27,36,0.75,20,0.18315018315018317,0.7115912784934955,0.21071467926604148,0.03840872150650454,-0.027564496115858317
