actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid,triplet_region_1_share_mean,triplet_region_2_share_mean,triplet_region_3_share_mean
New Zealand,Sweden,Russian Federation,0,1,2,2-3-3,14,19,21,36,54,0.6666666666666666,21,0.2420424403183023,0.658450433393111,0.2466124982784568,0.0082162332735555,-0.0045700579601544,0.050607063872390064,0.30834420164672477,0.6410487344808851
New Zealand,Sweden,Korea (ROK),0,1,3,2-3-3,14,16,21,35,51,0.6862745098039216,19,0.1877155172413792,0.6777160484797048,0.2307020893110464,0.0085584613242167,-0.0429865720696671,0.0743149324726452,0.331768365238345,0.5939167022890097
New Zealand,Sweden,Ukraine,0,1,4,2-3-3,10,14,21,32,45,0.7111111111111111,20,0.180687128962991,0.7170336289756496,0.1949835724321493,-0.0059225178645384,-0.0142964434691583,0.0925207605847826,0.2954680770349871,0.6120111623802301
New Zealand,Sweden,Norway,0,1,5,2-3-3,14,18,21,31,53,0.5849056603773585,13,0.3289655172413793,0.659677222505369,0.2461162336214599,-0.0747715621280105,0.0828492836199193,0.03685588473279183,0.33687151413252825,0.6262726011346799
New Zealand,Sweden,Japan,0,1,6,2-2-3,13,14,21,34,48,0.7083333333333334,20,0.1713809761785774,0.7031954277757972,0.2054527945581484,0.0051379055575361,-0.034071818379571,0.15162026043240256,0.3781073628755318,0.4702723766920655
New Zealand,Sweden,France,0,1,7,2-3-3,14,18,21,33,53,0.6226415094339622,17,0.2994002998500749,0.659677222505369,0.2461162336214599,-0.0370357130714067,0.0532840662286149,0.09576881567937796,0.3142801694416055,0.5899510148790165
New Zealand,Sweden,United States,0,1,8,2-3-3,14,19,21,35,54,0.6481481481481481,16,0.2118226600985221,0.658450433393111,0.2466124982784568,-0.0103022852449629,-0.0347898381799346,0.04393436880457983,0.3512964267499638,0.6047692044454563
New Zealand,Sweden,United Kingdom,0,1,9,2-3-3,14,21,22,36,57,0.631578947368421,17,0.2517612161661104,0.6563377229837402,0.2485738075706858,-0.0247587756153191,0.0031874085954246,0.030402602536388632,0.3962868361989038,0.5733105612647075
New Zealand,Sweden,Spain,0,1,10,2-2-3,14,15,21,34,50,0.68,19,0.216692789968652,0.6911911555867136,0.2171343625599667,-0.0111911555867135,-0.0004415725913147,0.08703470729280498,0.43945270521257235,0.47351258749462266
New Zealand,Sweden,Germany,0,1,11,2-2-3,14,19,21,34,54,0.6296296296296297,16,0.2541507024265645,0.658450433393111,0.2466124982784568,-0.0288208037634813,0.0075382041481076,0.048537901984476405,0.46814235185176933,0.48331974616375417
New Zealand,Sweden,Uruguay,0,1,12,2-2-3,14,17,21,37,52,0.7115384615384616,24,0.1994705677464298,0.6648086601316282,0.2421580740865329,0.0467298014068333,-0.0426875063401031,0.14285381644114872,0.4651658976441924,0.39198028591465883
New Zealand,Sweden,Finland,0,1,13,2-2-3,13,14,21,34,48,0.7083333333333334,22,0.208648056923919,0.7031954277757972,0.2054527945581484,0.0051379055575361,0.0031952623657705,0.0884817357612393,0.4932237886344995,0.4182944756042612
New Zealand,Sweden,China,0,1,14,2-2-3,14,17,21,36,52,0.6923076923076923,22,0.2072371221796509,0.6648086601316282,0.2421580740865329,0.027499032176064,-0.034920951906882,0.08183292852653923,0.4817373915181713,0.4364296799552894
New Zealand,Sweden,South Africa,0,1,15,2-2-3,14,18,21,36,53,0.6792452830188679,21,0.2188052608311229,0.659677222505369,0.2461162336214599,0.0195680605134989,-0.027310972790337,0.13995528234041857,0.4158470820426478,0.44419763561693365
