actor_a,actor_b,actor_a_idx,actor_b_idx,regime_pair,k_small,k_large,union_topics,sum_support,distinct_share,pairwise_overlap,distinct_share_null,pairwise_overlap_null,distinct_share_resid,pairwise_overlap_resid
New Zealand,Russian Federation,0,1,3-3,19,21,32,40,0.8,0.25,0.8276240256295879,0.21688114964858995,-0.02762402562958788,0.033118850351410045
New Zealand,Norway,0,2,3-3,18,21,26,39,0.6666666666666666,0.5,0.8293556273611897,0.21363439640183665,-0.1626889606945231,0.2863656035981633
New Zealand,Finland,0,3,2-3,13,21,30,34,0.8823529411764706,0.13333333333333333,0.827318448853423,0.21734497154098326,0.05503449232304758,-0.08401163820764992
New Zealand,India,0,4,2-3,13,21,28,34,0.8235294117647058,0.21428571428571427,0.827318448853423,0.21734497154098326,-0.00378903708871714,-0.0030592572552689823
New Zealand,Belarus,0,5,2-3,12,21,27,33,0.8181818181818182,0.2222222222222222,0.8273878981207331,0.21724190000934027,-0.009206079938914868,0.0049803222128819435
New Zealand,Canada,0,6,1-3,6,21,26,27,0.9629629629629629,0.038461538461538464,0.8255076235131857,0.2196284023958427,0.13745533944977717,-0.18116686393430423
New Zealand,Poland,0,7,2-3,11,21,27,32,0.84375,0.18518518518518517,0.8270558438114062,0.21772290049034076,0.016694156188593823,-0.03253771530515559
New Zealand,Brazil,0,8,2-3,16,21,31,37,0.8378378378378378,0.1935483870967742,0.8271326251381874,0.21761428747850195,0.010705212699650413,-0.02406590038172776
New Zealand,Portugal,0,9,1-3,7,21,26,28,0.9285714285714286,0.07692307692307693,0.8259542668169719,0.21912890189634215,0.10261716175445668,-0.14220582497326523
New Zealand,Bulgaria,0,10,1-3,9,21,29,30,0.9666666666666667,0.034482758620689655,0.8254595234650858,0.21968007486130822,0.1412071432015809,-0.18519731624061858
New Zealand,Venezuela,0,11,1-3,5,21,26,26,1.0,0.0,0.8250266230321853,0.22012790289534315,0.17497337696781468,-0.22012790289534315
New Zealand,Türkiye,0,12,1-3,6,21,25,27,0.9259259259259259,0.08,0.8255076235131857,0.2196284023958427,0.10041830241274019,-0.13962840239584268
Russian Federation,Norway,1,2,3-3,18,19,29,37,0.7837837837837838,0.27586206896551724,0.8278346258401882,0.21654527862306372,-0.044050842056404416,0.05931679034245352
Russian Federation,Finland,1,3,2-3,13,19,25,32,0.78125,0.28,0.8278675321230945,0.21649153925897954,-0.046617532123094496,0.06350846074102048
Russian Federation,India,1,4,2-3,13,19,25,32,0.78125,0.28,0.8278675321230945,0.21649153925897954,-0.046617532123094496,0.06350846074102048
Russian Federation,Belarus,1,5,2-3,12,19,26,31,0.8387096774193549,0.19230769230769232,0.8271213025462197,0.21763040039784068,0.011588374873135132,-0.02532270809014836
Russian Federation,Canada,1,6,1-3,6,19,20,25,0.8,0.25,0.8276240256295879,0.2168811496485899,-0.02762402562958788,0.0331188503514101
Russian Federation,Poland,1,7,2-3,11,19,26,30,0.8666666666666667,0.15384615384615385,0.826758224763787,0.21812990089734116,0.03990844190287968,-0.0642837470511873
Russian Federation,Brazil,1,8,2-3,16,19,27,35,0.7714285714285715,0.2962962962962963,0.8279950831435026,0.21627989904733932,-0.0565665117149311,0.08001639724895696
Russian Federation,Portugal,1,9,1-3,7,19,25,26,0.9615384615384616,0.04,0.8255261235316858,0.21960842237586264,0.1360123380067758,-0.17960842237586264
Russian Federation,Bulgaria,1,10,1-3,9,19,25,28,0.8928571428571429,0.12,0.8264180887093654,0.21856946133690164,0.06643905414777751,-0.09856946133690164
Russian Federation,Venezuela,1,11,1-3,5,19,21,24,0.875,0.14285714285714285,0.826649999655562,0.21827261532576991,0.04835000034443804,-0.07541547246862706
Russian Federation,Türkiye,1,12,1-3,6,19,23,25,0.92,0.08695652173913043,0.8276240256295879,0.2168811496485899,0.09237597437041212,-0.12992462790945947
Norway,Finland,2,3,2-3,13,18,26,31,0.8387096774193549,0.19230769230769232,0.8279591743518334,0.21634002410746436,0.010750503067521455,-0.024032331799772044
Norway,India,2,4,2-3,13,18,24,31,0.7741935483870968,0.2916666666666667,0.8279591743518334,0.21634002410746436,-0.05376562596473666,0.07532664255920232
Norway,Belarus,2,5,2-3,12,18,24,30,0.8,0.25,0.8276240256295879,0.2168811496485899,-0.02762402562958788,0.0331188503514101
Norway,Canada,2,6,1-3,6,18,22,24,0.9166666666666666,0.09090909090909091,0.8261088741144363,0.21894726535106926,0.09055779255223029,-0.12803817444197835
Norway,Poland,2,7,2-3,11,18,23,29,0.7931034482758621,0.2608695652173913,0.8277135912363949,0.21673998646394846,-0.034610142960532775,0.04412957875344284
Norway,Brazil,2,8,2-3,16,18,27,34,0.7941176470588235,0.25925925925925924,0.8277004198236292,0.21676089952833982,-0.0335827727648057,0.04249835973091942
Norway,Portugal,2,9,1-3,7,18,23,25,0.92,0.08695652173913043,0.8260655840711464,0.21899859741821162,0.09393441592885365,-0.1320420756790812
Norway,Bulgaria,2,10,1-3,9,18,24,27,0.8888888888888888,0.125,0.8264696244751867,0.21850452627196654,0.06241926441370216,-0.09350452627196654
Norway,Venezuela,2,11,1-3,5,18,22,23,0.9565217391304348,0.045454545454545456,0.8255912757707511,0.21953758412320623,0.13093046335968372,-0.17408303866866076
Norway,Türkiye,2,12,1-3,6,18,22,24,0.9166666666666666,0.09090909090909091,0.8261088741144363,0.21894726535106926,0.09055779255223029,-0.12803817444197835
Finland,India,3,4,2-2,13,13,20,26,0.7692307692307693,0.3,0.8280236260291882,0.21623179899923925,-0.058792856798418947,0.08376820100076074
Finland,Belarus,3,5,2-2,12,13,19,25,0.76,0.3157894736842105,0.8281435061490684,0.21602674089944435,-0.06814350614906839,0.09976273278476616
Finland,Canada,3,6,1-2,6,13,14,19,0.7368421052631579,0.35714285714285715,0.8284442580287676,0.21548968397141,-0.09160215276560979,0.14165317317144716
Finland,Poland,3,7,2-2,11,13,22,24,0.9166666666666666,0.09090909090909091,0.8261088741144363,0.21894726535106926,0.09055779255223029,-0.12803817444197835
Finland,Brazil,3,8,2-2,13,16,21,29,0.7241379310344828,0.38095238095238093,0.8286092473044647,0.21518046937648108,-0.10447131626998196,0.16577191157589985
Finland,Portugal,3,9,1-2,7,13,16,20,0.8,0.25,0.8276240256295879,0.21688114964858995,-0.02762402562958788,0.033118850351410045
Finland,Bulgaria,3,10,1-2,9,13,16,22,0.7272727272727273,0.375,0.828568535665007,0.2152577730252133,-0.1012958083922797,0.1597422269747867
