actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca,fuzzy_class
New Zealand,44,21,0.5335505413608048,0.612738549411822,0.5782303524397047,0.807516104640272,0.0016424448899293,3,0.7782770773875828,1,1.0,Environmental Domains Analysis,,0.0027702119702876,0.2189527106421296,0.7782770773875828,13,0.612738549411822,0.2457451397466675,0.2814002726199548,4.677291999984679,1.0648802328647806,43,0.8619726849729548,0.0662489814652629,15.09457168823556,1.457903303300089,1.22093656136355,CEP Strategy Discussions,3
Sweden,55,14,0.1761129906857437,0.4881800128989456,0.3591321581558954,0.8636807603365604,0.6478846568581333,2,0.5279869901142338,3,1.0,Environmental Domains Analysis,0.6312105284067,0.0825782817345993,0.5279869901142338,0.3894347281511668,13,0.4881800128989456,0.2571514180286374,0.3009723273860725,3.8016101992594376,0.998491151228144,19,0.8949329260511933,0.086643698486368,11.54152024289837,1.377245542559091,1.133194927944705,CEP Strategy Discussions,2+3
SCAR,51,16,0.3888141831719688,0.5623013501803571,0.6187624363507289,0.7582408130892438,-0.1221705957479975,3,0.6745414680428097,3,0.8368881874706654,Sub glacial Lakes,0.5292533034063379,0.0558605025117773,0.2695980294454129,0.6745414680428097,14,0.5623013501803571,0.2355420828530011,0.2642289983924716,4.067956129081394,1.0169890322703483,30,0.8290293108882559,0.0793528162232314,12.60194719727211,1.5009642272826276,1.2401540412662595,Marine Acoustics,2+3
Russian Federation,50,19,0.3079100800918716,0.5341081828466181,0.5486928120359824,0.7299814097490634,-0.2400086840547624,3,0.7554343979039055,3,0.7856949393318449,Marine Acoustics,0.2370021272958624,0.0664726979122833,0.178092904183811,0.7554343979039055,14,0.5341081828466181,0.229375321835161,0.2543812643865393,4.296642886529531,1.0114680330424128,34,0.8445551388977911,0.0882870472251782,11.326689830836406,1.5641386712959466,1.3261834166831523,Waste management and disposal,3
Korea (ROK),40,16,0.1485864303009579,0.4785876573384097,0.377663422851123,0.8237380342423304,0.0170874955146732,3,0.6140383013282795,4,0.7856949393318449,Marine Acoustics,0.7856949393318449,0.1375963037130487,0.2483653949586717,0.6140383013282795,14,0.4785876573384097,0.2604728283881022,0.2870532315965122,3.916574182522071,0.9791435456305176,24,0.8542216390877883,0.1025689467332989,9.749539522914404,1.458306329688075,1.2709173041327635,Multiyear strategic workplan,3
Ukraine,59,10,0.186324992993808,0.4917386542894661,0.5815045003879167,0.7604078543095852,-0.3703217545953817,3,0.6683216816019409,5,0.7604580634912677,Multiyear strategic workplan,0.6365389384269042,0.1922137880494609,0.139464530348598,0.6683216816019409,14,0.4917386542894661,0.2389666546007178,0.2649841610284594,3.1419891160187547,0.945832969971402,17,0.7686893405635542,0.195630860285312,5.111667957404979,1.197854868007321,0.9528841573999004,Multiyear strategic workplan,3
Norway,45,18,0.1831778857460492,0.4906419618118863,0.5004157993437484,0.5736634758327149,-0.1892995729162148,3,0.71110599786529,7,0.706743800577266,Drilling,0.1252393001893493,0.0252191604934886,0.2636748416412214,0.71110599786529,9,0.4906419618118863,0.1642147137386297,0.1999081598048739,4.827674707990528,1.1577365795117924,39,0.9133977903823084,0.0488942593257147,20.45229877271243,1.339616852709528,1.074587436912039,Human Footprint and wilderness values,2+3
Japan,37,13,-0.2978755979491689,0.3230061949476247,0.3052279433304539,0.621792038947375,0.6238340917713994,2,0.3873823878702321,5,0.706743800577266,Drilling,0.633953925551712,0.3695122875923208,0.3873823878702321,0.2431053245374469,9,0.3230061949476248,0.1727414884859861,0.2166798262811794,4.151992123681812,1.1220266887005408,25,0.8940828384875603,0.070212605136675,14.242456864453494,1.2629527494004995,1.0114908225145658,Waste management and disposal,1+2
Monaco,42,5,0.1160965414834667,0.4672656991531833,0.5004157993437484,0.4534432958528053,-0.2201276368437008,3,0.5284344513711007,2,0.6351007320692914,Tourism and NG_Activities,0.3274658480049639,0.0358448333017195,0.4357207153271797,0.5284344513711007,3,0.4672656991531833,0.1529179812099053,0.1580142691117131,1.6661205572888695,0.7175590669484939,5,0.7175590669484939,0.3812271924513725,2.623107742052149,0.6315817299531425,0.5087949265724264,Specially Protected Species,2+3
France,21,18,-0.0751414206668754,0.4006237902486373,0.3687894715933,0.5747712932368426,-0.0138771292755078,3,0.6021412390982998,7,0.6351007320692914,Tourism and NG_Activities,0.086407920033309,0.201957953333247,0.1959008075684531,0.6021412390982998,9,0.4006237902486373,0.1761753521924846,0.2002942079811806,4.862725107637737,1.1661421023053882,36,0.9405794293497736,0.0400985610390246,24.938550763125427,1.3564309177003089,1.0689516136004062,Inspections,3
