fuzzy_pair,n_pairs,distinct_share_mean,distinct_share_resid_mean,pairwise_overlap_mean,pairwise_overlap_resid_mean,union_topics_mean,distinct_perm_p_two_sided,overlap_perm_p_two_sided
1-3,4,0.9374084249084249,0.11156892427764775,0.06785145888594164,-0.15139525623166203,26.25,0.001999000499750125,0.001999000499750125
1-2+3,2,0.9044444444444444,0.0781768401712779,0.10597826086956522,-0.11277330097552386,23.5,0.14192903548225888,0.1469265367316342
1+2-2+3,4,0.8959931798806479,0.06961581892483468,0.12163299663299663,-0.0969152569554245,23.25,0.0704647676161919,0.08245877061469266
1+2-3,8,0.8866444122694123,0.0600109586125392,0.1360149858063603,-0.08214924029811715,24.875,0.026486756621689155,0.034482758620689655
2-3,8,0.829461314401127,0.0023153959868326274,0.20764753764753766,-0.009915060182500449,26.75,0.9385307346326837,0.8110944527736131
1+2-1+2,6,0.8259379509379509,-0.0015459911099948893,0.21654040404040406,-0.00044459798476552403,13.666666666666666,0.9580209895052474,0.993503248375812
1-1+2,8,0.817615066093327,-0.00978019244413983,0.22526913875598087,0.00806680909123482,13.25,0.7131434282858571,0.8260869565217391
1-2,8,0.8103226817042607,-0.017174662108624936,0.23746936274509806,0.020413540954924193,16.375,0.5272363818090955,0.6051974012993503
2-2,6,0.8042437755481234,-0.022964385752556753,0.25097022860180757,0.03357695152721459,19.666666666666668,0.5227386306846576,0.5152423788105946
2-2+3,4,0.8015016685205785,-0.026312322871833965,0.24871098104793757,0.032135684966070804,24.25,0.5517241379310345,0.6176911544227887
3-3,1,0.8,-0.02762402562958788,0.25,0.033118850351410045,32.0,0.7776111944027986,0.8205897051474262
1+2-2,16,0.7902912116399292,-0.03745150285872408,0.27310267857142856,0.05654137276946819,16.0,0.041979010494752625,0.034482758620689655
1-1,1,0.75,-0.0782733762789386,0.3333333333333333,0.11753443476699443,12.0,0.30184907546226886,0.30184907546226886
2+3-3,2,0.7252252252252251,-0.10336990137546376,0.3879310344827586,0.1728411969703084,27.5,0.03698150924537731,0.012993503248375811
