actor,dominant_region,dominant_region_share,first_year,last_year,active_years
New Zealand,3,0.7782770773875828,1961,2025,46
Sweden,2,0.5279869901142338,1975,2025,31
SCAR,3,0.6745414680428097,1972,2025,38
Russian Federation,3,0.7554343979039055,1961,2025,45
Korea (ROK),3,0.6140383013282795,1981,2025,32
Ukraine,3,0.6683216816019409,1998,2025,21
Norway,3,0.71110599786529,1961,2025,43
Japan,2,0.3873823878702321,1961,2025,39
Monaco,3,0.5284344513711007,2016,2025,7
France,3,0.6021412390982998,1961,2025,43
IAATO,3,0.7269493507842069,1992,2025,31
United States,3,0.6465958077976195,1961,2025,47
United Kingdom,3,0.5522198782553728,1961,2025,47
Spain,2,0.5714184148813536,1987,2025,33
COMNAP,2,0.8422635911751315,1991,2025,32
ASOC,2,0.5283260213361527,1991,2025,32
Germany,2,0.6574873547989447,1981,2025,36
IUCN,2,0.7793969481137133,1991,2025,21
Uruguay,2,0.648557992176214,1981,2025,33
Finland,2,0.7327316651471352,1985,2024,30
ACAP,2,0.8790239040425727,2007,2018,4
WMO,2,0.6135376581518733,1968,2025,23
CCAMLR,2,0.4666567109945525,1991,2025,32
China,2,0.6982724737981505,1985,2025,34
South Africa,2,0.50060154537158,1961,2025,41
India,2,0.7699816871043538,1981,2025,34
Italy,2,0.4197592787657868,1987,2025,32
Czechia,2,0.6748421214135858,2001,2025,19
UNEP,2,0.9190417135852852,1975,2012,13
Belgium,2,0.5553087443990795,1961,2025,40
Netherlands,2,0.6796819817468703,1985,2025,34
Belarus,2,0.8281029699006369,2006,2025,14
IOC,1,0.8129776615370174,1992,1997,4
IHO,1,0.6731252092792814,1991,2025,26
Switzerland,1,1.0,1991,2025,6
Canada,1,0.7223820582053262,1995,2025,14
Australia,3,0.5534605439804879,1961,2025,46
Argentina,2,0.4050520462548065,1961,2025,46
ATS,2,0.5031094608518903,2004,2013,4
Peru,1,0.6698503933640245,1985,2025,28
Poland,2,0.776155560448017,1977,2025,29
Chile,2,0.6771117826765766,1961,2025,47
Brazil,2,0.7349107091786504,1983,2025,34
Romania,2,0.6459165255420815,2002,2025,20
Ecuador,2,0.5807493185808352,1987,2025,25
Portugal,1,0.7646677864226951,2011,2025,11
Colombia,1,0.64741360873886,2013,2025,11
Bulgaria,1,0.8051076836943315,1991,2025,23
Malaysia,1,1.0,2013,2025,11
Venezuela,1,0.7419313167185287,2007,2025,10
Türkiye,1,0.7486859445829391,2016,2025,9
Estonia,1,0.8966911871731358,2002,2025,6
