actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca
New Zealand,44,21,0.5335505413608048,0.612738549411822,0.5782303524397047,0.807516104640272,0.0016424448899293059,3,0.7782770773875828,1,1.0,Environmental Domains Analysis,,0.0027702119702876205,0.21895271064212968,0.7782770773875828,13,0.612738549411822,0.24574513974666756,0.2814002726199548,4.677291999984679,1.0648802328647806,43,0.8619726849729548,0.06624898146526292,15.09457168823556,1.457903303300089,1.2209365613635499,CEP Strategy Discussions
Sweden,55,14,0.17611299068574374,0.48818001289894564,0.35913215815589544,0.8636807603365604,0.6478846568581333,2,0.5279869901142338,3,1.0,Environmental Domains Analysis,0.6312105284067,0.08257828173459937,0.5279869901142338,0.38943472815116686,13,0.48818001289894564,0.2571514180286374,0.3009723273860725,3.8016101992594376,0.998491151228144,19,0.8949329260511933,0.08664369848636808,11.54152024289837,1.377245542559091,1.1331949279447053,CEP Strategy Discussions
SCAR,51,16,0.38881418317196886,0.5623013501803571,0.6187624363507289,0.7582408130892438,-0.12217059574799757,3,0.6745414680428097,3,0.8368881874706654,Sub glacial Lakes,0.5292533034063379,0.05586050251177737,0.2695980294454129,0.6745414680428097,14,0.5623013501803571,0.2355420828530011,0.2642289983924716,4.067956129081394,1.0169890322703485,30,0.8290293108882559,0.07935281622323141,12.60194719727211,1.5009642272826276,1.2401540412662597,Marine Acoustics
Russian Federation,50,19,0.3079100800918716,0.5341081828466181,0.5486928120359824,0.7299814097490634,-0.24000868405476247,3,0.7554343979039055,3,0.7856949393318449,Marine Acoustics,0.23700212729586245,0.06647269791228337,0.17809290418381105,0.7554343979039055,14,0.5341081828466181,0.22937532183516102,0.2543812643865393,4.296642886529531,1.0114680330424128,34,0.8445551388977911,0.08828704722517824,11.326689830836406,1.5641386712959466,1.3261834166831525,Waste management and disposal
Korea (ROK),40,16,0.14858643030095797,0.4785876573384097,0.37766342285112303,0.8237380342423304,0.017087495514673284,3,0.6140383013282795,4,0.7856949393318449,Marine Acoustics,0.7856949393318449,0.1375963037130487,0.24836539495867177,0.6140383013282795,14,0.4785876573384097,0.26047282838810226,0.2870532315965122,3.9165741825220706,0.9791435456305176,24,0.8542216390877883,0.10256894673329892,9.749539522914404,1.458306329688075,1.2709173041327637,Multiyear strategic workplan
Ukraine,59,10,0.18632499299380803,0.49173865428946617,0.5815045003879167,0.7604078543095852,-0.3703217545953817,3,0.6683216816019409,5,0.7604580634912677,Multiyear strategic workplan,0.6365389384269042,0.19221378804946096,0.13946453034859807,0.6683216816019409,14,0.49173865428946617,0.2389666546007178,0.2649841610284594,3.1419891160187547,0.9458329699714019,17,0.7686893405635542,0.19563086028531207,5.111667957404979,1.197854868007321,0.9528841573999005,Multiyear strategic workplan
Norway,45,18,0.1831778857460492,0.49064196181188635,0.5004157993437484,0.5736634758327149,-0.1892995729162148,3,0.71110599786529,7,0.706743800577266,Drilling,0.12523930018934937,0.025219160493488633,0.2636748416412214,0.71110599786529,9,0.49064196181188635,0.16421471373862973,0.19990815980487395,4.8276747079905284,1.1577365795117924,39,0.9133977903823085,0.04889425932571479,20.45229877271243,1.339616852709528,1.074587436912039,Human Footprint and wilderness values
Japan,37,13,-0.2978755979491689,0.3230061949476247,0.30522794333045394,0.621792038947375,0.6238340917713994,2,0.38738238787023216,5,0.706743800577266,Drilling,0.633953925551712,0.3695122875923208,0.38738238787023216,0.24310532453744693,9,0.3230061949476248,0.1727414884859861,0.21667982628117943,4.151992123681812,1.1220266887005408,25,0.8940828384875603,0.07021260513667503,14.242456864453494,1.2629527494004995,1.0114908225145658,Waste management and disposal
Monaco,42,5,0.11609654148346672,0.46726569915318333,0.5004157993437484,0.45344329585280535,-0.22012763684370085,3,0.5284344513711007,2,0.6351007320692914,Tourism and NG_Activities,0.3274658480049639,0.035844833301719545,0.43572071532717976,0.5284344513711007,3,0.4672656991531833,0.1529179812099053,0.1580142691117131,1.6661205572888695,0.7175590669484939,5,0.7175590669484939,0.38122719245137254,2.623107742052149,0.6315817299531425,0.5087949265724264,Specially Protected Species
France,21,18,-0.07514142066687543,0.4006237902486373,0.36878947159330006,0.5747712932368426,-0.013877129275507875,3,0.6021412390982998,7,0.6351007320692914,Tourism and NG_Activities,0.086407920033309,0.20195795333324706,0.19590080756845313,0.6021412390982998,9,0.4006237902486373,0.17617535219248462,0.20029420798118067,4.862725107637737,1.1661421023053882,36,0.9405794293497736,0.04009856103902466,24.938550763125427,1.3564309177003087,1.0689516136004062,Inspections
