time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
year,1,30,1991,1991,ASOC,5,3,0.721192613036666,0.05356007316161769,0.22524731380171625,0.721192613036666
year,1,31,1992,1992,ASOC,5,2,0.8640567111059249,0.10677090930307186,0.8640567111059249,0.029172379591003255
year,1,33,1994,1994,ASOC,4,2,0.5830871350189925,0.41691286498100755,0.5830871350189925,0.0
year,1,34,1995,1995,ASOC,4,2,0.7960312096823738,0.20396879031762613,0.7960312096823738,0.0
year,1,35,1996,1996,ASOC,3,2,0.724007561436673,0.27599243856332706,0.724007561436673,0.0
year,1,36,1997,1997,ASOC,3,2,0.8677122400272758,0.13228775997272418,0.8677122400272758,0.0
year,1,38,1999,1999,ASOC,7,3,0.43212439944832615,0.301298858762371,0.26657674178930296,0.43212439944832615
year,1,41,2002,2002,ASOC,8,2,0.8696490344525813,0.019533862272235667,0.8696490344525813,0.11081710327518307
year,1,42,2003,2003,ASOC,5,2,0.7328588067814158,0.03900608256762003,0.7328588067814158,0.22813511065096415
year,1,43,2004,2004,ASOC,5,3,0.4475254042045501,0.1909326531451845,0.36154194265026535,0.4475254042045501
year,1,44,2005,2005,ASOC,5,2,0.9486744537856806,0.0,0.9486744537856806,0.05132554621431937
year,1,45,2006,2006,ASOC,9,2,0.5839333712648865,0.08219702171908415,0.5839333712648865,0.33386960701602936
year,1,46,2007,2007,ASOC,10,3,0.6845762133917785,0.028887725016143714,0.2865360615920778,0.6845762133917785
year,1,47,2008,2008,ASOC,6,2,0.9157609784549353,0.08423902154506477,0.9157609784549353,0.0
year,1,48,2009,2009,ASOC,6,2,0.8847305389221556,0.052814371257485025,0.8847305389221556,0.06245508982035927
year,1,49,2010,2010,ASOC,7,2,0.6451248396315128,0.26502410837064505,0.6451248396315128,0.0898510519978422
year,1,50,2011,2011,ASOC,9,2,0.5368649101963799,0.07495282689216577,0.5368649101963799,0.3881822629114544
year,1,51,2012,2012,ASOC,9,2,0.5170902071118024,0.18820548102364845,0.5170902071118024,0.29470431186454904
year,1,52,2013,2013,ASOC,7,2,0.5341488649781995,0.34803224060315235,0.5341488649781995,0.11781889441864822
year,1,53,2014,2014,ASOC,5,3,0.5716280410994248,0.08863391461397199,0.33973804428660315,0.5716280410994248
year,1,54,2015,2015,ASOC,5,2,0.8828900357284637,0.11710996427153632,0.8828900357284637,0.0
year,1,55,2016,2016,ASOC,6,2,0.8986864606158986,0.10131353938410141,0.8986864606158986,0.0
year,1,56,2017,2017,ASOC,6,1,0.48831597745308863,0.48831597745308863,0.4030616005513881,0.10862242199552319
year,1,57,2018,2018,ASOC,6,2,0.8146515728671536,0.02900731063159373,0.8146515728671536,0.15634111650125262
year,1,58,2019,2019,ASOC,9,2,0.5193049511529715,0.2201502988020311,0.5193049511529715,0.2605447500449974
year,1,60,2021,2021,ASOC,4,2,0.5831040972926017,0.4168959027073983,0.5831040972926017,0.0
year,1,61,2022,2022,ASOC,3,1,0.4733487833140209,0.4733487833140209,0.19814600231749713,0.32850521436848207
year,1,62,2023,2023,ASOC,5,2,0.9919959546976655,0.0,0.9919959546976655,0.008004045302334482
year,1,63,2024,2024,ASOC,6,1,0.5545487465297,0.5545487465297,0.35438475273982006,0.09106650073047994
year,1,64,2025,2025,ASOC,7,2,0.5665667053237634,0.24364466017834172,0.5665667053237634,0.18978863449789482
year,1,44,2005,2005,ATS,9,1,0.5738160285765976,0.5738160285765976,0.42618397142340225,0.0
year,1,0,1961,1961,Argentina,3,1,1.0,1.0,0.0,0.0
year,1,3,1964,1964,Argentina,3,1,1.0,1.0,0.0,0.0
year,1,5,1966,1966,Argentina,4,1,0.38041027713380265,0.38041027713380265,0.2996256673118234,0.31996405555437396
year,1,11,1972,1972,Argentina,3,3,0.7933000712758375,0.10334996436208123,0.10334996436208123,0.7933000712758375
year,1,14,1975,1975,Argentina,4,3,0.6113176373399423,0.3886823626600578,0.0,0.6113176373399423
year,1,16,1977,1977,Argentina,5,2,0.6778422023226063,0.25352627469222977,0.6778422023226063,0.06863152298516391
year,1,20,1981,1981,Argentina,6,3,0.4304600740349022,0.2496033844526705,0.31993654151242734,0.4304600740349022
year,1,22,1983,1983,Argentina,3,2,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0
year,1,26,1987,1987,Argentina,6,2,0.46116187989556134,0.3857702349869452,0.46116187989556134,0.1530678851174935
year,1,30,1991,1991,Argentina,3,1,0.9235511426540342,0.9235511426540342,0.07644885734596597,0.0
year,1,31,1992,1992,Argentina,5,2,0.616925388082123,0.3830746119178768,0.616925388082123,0.0
year,1,33,1994,1994,Argentina,5,2,0.8448088562412704,0.15519114375872953,0.8448088562412704,0.0
