time_unit,window_size,period_index,period_end,period_start,member,k_active,dominant_region,dominant_region_share,region_1_share,region_2_share,region_3_share
year,5,26,1991,1987,ASOC,5,3,0.8312664113930355,0.022512798460265753,0.14622079014669884,0.8312664113930355
year,5,27,1992,1988,ASOC,7,3,0.6948441964858505,0.0,0.30515580351414945,0.6948441964858505
year,5,28,1993,1989,ASOC,7,3,0.6948441964858505,0.0,0.30515580351414945,0.6948441964858505
year,5,29,1994,1990,ASOC,7,3,0.6278523025860877,0.04794173235605957,0.32420596505785276,0.6278523025860877
year,5,30,1995,1991,ASOC,9,3,0.5560263939264911,0.019659809111757128,0.4243137969617517,0.5560263939264911
year,5,31,1996,1992,ASOC,7,2,0.8406450150737809,0.15552901640050082,0.8406450150737809,0.003825968525718275
year,5,32,1997,1993,ASOC,7,2,0.8443684228926218,0.15563157710737818,0.8443684228926218,0.0
year,5,33,1998,1994,ASOC,7,2,0.8291902380106225,0.17080976198937745,0.8291902380106225,0.0
year,5,34,1999,1995,ASOC,8,2,0.8215790991916725,0.171836601325483,0.8215790991916725,0.006584299482844696
year,5,35,2000,1996,ASOC,8,2,0.7363128372432806,0.2424708813328251,0.7363128372432806,0.021216281423894263
year,5,36,2001,1997,ASOC,8,2,0.6798258923445417,0.24476397410163983,0.6798258923445417,0.07541013355381856
year,5,37,2002,1998,ASOC,8,2,0.8675942908838099,0.028230421395007053,0.8675942908838099,0.10417528772118317
year,5,38,2003,1999,ASOC,11,2,0.8191439400234004,0.0180048808177299,0.8191439400234004,0.1628511791588695
year,5,39,2004,2000,ASOC,12,2,0.8074439115626693,0.02053538751680135,0.8074439115626693,0.17202070092052932
year,5,40,2005,2001,ASOC,13,2,0.7274223836666006,0.01894332464908883,0.7274223836666006,0.2536342916843106
year,5,41,2006,2002,ASOC,13,2,0.672436477410836,0.029728193802732325,0.672436477410836,0.2978353287864317
year,5,42,2007,2003,ASOC,13,3,0.680520631548162,0.019450416486140765,0.3000289519656973,0.680520631548162
