actor,column_index,k_active,centroid_xplot,cluster_id,cluster_order,selected_n_clusters
Estonia,19,4,0.8984580603181783,1,0.0,14
Portugal,48,7,0.7693419867627103,1,1.0,14
Colombia,15,6,0.8541153275547947,1,2.0,14
Venezuela,63,5,0.8905124119664412,1,3.0,14
Türkiye,57,6,0.8248039931488058,1,4.0,14
Bulgaria,9,9,0.8593207090784121,1,5.0,14
Malaysia,41,4,0.9299698950086066,1,6.0,14
IAATO,24,9,0.5362291811092438,2,7.0,14
Monaco,42,5,0.5326223836623334,3,8.0,14
ACAP,0,3,0.7045462118594453,4,9.0,14
CCAMLR,10,6,0.6593011994810254,4,10.0,14
WMO,64,7,0.6946351118030656,4,11.0,14
Switzerland,56,3,0.8734792846023025,6,12.0,14
IHO,27,4,0.7495959395071511,5,13.0,14
IOC,29,3,0.7960325782624844,5,14.0,14
ATS,2,8,0.7414567755345631,7,15.0,14
Finland,20,13,0.6942954007874576,7,16.0,14
Uruguay,62,17,0.7117673199016988,7,17.0,14
COMNAP,11,15,0.6192930551019257,8,18.0,14
IUCN,33,10,0.6785470660780919,8,19.0,14
ASOC,1,16,0.5171300766101811,8,20.0,14
Germany,22,19,0.5870996467548647,8,21.0,14
Italy,36,16,0.6749424244453823,9,22.0,14
Japan,37,13,0.6784777890603778,9,23.0,14
Chile,13,13,0.6546630845854409,9,24.0,14
China,14,18,0.6623394067074143,9,25.0,14
Argentina,3,17,0.6332232895944937,9,26.0,14
South Africa,53,18,0.6758052922517296,9,27.0,14
United Kingdom,60,22,0.5721187710343819,9,28.0,14
United States,61,20,0.5821008978939014,9,29.0,14
Norway,45,19,0.5205985352947209,9,30.0,14
Australia,4,21,0.569006337055422,9,31.0,14
France,21,18,0.6006772288698765,9,32.0,14
Canada,12,7,0.7513934720188353,10,33.0,14
Czechia,16,11,0.7076436376366448,10,34.0,14
India,35,13,0.6983048838635072,10,35.0,14
Poland,47,12,0.6782354278000331,10,36.0,14
Spain,54,15,0.6377991044057464,10,37.0,14
Netherlands,43,14,0.6657068580814821,11,38.0,14
UNEP,58,9,0.7342651028526981,11,39.0,14
Belarus,6,12,0.6779860825528774,12,40.0,14
Romania,49,9,0.7819370934856293,12,41.0,14
Brazil,8,17,0.6975385552972294,12,42.0,14
Belgium,7,15,0.707322327182125,12,43.0,14
Ecuador,18,13,0.7446900984016718,12,44.0,14
Peru,46,13,0.7704420929011019,12,45.0,14
New Zealand,44,22,0.4021796697426255,13,46.0,14
Sweden,55,15,0.5293249000136568,13,47.0,14
Ukraine,59,10,0.5072309440579982,14,48.0,14
SCAR,51,16,0.4417145965752466,14,49.0,14
Korea (ROK),40,17,0.5268628561119341,14,50.0,14
Russian Federation,50,19,0.4645265261271921,14,51.0,14
