n,p_adopt,bin_left,bin_right,bin_center
620,0.11129032258064517,0.402,0.532,0.467
3388,0.11097992916174734,0.532,0.658,0.595
4408,0.08121597096188747,0.658,0.784,0.7210000000000001
7546,0.0730188179167771,0.784,0.91,0.847
7461,0.0344457847473529,0.91,1.036,0.9730000000000001
5601,0.03838600249955365,1.036,1.162,1.099
7261,0.0269935270623881,1.162,1.288,1.225
4241,0.021928790379627448,1.288,1.414,1.351
4109,0.015088829398880507,1.414,1.54,1.4769999999999999
3638,0.010445299615173173,1.54,1.666,1.603
2147,0.015370284117373078,1.666,1.792,1.729
2350,0.005106382978723404,1.792,1.918,1.855
1692,0.005319148936170213,1.918,2.044,1.9809999999999999
1189,0.001682085786375105,2.044,2.17,2.107
1006,0.008946322067594433,2.17,2.296,2.2329999999999997
582,0.001718213058419244,2.296,2.422,2.359
330,0.0,2.422,2.549,2.4855
502,0.0,2.549,2.675,2.612
211,0.0,2.675,2.801,2.738
105,0.0,2.801,2.927,2.864
