n,p_persist,bin_left,bin_right,bin_center
164,0.4451219512195122,0.402,0.513,0.4575
448,0.37723214285714285,0.513,0.621,0.567
761,0.3718791064388962,0.621,0.729,0.675
783,0.37547892720306514,0.729,0.837,0.7829999999999999
648,0.36882716049382713,0.837,0.945,0.891
519,0.3468208092485549,0.945,1.053,0.9989999999999999
355,0.35774647887323946,1.053,1.161,1.107
359,0.38997214484679665,1.161,1.269,1.2149999999999999
124,0.25,1.269,1.377,1.323
209,0.2727272727272727,1.377,1.485,1.431
61,0.29508196721311475,1.485,1.593,1.5390000000000001
48,0.3958333333333333,1.593,1.701,1.647
32,0.375,1.701,1.809,1.755
40,0.125,1.809,1.917,1.863
26,0.23076923076923078,1.917,2.025,1.971
9,0.2222222222222222,2.025,2.133,2.0789999999999997
16,0.3125,2.133,2.241,2.1870000000000003
2,0.5,2.349,2.457,2.403
4,0.25,2.457,2.565,2.511
