topic,observed_zone,position,bootstrap_agreement
Educational issues,1,0.0,0.9790575916230366
Science issues,1,0.05701582752462407,0.9109947643979057
Opening statements,1,0.07278987502555394,0.9790575916230366
Exchange of Information,1,0.1115886883252107,0.9738219895287958
Operation of the Antarctic Treaty system The Secretariat,1,0.12391912506436324,0.8481675392670157
Operation of the Antarctic Treaty system General,1,0.17476905280814523,0.93717277486911
Environmental Monitoring and Reporting,1,0.1887137517787508,0.7068062827225131
Operation of the Antarctic Treaty system Reports,1,0.19825285809752605,0.5706806282722513
Operational issues,1,0.22030059809258262,0.7486910994764397
Safety and Operations in Antarctica,2,0.2599556617261369,0.28272251308900526
Environmental Impact Assessment EIA Other EIA Matters,2,0.26055464870189604,0.20418848167539266
Environmental Protection General,2,0.262004231896308,0.24083769633507854
Biological Prospecting,2,0.27280407077195895,0.41361256544502617
Comprehensive Environmental Evaluations,2,0.28409820403348907,0.4293193717277487
International Polar Year,2,0.3052279433304536,0.581151832460733
Fauna and Flora_General,2,0.3076348840643272,0.5916230366492147
Cooperation with Other Organisations,2,0.3117596457888806,0.4973821989528796
Management Plans,2,0.3369819084088448,0.5130890052356021
Inspections,2,0.3478955433775928,0.518324607329843
Liability,2,0.3591321581558953,0.5968586387434555
Nonnative Species and Quarantine,2,0.36878947159329994,0.7382198952879581
Waste management and disposal,2,0.3776634228511229,0.6596858638743456
Climate Change,2,0.3800837228694215,0.675392670157068
Prevention of marine pollution,2,0.4071732495247115,0.643979057591623
Institutional and legal matters,2,0.4326060447198915,0.6282722513089005
Marine Protected Areas,2,0.4491593348272531,0.612565445026178
Emergency report and contingency planning,2,0.4714397070089907,0.6963350785340314
Repair and remediation of environmental damage,2,0.4785603220035299,0.6230366492146597
Historic Sites and Monuments,2,0.4823429046539809,0.6544502617801047
Area Protection and Management Plans General,2,0.500415799343748,0.7382198952879581
Mineral resources,3,0.5486928120359825,0.2931937172774869
Human Footprint and wilderness values,3,0.5570278693771725,0.19895287958115182
CEP Strategy Discussions,3,0.5652259283677762,0.21465968586387435
Search and Rescue,3,0.5782303524397046,0.2670157068062827
Site Guidelines for Visitors,3,0.5815045003879168,0.225130890052356
Marine living resources,3,0.6072600948648527,0.3769633507853403
Specially Protected Species,3,0.6187624363507288,0.3298429319371728
Tourism and NG_Activities,3,0.6351007320692917,0.2670157068062827
Drilling,3,0.7067438005772659,0.42408376963350786
Operation of the CEP,3,0.7077185661800903,0.5130890052356021
Multiyear strategic workplan,3,0.7604580634912673,0.6335078534031413
Marine Acoustics,3,0.7856949393318446,0.6596858638743456
Sub glacial Lakes,3,0.8368881874706648,0.8848167539267016
State of the Antarctic Environment Report SAER,3,0.9134550153435369,0.8952879581151832
Environmental Domains Analysis,3,1.0,0.9685863874345549
