event_type,relative_meeting,mean_residual_attention,ci_low,ci_high,n_events,n_topics
After five meetings without output,-10,0.016418113998268487,-0.17813940487876426,0.2029253684916957,28,21
After five meetings without output,-9,-0.03547266233894924,-0.21526218620338888,0.1746309474469489,34,24
After five meetings without output,-8,-0.106626694699006,-0.3039692196190827,0.08221144547145805,35,24
After five meetings without output,-7,-0.009728856125116278,-0.1573102243186716,0.15000019291619124,37,24
After five meetings without output,-6,0.018926007699343425,-0.174424831340691,0.20849463471493582,38,25
After five meetings without output,-5,-0.06768025846487473,-0.24038849234047957,0.0974471030891625,41,26
After five meetings without output,-4,0.04408851370192283,-0.11615390684982124,0.19344716590249453,41,26
After five meetings without output,-3,-0.014414791874182062,-0.18291006696142398,0.15984268450957204,41,26
After five meetings without output,-2,0.046908915432906456,-0.1220580570922194,0.20552083553094685,41,26
After five meetings without output,-1,0.08242165018075895,-0.08260962265507048,0.24266213097893508,41,26
After five meetings without output,0,0.21161257561800947,0.03631850994845153,0.40152653468681965,41,26
Continuing output stream,-10,-0.016897493802593748,-0.1468571151997412,0.11383257477305939,164,24
Continuing output stream,-9,-0.037778729966049446,-0.17828648800227548,0.10543762572060729,172,24
Continuing output stream,-8,-0.019973754837835134,-0.150931894892013,0.10284629684130966,180,24
Continuing output stream,-7,-0.013595655312831734,-0.14073846727242265,0.11086441127838716,185,24
Continuing output stream,-6,-0.04089237595958375,-0.15461567394347814,0.07428516786737731,189,24
Continuing output stream,-5,0.056510329221917906,-0.049732314251672044,0.1811750817300283,195,24
Continuing output stream,-4,0.036925170886243634,-0.060494832811723444,0.1401374874292727,195,24
Continuing output stream,-3,0.059275536883042546,-0.040344564096849694,0.1679785738014569,195,24
Continuing output stream,-2,0.037332200373297215,-0.053222267198759596,0.1391450344298714,195,24
Continuing output stream,-1,0.02827337568103907,-0.07396455969547895,0.15257456357448027,195,24
Continuing output stream,0,0.10855555386361565,0.0006186194776177481,0.24951609390607363,195,24
