specification,outcome,horizon_meetings,predictor,coefficient,se_two_way_cluster,incidence_rate_ratio,ci_low,ci_high,ratio_per_doubling_plus_one,doubling_ci_low,doubling_ci_high,n_topic_meetings,n_events,minimum_meeting,scale
accumulated_attention_hard_output,outcome_count_hard,1,papers_prior1,0.01160389292111022,0.0796795226673579,1.0116714792551125,0.865396088127757,1.1826713755460525,1.008166456913681,0.9036354824358751,1.124789391963714,1260,265,20,one sample SD of log1p predictor; SD=0.988924
accumulated_attention_hard_output,outcome_count_hard,1,nearby_prior1,0.21298304367225654,0.07564861394899473,1.2373636699217931,1.0668514711481936,1.435128406388682,1.2413430852340739,1.0678927774389186,1.4429657057462284,1260,265,20,one sample SD of log1p predictor; SD=0.682853
accumulated_attention_hard_output,outcome_count_hard,1,outcomes_prior1,0.17227965507297238,0.06317612844302348,1.188010019791687,1.0496475522783089,1.3446111545365915,1.3019034256396615,1.0770250504031853,1.5737354753798705,1260,265,20,one sample SD of log1p predictor; SD=0.452626
accumulated_attention_soft_output,outcome_mass,1,papers_prior1,0.036315081913239955,0.05891788619106188,1.0369825294616526,0.9238884174008729,1.1639206057305758,1.0257803364202969,0.9460244437258126,1.1122601594124404,1260,1260,20,one sample SD of log1p predictor; SD=0.988924
accumulated_attention_soft_output,outcome_mass,1,nearby_prior1,0.15814094160269626,0.06441745197338042,1.1713312723810578,1.0323964349973747,1.3289632772330495,1.1741271703427192,1.0328927825778456,1.3346734873066097,1260,1260,20,one sample SD of log1p predictor; SD=0.682853
accumulated_attention_soft_output,outcome_mass,1,outcomes_prior1,0.1612457442666914,0.05364880150627331,1.174973676382788,1.057697201289866,1.3052536571987545,1.2800896887747009,1.0896994694141318,1.5037445252573232,1260,1260,20,one sample SD of log1p predictor; SD=0.452626
accumulated_attention_hard_output,outcome_count_hard,2,papers_prior2,0.17803176418782055,0.10721543710163735,1.1948632744934913,0.9683995752471138,1.4742863186087125,1.1106721748118267,0.9812461223489987,1.2571694825638073,1215,260,21,one sample SD of log1p predictor; SD=1.17565
accumulated_attention_hard_output,outcome_count_hard,2,nearby_prior2,0.2089194468813206,0.10205317959407445,1.2323457252404626,1.0089348948675376,1.5052269420395337,1.2069596444995467,1.008041129651295,1.4451310969368845,1215,260,21,one sample SD of log1p predictor; SD=0.769848
accumulated_attention_hard_output,outcome_count_hard,2,outcomes_prior2,0.13499248214050386,0.0728614954352644,1.1445281799169251,0.9922144169717346,1.3202234640189328,1.1679876868670167,0.991049467210151,1.376515786354475,1215,260,21,one sample SD of log1p predictor; SD=0.602578
accumulated_attention_soft_output,outcome_mass,2,papers_prior2,0.1993026555566467,0.07615085695888003,1.22055131664218,1.0513204819600035,1.417023202838766,1.1246888927290768,1.0299467453115925,1.2281461261819664,1215,1215,21,one sample SD of log1p predictor; SD=1.17565
accumulated_attention_soft_output,outcome_mass,2,nearby_prior2,0.13246292265757847,0.08499020799648481,1.1416366864501097,0.9664575670565686,1.3485685955341065,1.126668957817291,0.9697483521713869,1.308981796841206,1215,1215,21,one sample SD of log1p predictor; SD=0.769848
accumulated_attention_soft_output,outcome_mass,2,outcomes_prior2,0.14549459393756725,0.05798064554966974,1.1566114818514064,1.0323652497921973,1.2958108772256518,1.1821832722290202,1.0373196009022616,1.3472774330327095,1215,1215,21,one sample SD of log1p predictor; SD=0.602578
accumulated_attention_hard_output,outcome_count_hard,3,papers_prior3,0.1862087392048385,0.12924695848668682,1.2046736967639533,0.9350873800799797,1.5519819287378283,1.1067534860449444,0.9641014029758762,1.2705129098368155,1170,253,22,one sample SD of log1p predictor; SD=1.27249
accumulated_attention_hard_output,outcome_count_hard,3,nearby_prior3,0.24013236898855664,0.11080446072347559,1.2714174354232548,1.0232211340950697,1.5798171492302795,1.2270411209411718,1.0197519653804847,1.476466791528854,1170,253,22,one sample SD of log1p predictor; SD=0.813502
accumulated_attention_hard_output,outcome_count_hard,3,outcomes_prior3,0.09845096673650935,0.08119173004935863,1.1034602968083815,0.9411198112643068,1.2938040534888713,1.102009247586643,0.9418834576582977,1.2893573741976214,1170,253,22,one sample SD of log1p predictor; SD=0.702537
accumulated_attention_soft_output,outcome_mass,3,papers_prior3,0.1627359641278662,0.08667437379711007,1.176725950804483,0.9928796620697768,1.394614086877532,1.0926926142070486,0.9961151270773246,1.1986336887040867,1170,1170,22,one sample SD of log1p predictor; SD=1.27249
accumulated_attention_soft_output,outcome_mass,3,nearby_prior3,0.14936283905079137,0.089016552529614,1.1610942031065736,0.9752030201091857,1.3824195789885358,1.1357181280747193,0.9788325123291397,1.317749104357315,1170,1170,22,one sample SD of log1p predictor; SD=0.813502
accumulated_attention_soft_output,outcome_mass,3,outcomes_prior3,0.13980297981812692,0.06337800537263748,1.150047194027768,1.0157041230642012,1.302159278925702,1.1479002656625954,1.0154926092029446,1.297572240277055,1170,1170,22,one sample SD of log1p predictor; SD=0.702537
accumulated_attention_hard_output,outcome_count_hard,5,papers_prior5,0.22390199128655963,0.1645482461444612,1.2509484095758407,0.9060936868586221,1.727053113950779,1.1202878166611414,0.9512044798124331,1.3194269148173776,1080,236,24,one sample SD of log1p predictor; SD=1.36634
accumulated_attention_hard_output,outcome_count_hard,5,nearby_prior5,0.1801519758234877,0.09786379388539439,1.1973993250430206,0.988406666460039,1.4505822272005566,1.1586573492430516,0.9905131701558543,1.3553447782463093,1080,236,24,one sample SD of log1p predictor; SD=0.847958
