specification,outcome,horizon_meetings,predictor,coefficient_per_sd,se_two_way_cluster,rate_or_odds_ratio_per_sd,ci_low_per_sd,ci_high_per_sd,contrast_ratio,contrast_ci_low,contrast_ci_high,contrast,n_topic_meetings,n_events,n_topics,n_meetings,fixed_effects,clustered_by
attention_hurdle_hard_output,outcome_count_hard,3,any_attention,0.31320178673505894,0.1773396371753077,1.36779750657564,0.9662005069974345,1.936316536210952,1.9250085041419285,0.9306243879356274,3.9819048254676415,first focal paper: none to one,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_hard_output,outcome_count_hard,3,positive_log_papers,0.2751898725818215,0.13057874690522178,1.3167806716789248,1.0194421120022354,1.700843350390648,1.1494143593818862,1.0097913761224484,1.3083428921986233,per doubling of papers after the first,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_hard_output,outcome_count_hard,3,nearby,0.07784620281492118,0.14369339295496172,1.0809563978340067,0.8156313138544561,1.4325918024118143,1.0475380641971503,0.8855184931527231,1.2392016704643325,per doubling of count + 1,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_hard_output,outcome_count_hard,3,outcomes,0.30586696770662164,0.06494439756595022,1.3578016630632601,1.1955136772690529,1.5421198362437833,1.3914849198800117,1.2127403367114695,1.5965744880753832,per doubling of count + 1,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_high_confidence_hard_output,outcome_count_high_confidence,3,any_attention,0.45495752224009556,0.22372477296849783,1.5761064321414309,1.016593129018168,2.443565094559277,2.589210872506017,1.0350118290458417,6.477233162140452,first focal paper: none to one,1980,285,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_high_confidence_hard_output,outcome_count_high_confidence,3,positive_log_papers,0.2970885434939047,0.1794335470373943,1.3459344679125793,0.9468626732685484,1.913202033470941,1.1622221317314347,0.9727487051951894,1.388601471554074,per doubling of papers after the first,1980,285,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_high_confidence_hard_output,outcome_count_high_confidence,3,nearby,0.07356087441345999,0.18076632624887068,1.0763340558819887,0.7552238187164043,1.5339757183776017,1.0448633400243335,0.8457859635480206,1.2907986729255063,per doubling of count + 1,1980,285,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_high_confidence_hard_output,outcome_count_high_confidence,3,outcomes,0.3823949221184498,0.06503935841788444,1.465790844068429,1.2903555229890311,1.6650781589076065,1.5113910429833837,1.3169790143334585,1.7345021142698451,per doubling of count + 1,1980,285,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_soft_output,outcome_mass,3,any_attention,0.17625436206770018,0.11437996266795167,1.192741408239551,0.9532001610870626,1.4924798851343544,1.4456545470499085,0.9046326879596707,2.310238284800125,first focal paper: none to one,1980,1980,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_soft_output,outcome_mass,3,positive_log_papers,0.2135928276062453,0.10736630636555433,1.2381184245034347,1.0031598489606892,1.5281086405950626,1.1141402193689496,1.001597712091333,1.2393283385438678,per doubling of papers after the first,1980,1980,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_soft_output,outcome_mass,3,nearby,0.12567908826665727,0.10436974799665469,1.1339182222267048,0.9241456242032321,1.3913072799606876,1.0778621669418667,0.9540274629298017,1.217770867262866,per doubling of count + 1,1980,1980,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_soft_output,outcome_mass,3,outcomes,0.26471223251530246,0.055494095798744175,1.3030559446884569,1.168760522454391,1.4527824668668914,1.330985469733931,1.1834539328549822,1.4969085584676756,per doubling of count + 1,1980,1980,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_any_hard_output,any_hard_output,3,any_attention,0.5207052781631585,0.11935316938955952,1.6832143655032281,1.3321218756385398,2.126840383038048,2.970817141721481,1.82150991954161,4.845295869575733,first focal paper: none to one,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_any_hard_output,any_hard_output,3,positive_log_papers,0.09355972764206757,0.11912242869333388,1.098076186884158,0.8694275846135027,1.386856517484511,1.0484820240593142,0.9316454690342929,1.179970913093178,per doubling of papers after the first,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_any_hard_output,any_hard_output,3,nearby,0.051018403140369276,0.136359953278699,1.052342259507322,0.8055362250188505,1.3747665179415869,1.0309053123396557,0.8789633349976491,1.2091127362132408,per doubling of count + 1,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_any_hard_output,any_hard_output,3,outcomes,0.15833081657446385,0.06639386402329105,1.1715536999893814,1.0286001941278349,1.3343746965968686,1.18650910621303,1.0309265800748841,1.3655714057000876,per doubling of count + 1,1980,376,45,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_excluding_site_administration,outcome_count_hard,3,any_attention,0.5939915532144198,0.14768072543258026,1.8112035213161726,1.3559974803487154,2.4192214537039436,3.4065018043568935,1.8746177083611928,6.190197868786438,first focal paper: none to one,1804,270,41,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_excluding_site_administration,outcome_count_hard,3,positive_log_papers,0.15737264676179438,0.13074686155779205,1.1704316902239158,0.9058412564778345,1.5123072963214428,1.0840472137310286,0.9505524963195133,1.2362898063475238,per doubling of papers after the first,1804,270,41,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_excluding_site_administration,outcome_count_hard,3,nearby,-0.021012946405533292,0.17299659556587715,0.9792062872857011,0.6976161375391372,1.3744592498135189,0.9876389135829116,0.8080392759544438,1.2071574398052247,per doubling of count + 1,1804,270,41,44,concern and ATCM meeting,concern and ATCM meeting
attention_hurdle_excluding_site_administration,outcome_count_hard,3,outcomes,0.20110406608986614,0.07199869978562809,1.2227520122232949,1.0618223334380463,1.4080721758367045,1.3148744551328808,1.0850795290858875,1.5933346694112616,per doubling of count + 1,1804,270,41,44,concern and ATCM meeting,concern and ATCM meeting
volume_temporal_actor_hard_output,outcome_count_hard,3,papers,0.1884723938191129,0.13009755510430432,1.2074037507201827,0.9356453122864304,1.5580945023822013,1.1425062411478792,0.9540685644284438,1.3681621633177248,per doubling of count + 1,1279,349,45,44,concern and ATCM meeting,concern and ATCM meeting
volume_temporal_actor_hard_output,outcome_count_hard,3,effective_meetings,-0.15582795115403467,0.0813472056663023,0.8557064010057236,0.7295929710397545,1.0036191051548247,0.796036272015937,0.6303315316164413,1.005302312483113,effective meetings: 1 to 2,1279,349,45,44,concern and ATCM meeting,concern and ATCM meeting
volume_temporal_actor_hard_output,outcome_count_hard,3,returning_activation_share,0.1610892450337551,0.09812451262710208,1.1747898082916968,0.9692479672093565,1.4239195132280684,1.2391360266866571,0.9592779526713354,1.600639406291942,returning activation share: +25 percentage points,1279,349,45,44,concern and ATCM meeting,concern and ATCM meeting
volume_temporal_actor_hard_output,outcome_count_hard,3,nearby,0.055103682725669234,0.09196745477292145,1.056650165365363,0.8823623068068365,1.265364083838943,1.0512913344206447,0.892610761455423,1.2381807586835087,per doubling of count + 1,1279,349,45,44,concern and ATCM meeting,concern and ATCM meeting
volume_temporal_actor_hard_output,outcome_count_hard,3,outcomes,0.3551501908305011,0.07427590970786262,1.4263948696245787,1.2331469621621163,1.649926883430005,1.4077202471362587,1.2235945349536705,1.6195530770921616,per doubling of count + 1,1279,349,45,44,concern and ATCM meeting,concern and ATCM meeting
