validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
OV001,Decision 1 (1997),Operation of the Antarctic Treaty system General,,high,"The title explicitly concerns revised procedural rules."
OV002,Decision 3 (1998),Liability,,high,"The title explicitly states liability."
OV003,Decision 1 (1999),Operation of the CEP,,medium,"The title concerns a CEP website, an administrative communication facility."
OV004,Decision 1 (2000),Operation of the CEP,,high,"The title explicitly concerns CEP observers."
OV005,Decision 2 (2001),Operation of the CEP,,high,"The title concerns circulation and handling of CEP documents."
OV006,Decision 3 (2001),Liability,,high,"The title explicitly concerns a draft liability annex."
OV007,Decision 1 (2002),Area Protection and Management Plans General,,high,"The title sets a system-wide naming and numbering scheme for protected areas."
OV008,Decision 2 (2002),Operation of the Antarctic Treaty system General,,high,"The title concerns the Antarctic Treaty emblem."
OV009,Decision 4 (2003),Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly concerns Secretariat financial regulations."
OV010,Decision 1 (2004),Operation of the Antarctic Treaty system General,,high,"The title explicitly concerns revised procedural rules."
OV011,Decision 1 (2005),Liability,,high,"The title explicitly concerns liability from environmental emergencies."
OV012,Decision 10 (2005),Exchange of Information,,high,"The title establishes an electronic information exchange system."
OV013,Decision 2 (2005),Operation of the Antarctic Treaty system General,,high,"The title concerns recognition of Consultative Party status."
OV014,Decision 3 (2005),Operation of the Antarctic Treaty system General,,high,"The title concerns amendments to procedural rules."
OV015,Decision 4 (2005),Operation of the Antarctic Treaty system General,,high,"The title explicitly concerns Consultative Party status."
OV016,Decision 5 (2005),Operation of the Antarctic Treaty system The Secretariat,,high,"The title concerns appointment of an external auditor."
OV017,Decision 9 (2005),Marine Protected Areas,Cooperation with Other Organisations,high,"The title concerns marine protected areas and explicitly links them to CCAMLR."
OV018,Decision 3 (2007),Operation of the Antarctic Treaty system The Secretariat,,high,"The title concerns appointment of an external auditor."
OV019,Decision 1 (2008),Operation of the Antarctic Treaty system General,,high,"The title concerns an amendment to procedural rules."
OV020,Decision 2 (2008),Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat financial report, programme, and budget."
OV021,Decision 4 (2008),Operation of the Antarctic Treaty system The Secretariat,,high,"The title concerns selection of the Secretariat's Executive Secretary."
OV022,Decision 5 (2008),Exchange of Information,,high,"The title explicitly names the electronic information exchange system."
OV023,Decision 5 (2009),INSUFFICIENT_TITLE,,high,"Only a document location is visible and no concern is stated."
OV024,Decision 6 (2009),INSUFFICIENT_TITLE,,high,"Only a document location is visible and no concern is stated."
OV025,Decision 1 (2010),Operation of the Antarctic Treaty system General,,high,"The title concerns compilation of Treaty System documents."
OV026,Decision 2 (2010),Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers Secretariat reports, programme, and budgets."
OV027,Decision 3 (2010),INSUFFICIENT_TITLE,,high,"The title is truncated before identifying which committee is governed."
OV028,Decision 4 (2010),Liability,,high,"The title explicitly concerns liability from environmental emergencies."
OV029,Decision 5 (2010),Cooperation with Other Organisations,,high,"The title concerns letters to four named international organizations."
OV030,Decision 1 (2011),Operation of the Antarctic Treaty system General,,high,"The title concerns the current status of Treaty measures."
OV031,Decision 2 (2011),Operation of the Antarctic Treaty system General,Operation of the CEP,high,"The title materially spans ATCM and CEP procedural rules."
OV032,Decision 4 (2012),Exchange of Information,,high,"The title concerns use and refinement of the electronic information exchange system."
OV033,Decision 1 (2013),Operation of the Antarctic Treaty system General,,high,"The title concerns recognition of Consultative Party status."
OV034,Decision 3 (2013),Operation of the Antarctic Treaty system The Secretariat,,high,"The title concerns renewal of the Secretariat external auditor's contract."
OV035,Decision 4 (2013),Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat report, programme, and budget."
OV036,Decision 3 (2014),Multiyear strategic workplan,,high,"The title explicitly concerns the ATCM multi-year strategic work plan."
OV037,Decision 1 (2015),Operation of the Antarctic Treaty system General,,high,"The title concerns ATCM procedural rules for committees and working groups."
OV038,Decision 4 (2015),Multiyear strategic workplan,,high,"The title explicitly concerns the ATCM multi-year strategic work plan."
OV039,Decision 2 (2017),Operation of the Antarctic Treaty system General,,high,"The title concerns procedure for Consultative Party status."
OV040,Decision 4 (2017),Operation of the Antarctic Treaty system General,,high,"The title concerns appointment procedure for ATCM working-group chairs."
OV041,Decision 1 (2018),Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat report, programme, and budget."
OV042,Decision 1 (2019),Historic Sites and Monuments,,high,"The title concerns the format of the Historic Sites and Monuments list."
OV043,Decision 3 (2019),Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat report, programme, and budget."
OV044,Decision 6 (2019),Tourism and NG_Activities,,high,"The title concerns regulations and guidelines for tourism and non-governmental activities."
OV045,Decision 1 (2021),Historic Sites and Monuments,,high,"The title concerns a reformatted list of Historic Sites and Monuments."
OV046,Decision 5 (2021),Multiyear strategic workplan,,high,"The title explicitly concerns the ATCM multi-year strategic work plan."
OV047,Decision 2 (2022),Liability,,high,"The title explicitly concerns liability from environmental emergencies."
OV048,Decision 5 (2023),Multiyear strategic workplan,,high,"The title explicitly concerns the ATCM multi-year strategic work plan."
OV049,Measure 1 (1997),Management Plans,,high,"The title concerns a revised protected-area description and management plan."
OV050,Measure 2 (1997),Management Plans,,high,"The title explicitly concerns management plans for protected areas."
OV051,Measure 3 (1997),Management Plans,,high,"The title concerns revised descriptions and plans for designated sites."
OV052,Measure 5 (1997),Historic Sites and Monuments,,high,"The title names a specific historic monument amendment."
OV053,Measure 1 (1998),Management Plans,,high,"The title explicitly concerns management plans for protected areas."
OV054,Measure 2 (1998),Historic Sites and Monuments,,high,"The title names a Historic Site or Monument location."
OV055,Measure 1 (2001),Historic Sites and Monuments,,high,"The title explicitly concerns Historic Sites and Monuments."
OV056,Measure 2 (2001),Historic Sites and Monuments,,high,"The title explicitly concerns Historic Sites and Monuments."
OV057,Measure 3 (2001),Management Plans,,high,"The title changes expiry dates for particular designated scientific-interest sites."
OV058,Measure 1 (2004),Management Plans,,high,"The title concerns ASMA designations and management plans."
OV059,Measure 1 (2006),Management Plans,,high,"The title concerns ASPA designations and management plans."
OV060,Measure 1 (2007),Management Plans,,high,"The title explicitly concerns revised ASPA management plans."
OV061,Measure 3 (2007),Historic Sites and Monuments,,high,"The title names a monument to the Antarctic Treaty."
OV062,Measure 13 (2008),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV063,Measure 13 (2009),Management Plans,,high,"The title designates a numbered individual ASPA."
OV064,Measure 14 (2009),Historic Sites and Monuments,,high,"The title names two numbered historic sites."
OV065,Measure 15 (2009),Tourism and NG_Activities,,high,"The title governs landing from passenger vessels."
OV066,Measure 16 (2009),INSUFFICIENT_TITLE,,medium,"The title names an annex amendment but not its substantive concern."
OV067,Measure 11 (2010),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV068,Measure 15 (2010),Historic Sites and Monuments,,high,"The title explicitly identifies an Antarctic historic plaque."
OV069,Measure 2 (2010),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV070,Measure 4 (2010),INSUFFICIENT_TITLE,,high,"The title is truncated after naming an ASPA and states no action."
OV071,Measure 6 (2010),INSUFFICIENT_TITLE,,high,"The title is truncated after naming an ASPA and states no action."
OV072,Measure 3 (2011),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV073,Measure 1 (2012),INSUFFICIENT_TITLE,,high,"The title ends after naming an ASPA and states no action."
OV074,Measure 11 (2012),INSUFFICIENT_TITLE,,high,"The title is truncated after a general Historic Sites and Monuments heading."
OV075,Measure 1 (2013),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV076,Measure 13 (2013),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV077,Measure 15 (2013),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV078,Measure 4 (2013),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV079,Measure 6 (2013),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV080,Measure 9 (2013),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV081,Measure 14 (2014),Management Plans,,high,"The title names an individual ASMA revised management plan."
OV082,Measure 9 (2014),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV083,Measure 1 (2015),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV084,Measure 18 (2015),Management Plans,,high,"The title names an individual ASMA revised management plan."
OV085,Measure 4 (2015),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV086,Measure 1 (2016),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV087,Measure 2 (2016),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV088,Measure 4 (2017),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV089,Measure 1 (2018),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV090,Measure 4 (2018),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV091,Measure 5 (2018),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV092,Measure 7 (2019),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV093,Measure 17 (2021),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV094,Measure 4 (2021),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV095,Measure 7 (2021),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV096,Measure 1 (2022),Management Plans,,high,"The title names an individual ASMA revised management plan."
OV097,Measure 12 (2022),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV098,Measure 15 (2022),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV099,Measure 18 (2022),Historic Sites and Monuments,,high,"The title updates information for a list of numbered Historic Sites and Monuments."
OV100,Measure 6 (2022),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV101,Measure 8 (2023),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV102,Measure 12 (2024),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV103,Measure 4 (2024),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV104,Measure 1 (2025),Management Plans,,high,"The title names an individual ASPA revised management plan."
OV105,Recommendation 3-3,Operational issues,,high,"The title explicitly concerns logistics."
OV106,Recommendation 4-16,Specially Protected Species,,high,"The title explicitly identifies fur seals as specially protected species."
OV107,Recommendation 4-22,Marine living resources,,high,"The title concerns a study of pelagic sealing."
OV108,Recommendation 5-3,Science issues,,high,"The title explicitly concerns Southern Ocean research."
OV109,Recommendation 6-11,INSUFFICIENT_TITLE,,medium,"The phrase 'New Islands' does not state a governable concern."
OV110,Recommendation 6-12,Exchange of Information,,high,"The title concerns information exchange about rocket launching."
OV111,Recommendation 7-3,Area Protection and Management Plans General,,high,"The title concerns sites of special scientific interest as a protected-area class."
OV112,Recommendation 7-8,Operational issues,,high,"The title concerns cooperation in transport."
OV113,Recommendation 7-9,Historic Sites and Monuments,,high,"The title explicitly concerns historic monuments."
OV114,Recommendation 8-3,Area Protection and Management Plans General,,high,"The title concerns sites of special scientific interest as a protected-area class."
OV115,Recommendation 8-5,Area Protection and Management Plans General,,high,"The title concerns general entry permits for specially protected areas."
OV116,Recommendation 8-7,Operational issues,,high,"The title concerns cooperation in transport."
OV117,Recommendation 9-4,Operational issues,,high,"The title concerns cooperation in transport."
OV118,Recommendation 10-7,Prevention of marine pollution,,high,"The title explicitly concerns oil contamination of the marine environment."
OV119,Recommendation 13-11,INSUFFICIENT_TITLE,,high,"The title ends after a general protected-areas heading."
OV120,Recommendation 13-13,INSUFFICIENT_TITLE,,high,"The title ends after naming one protected area and states no action."
OV121,Recommendation 14-1,Operation of the Antarctic Treaty system General,,high,"The title concerns public availability of Consultative Meeting documents."
OV122,Recommendation 14-2,Environmental Impact Assessment EIA Other EIA Matters,,high,"The title explicitly concerns environmental impact assessment."
OV123,Recommendation 14-4,Area Protection and Management Plans General,Science issues,high,"The title concerns general designation guidance for scientific-interest sites and facilitation of research."
OV124,Recommendation 14-5,INSUFFICIENT_TITLE,,high,"The title is truncated before identifying the type of scientific site or action."
OV125,Recommendation 14-6,Area Protection and Management Plans General,,high,"The title concerns marine sites of special scientific interest."
OV126,Recommendation 14-9,Safety and Operations in Antarctica,,high,"The title explicitly concerns air safety in Antarctica."
OV127,Recommendation 15-19,Operational issues,,medium,"The title concerns operational hydrographic charting of Antarctic waters."
OV128,Recommendation 15-2,Environmental Protection General,,high,"The title broadly concerns protection of the Antarctic environment and ecosystems."
OV129,Recommendation 15-22,Operation of the Antarctic Treaty system Reports,,high,"The title explicitly identifies reports on operation of the Treaty System."
OV130,Recommendation 15-3,Waste management and disposal,,high,"The title explicitly concerns waste disposal."
OV131,Recommendation 15-7,Management Plans,,high,"The title redesignates a particular protected area."
OV132,Recommendation 16-1,Exchange of Information,,high,"The title explicitly concerns exchange of information."
OV133,Recommendation 16-10,Area Protection and Management Plans General,,high,"The title concerns review of the protected-area system."
OV134,Recommendation 16-5,Area Protection and Management Plans General,,high,"The title concerns the protected-area system generally."
OV135,Recommendation 17-4,Climate Change,Science issues,medium,"The title concerns global-change research in Antarctica."
OV136,Resolution 2 (1995),Waste management and disposal,,high,"The title concerns negotiations over disposal of nuclear waste."
OV137,Resolution 5 (1995),Inspections,,high,"The title explicitly concerns inspection checklists."
OV138,Resolution 8 (1995),Historic Sites and Monuments,,high,"The title concerns guidelines for proposing Historic Sites and Monuments."
OV139,Resolution 2 (1996),Educational issues,,high,"The title explicitly concerns educational and cultural activities."
OV140,Resolution 3 (1996),Management Plans,,high,"The title extends expiry dates for specifically numbered designated sites."
OV141,Resolution 5 (1996),Area Protection and Management Plans General,,high,"The title sets a general numbering system for ASPAs."
OV142,Resolution 1 (1997),Emergency report and contingency planning,,high,"The title explicitly concerns contingency plans."
OV143,Resolution 1 (1998),Area Protection and Management Plans General,,high,"The title concerns the protected-areas framework in Annex V."
OV144,Resolution 2 (1998),Area Protection and Management Plans General,,high,"The title is general guidance for preparing ASPA management plans."
OV145,Resolution 4 (1998),Science issues,,medium,"The title concerns management of Antarctic data, supporting scientific work."
OV146,Resolution 2 (1999),Specially Protected Species,,high,"The title explicitly concerns a list of specially protected species."
OV147,Resolution 6 (1999),Environmental Protection General,,high,"The title concerns adherence to the Environmental Protocol."
OV148,Resolution 2 (2001),Cooperation with Other Organisations,Marine living resources,high,"The title supports CCAMLR measures against illegal fishing."
OV149,Resolution 4 (2001),Historic Sites and Monuments,,high,"The title explicitly concerns Historic Sites and Monuments."
OV150,Resolution 5 (2001),Historic Sites and Monuments,,high,"The title concerns guidelines for pre-1958 historic remains."
OV151,Resolution 6 (2001),INSUFFICIENT_TITLE,,high,"The title only recalls Treaty provisions and states no substantive concern."
OV152,Resolution 3 (2002),Cooperation with Other Organisations,,high,"The title explicitly supports CCAMLR."
OV153,Resolution 4 (2003),Fauna and Flora_General,,high,"The title concerns conservation of albatrosses and petrels."
OV154,Resolution 5 (2004),Exchange of Information,,high,"The title establishes a group to improve information exchange."
OV155,Resolution 6 (2005),Site Guidelines for Visitors,,high,"The title concerns a post-visit site report form."
OV156,Resolution 7 (2005),Biological Prospecting,,high,"The title explicitly concerns biological prospecting in Antarctica."
OV157,Resolution 5 (2007),Tourism and NG_Activities,,high,"The title explicitly concerns tourism in the Treaty Area."
OV158,Resolution 1 (2008),Area Protection and Management Plans General,Historic Sites and Monuments,high,"The title gives general proposal guidance spanning protected areas and historic sites."
OV159,Resolution 3 (2008),Environmental Domains Analysis,,high,"The title explicitly concerns Environmental Domains Analysis and a geographic framework."
OV160,Resolution 5 (2008),Safety and Operations in Antarctica,Environmental Protection General,high,"The title links hydrographic charting to navigation safety and environmental protection."
OV161,Resolution 6 (2008),Search and Rescue,,high,"The title explicitly concerns maritime rescue coordination and SAR regions."
OV162,Resolution 5 (2009),Fauna and Flora_General,,high,"The title concerns protection of the Southern Giant Petrel."
OV163,Resolution 7 (2009),Tourism and NG_Activities,,high,"The title concerns general principles of Antarctic tourism."
OV164,Resolution 2 (2010),International Polar Year,Operational issues,high,"The title concerns an IPY contribution to hydrographic knowledge."
OV165,Resolution 7 (2010),INSUFFICIENT_TITLE,,high,"The title is truncated before stating the destination or governed action."
OV166,Resolution 2 (2011),Area Protection and Management Plans General,,high,"The title is general guidance for preparing ASPA management plans."
OV167,Resolution 2 (2012),Institutional and legal matters,,high,"The title concerns cooperation on jurisdictional questions."
OV168,Resolution 3 (2012),INSUFFICIENT_TITLE,,medium,"The generic phrase does not identify what cooperation concerns."
OV169,Resolution 3 (2013),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OV170,Resolution 6 (2013),Biological Prospecting,,high,"The title explicitly concerns biological prospecting in Antarctica."
OV171,Resolution 2 (2014),Exchange of Information,Science issues,high,"The title explicitly concerns exchange of meteorological and related environmental information."
OV172,Resolution 3 (2015),Environmental Protection General,,low,"The title identifies an Antarctic environmental portal but no narrower concern."
OV173,Resolution 5 (2015),Fauna and Flora_General,,high,"The title concerns important areas for Antarctic birds."
