validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
"OV001","Decision 1 (1997)","Operation of the Antarctic Treaty system General","","high","The title concerns revised procedural rules."
"OV002","Decision 3 (1998)","Liability","","high","The title explicitly concerns liability."
"OV003","Decision 1 (1999)","Operation of the CEP","","medium","The title concerns the CEP website."
"OV004","Decision 1 (2000)","Operation of the CEP","","high","The title concerns the list of CEP observers."
"OV005","Decision 2 (2001)","Operation of the CEP","","high","The title concerns handling CEP documents."
"OV006","Decision 3 (2001)","Liability","","high","The title explicitly concerns a liability annex."
"OV007","Decision 1 (2002)","Area Protection and Management Plans General","","high","The title concerns the ASPA naming and numbering system."
"OV008","Decision 2 (2002)","Operation of the Antarctic Treaty system General","","high","The title concerns the Treaty emblem."
"OV009","Decision 4 (2003)","Operation of the Antarctic Treaty system The Secretariat","","high","The title concerns Secretariat financial regulations."
"OV010","Decision 1 (2004)","Operation of the Antarctic Treaty system General","","medium","The title concerns general revised procedural rules."
"OV011","Decision 1 (2005)","Liability","","high","The title explicitly concerns environmental-emergency liability."
"OV012","Decision 10 (2005)","Exchange of Information","","high","The title concerns an electronic information exchange system."
"OV013","Decision 2 (2005)","Operation of the Antarctic Treaty system General","","high","The title concerns recognition of Consultative Party status."
"OV014","Decision 3 (2005)","Operation of the Antarctic Treaty system General","","medium","The title concerns amendments to procedural rules."
"OV015","Decision 4 (2005)","Operation of the Antarctic Treaty system General","","high","The title explicitly concerns Consultative Party status."
"OV016","Decision 5 (2005)","Operation of the Antarctic Treaty system The Secretariat","","high","The title concerns appointment of an external auditor."
"OV017","Decision 9 (2005)","Marine Protected Areas","Cooperation with Other Organisations","high","The title concerns marine protected areas in relation to CCAMLR."
"OV018","Decision 3 (2007)","Operation of the Antarctic Treaty system The Secretariat","","high","The title concerns appointment of an external auditor."
"OV019","Decision 1 (2008)","Operation of the Antarctic Treaty system General","","medium","The title concerns an amendment to procedural rules."
"OV020","Decision 2 (2008)","Operation of the Antarctic Treaty system The Secretariat","","high","The title concerns Secretariat finances and programme."
"OV021","Decision 4 (2008)","Operation of the Antarctic Treaty system The Secretariat","","high","The title concerns selecting the Secretariat Executive Secretary."
"OV022","Decision 5 (2008)","Exchange of Information","","high","The title explicitly names the electronic information exchange system."
