validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
OV001,"Decision 1 (1997)","Operation of the Antarctic Treaty system General",,high,"Title explicitly revises rules of procedure."
OV002,"Decision 3 (1998)",Liability,,high,"Title explicitly concerns liability."
OV003,"Decision 1 (1999)","Operation of the CEP",,medium,"Title concerns administration of a CEP website."
OV004,"Decision 1 (2000)","Operation of the CEP",,high,"Title explicitly concerns CEP observers."
OV005,"Decision 2 (2001)","Operation of the CEP",,high,"Title concerns handling and circulation of CEP documents."
OV006,"Decision 3 (2001)",Liability,,high,"Title explicitly concerns a draft liability annex."
OV007,"Decision 1 (2002)","Area Protection and Management Plans General",,high,"Title establishes system-wide ASPA naming and numbering."
OV008,"Decision 2 (2002)","Operation of the Antarctic Treaty system General",,high,"Title concerns the Antarctic Treaty emblem."
OV009,"Decision 4 (2003)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns Secretariat financial regulations."
OV010,"Decision 1 (2004)","Operation of the Antarctic Treaty system General",,high,"Title explicitly revises rules of procedure."
OV011,"Decision 1 (2005)",Liability,,high,"Title explicitly concerns liability for environmental emergencies."
OV012,"Decision 10 (2005)","Exchange of Information",,high,"Title establishes an electronic information exchange system."
OV013,"Decision 2 (2005)","Operation of the Antarctic Treaty system General",,high,"Title concerns recognition of Consultative Party status."
OV014,"Decision 3 (2005)","Operation of the Antarctic Treaty system General",,high,"Title concerns amendments to procedural rules."
OV015,"Decision 4 (2005)","Operation of the Antarctic Treaty system General",,high,"Title explicitly concerns Consultative Party status."
OV016,"Decision 5 (2005)","Operation of the Antarctic Treaty system The Secretariat",,medium,"External-auditor appointment is a Secretariat audit function."
OV017,"Decision 9 (2005)","Marine Protected Areas","Cooperation with Other Organisations",high,"Title concerns MPAs and explicitly relates them to CCAMLR."
OV018,"Decision 3 (2007)","Operation of the Antarctic Treaty system The Secretariat",,medium,"External-auditor appointment is a Secretariat audit function."
OV019,"Decision 1 (2008)","Operation of the Antarctic Treaty system General",,high,"Title concerns amendment of procedural rules."
OV020,"Decision 2 (2008)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns Secretariat finance programme and budget."
OV021,"Decision 4 (2008)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns appointment of the Secretariat Executive Secretary."
OV022,"Decision 5 (2008)","Exchange of Information",,high,"Title explicitly names the electronic information exchange system."
OV023,"Decision 5 (2009)",INSUFFICIENT_TITLE,,high,"Visible text is only a document page reference."
OV024,"Decision 6 (2009)",INSUFFICIENT_TITLE,,high,"Visible text is only a document page reference."
OV025,"Decision 1 (2010)","Operation of the Antarctic Treaty system General",,high,"Title concerns compilation of Treaty System documents."
OV026,"Decision 2 (2010)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title explicitly concerns Secretariat reports programme and budgets."
OV027,"Decision 3 (2010)",INSUFFICIENT_TITLE,,high,"Visible title is truncated after an unnamed committee."
OV028,"Decision 4 (2010)",Liability,,high,"Title explicitly concerns environmental-emergency liability."
OV029,"Decision 5 (2010)","Cooperation with Other Organisations",,high,"Title concerns letters to four named international organizations."
OV030,"Decision 1 (2011)","Operation of the Antarctic Treaty system General",,high,"Title concerns the currency of Treaty measures."
OV031,"Decision 2 (2011)","Operation of the Antarctic Treaty system General","Operation of the CEP",high,"Title spans ATCM rules and CEP rules and document procedures."
OV032,"Decision 4 (2012)","Exchange of Information",,high,"Title concerns use and refinement of the EIES."
OV033,"Decision 1 (2013)","Operation of the Antarctic Treaty system General",,high,"Title concerns recognition as a Consultative Party."
OV034,"Decision 3 (2013)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title explicitly renews the Secretariat external auditor."
OV035,"Decision 4 (2013)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title explicitly concerns Secretariat reporting programme and budget."
OV036,"Decision 3 (2014)","Multiyear strategic workplan",,high,"Title explicitly names the multi-year ATCM work plan."
OV037,"Decision 1 (2015)","Operation of the Antarctic Treaty system General",,high,"Title revises ATCM rules for committees and working groups."
