validation_id,outcome_id,year,instrument,title,primary_a,secondary_a,confidence_a,rationale_a,primary_b,secondary_b,confidence_b,rationale_b,primary_c,secondary_c,confidence_c,rationale_c,n_distinct_primary,unanimous_primary,majority_primary,majority_count
OV001,Decision 1 (1997),1997,Decision,Revised Rules of Procedure (1997),Operation of the Antarctic Treaty system General,,high,The title explicitly concerns revised procedural rules.,Operation of the Antarctic Treaty system General,,high,The title concerns revised procedural rules.,Operation of the Antarctic Treaty system General,,high,Title explicitly revises rules of procedure.,1,True,Operation of the Antarctic Treaty system General,3
OV002,Decision 3 (1998),1998,Decision,Liability,Liability,,high,The title explicitly states liability.,Liability,,high,The title explicitly concerns liability.,Liability,,high,Title explicitly concerns liability.,1,True,Liability,3
OV003,Decision 1 (1999),1999,Decision,CEP WEB SITE,Operation of the CEP,,medium,"The title concerns a CEP website, an administrative communication facility.",Operation of the CEP,,medium,The title concerns the CEP website.,Operation of the CEP,,medium,Title concerns administration of a CEP website.,1,True,Operation of the CEP,3
OV004,Decision 1 (2000),2000,Decision,List of CEP observers,Operation of the CEP,,high,The title explicitly concerns CEP observers.,Operation of the CEP,,high,The title concerns the list of CEP observers.,Operation of the CEP,,high,Title explicitly concerns CEP observers.,1,True,Operation of the CEP,3
OV005,Decision 2 (2001),2001,Decision,Guidelines on Circulation and Handling of CEP Documents,Operation of the CEP,,high,The title concerns circulation and handling of CEP documents.,Operation of the CEP,,high,The title concerns handling CEP documents.,Operation of the CEP,,high,Title concerns handling and circulation of CEP documents.,1,True,Operation of the CEP,3
OV006,Decision 3 (2001),2001,Decision,Elaboration of draft liability annex,Liability,,high,The title explicitly concerns a draft liability annex.,Liability,,high,The title explicitly concerns a liability annex.,Liability,,high,Title explicitly concerns a draft liability annex.,1,True,Liability,3
OV007,Decision 1 (2002),2002,Decision,Naming and numbering system for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,The title sets a system-wide naming and numbering scheme for protected areas.,Area Protection and Management Plans General,,high,The title concerns the ASPA naming and numbering system.,Area Protection and Management Plans General,,high,Title establishes system-wide ASPA naming and numbering.,1,True,Area Protection and Management Plans General,3
OV008,Decision 2 (2002),2002,Decision,Emblem of the Antarctic Treaty,Operation of the Antarctic Treaty system General,,high,The title concerns the Antarctic Treaty emblem.,Operation of the Antarctic Treaty system General,,high,The title concerns the Treaty emblem.,Operation of the Antarctic Treaty system General,,high,Title concerns the Antarctic Treaty emblem.,1,True,Operation of the Antarctic Treaty system General,3
OV009,Decision 4 (2003),2003,Decision,FINANCIAL REGULATIONS FOR THE SECRETARIAT OF THE ANTARCTIC TREATY,Operation of the Antarctic Treaty system The Secretariat,,high,The title explicitly concerns Secretariat financial regulations.,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns Secretariat financial regulations.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns Secretariat financial regulations.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV010,Decision 1 (2004),2004,Decision,REVISED RULES OF PROCEDURE,Operation of the Antarctic Treaty system General,,high,The title explicitly concerns revised procedural rules.,Operation of the Antarctic Treaty system General,,medium,The title concerns general revised procedural rules.,Operation of the Antarctic Treaty system General,,high,Title explicitly revises rules of procedure.,1,True,Operation of the Antarctic Treaty system General,3
