validation_id,outcome_id,year,instrument,title,primary_a,primary_b,primary_c,secondary_a,secondary_b,secondary_c,confidence_a,confidence_b,confidence_c,rationale_a,rationale_b,rationale_c,majority_primary,majority_count,n_distinct_primary
OV066,Measure 16 (2009),2009,Measure,Amendment of Annex II to the Environment Protocol,INSUFFICIENT_TITLE,Environmental Protection General,Environmental Protection General,,,,medium,medium,medium,The title names an annex amendment but not its substantive concern.,The title concerns amendment of an Environment Protocol annex.,Title concerns an Environment Protocol annex without a narrower stated subject.,Environmental Protection General,2,2
OV074,Measure 11 (2012),2012,Measure,Antarctic Historic Sites and Monuments:,INSUFFICIENT_TITLE,Historic Sites and Monuments,INSUFFICIENT_TITLE,,,,high,medium,medium,The title is truncated after a general Historic Sites and Monuments heading.,The visible subject is Antarctic historic sites and monuments.,Visible historic-sites title ends at a colon and omits the action.,INSUFFICIENT_TITLE,2,2
OV109,Recommendation 6-11,1970,Recommendation,NEW ISLANDS,INSUFFICIENT_TITLE,INSUFFICIENT_TITLE,OUTSIDE_TAXONOMY,,,,medium,high,medium,The phrase 'New Islands' does not state a governable concern.,The title names new islands without stating a concern.,New islands are identifiable but lack a matching taxonomy concern.,INSUFFICIENT_TITLE,2,2
OV119,Recommendation 13-11,1985,Recommendation,Specially Protected Areas:,INSUFFICIENT_TITLE,Area Protection and Management Plans General,INSUFFICIENT_TITLE,,,,high,medium,high,The title ends after a general protected-areas heading.,The visible subject is the protected-area system.,Visible protected-areas title is truncated at a colon.,INSUFFICIENT_TITLE,2,2
OV123,Recommendation 14-4,1987,Recommendation,Facilitation of Scientific Research: Sites of Special Scientific Interest: Interim Guidelines: Extension of Designation.,Area Protection and Management Plans General,Management Plans,Management Plans,Science issues,Science issues,,high,high,high,The title concerns general designation guidance for scientific-interest sites and facilitation of research.,The title extends designation of specified scientific-interest sites.,Title extends designation of protected scientific-interest sites.,Management Plans,2,2
OV145,Resolution 4 (1998),1998,Resolution,Antarctic Data Management,Science issues,Science issues,Exchange of Information,,,,medium,medium,medium,"The title concerns management of Antarctic data, supporting scientific work.",The title concerns management of Antarctic data.,Title concerns management of Antarctic data.,Science issues,2,2
OV165,Resolution 7 (2010),2010,Resolution,Enhancement of port State control for passenger vessels bound,INSUFFICIENT_TITLE,Tourism and NG_Activities,INSUFFICIENT_TITLE,,,,high,medium,high,The title is truncated before stating the destination or governed action.,The visible title concerns port control for passenger vessels.,Visible passenger-vessel title is truncated before its destination or purpose.,INSUFFICIENT_TITLE,2,2
OV172,Resolution 3 (2015),2015,Resolution,The Antarctic Environments Portal.,Environmental Protection General,Science issues,Exchange of Information,,,,low,medium,medium,The title identifies an Antarctic environmental portal but no narrower concern.,The title concerns an Antarctic environments information portal.,Title identifies an Antarctic environmental information portal.,Environmental Protection General,1,3
OV185,Resolution 5 (2018),2018,Resolution,SCAR's Environmental Code of Conduct for Terrestrial Scientific Field Research in Antarctica.,Environmental Protection General,Cooperation with Other Organisations,Environmental Protection General,Science issues,Environmental Protection General,Science issues,high,high,high,The title concerns an environmental code for terrestrial scientific field research.,The title adopts a SCAR environmental code for field research.,Title concerns an environmental code for scientific field research.,Environmental Protection General,2,2
OV188,Resolution 4 (2019),2019,Resolution,Scientific Committee on Antarctic Research's Code of Conduct for the Use of Animals for Scientific Purposes in Antarctica,Fauna and Flora_General,Cooperation with Other Organisations,Fauna and Flora_General,Science issues,Fauna and Flora_General,Science issues,high,high,high,The title concerns use of animals for scientific purposes.,The title concerns a SCAR code for scientific use of animals.,Title governs use of animals for scientific purposes.,Fauna and Flora_General,2,2
OV191,Resolution 1 (2021),2021,Resolution,SCAR Environmental Code of Conduct for Geosciences Field Research Activities in Antarctica,Environmental Protection General,Cooperation with Other Organisations,Environmental Protection General,Science issues,Environmental Protection General,Science issues,high,high,high,The title concerns a SCAR environmental code for geoscience field research.,The title concerns a SCAR environmental code for geoscience fieldwork.,Title concerns an environmental code for geoscience field research.,Environmental Protection General,2,2
OV197,Resolution 2 (2024),2024,Resolution,General Guidelines for Visitors to the Antarctic,Tourism and NG_Activities,Site Guidelines for Visitors,Tourism and NG_Activities,,,,high,high,high,The title concerns general guidelines for Antarctic visitors.,The title explicitly concerns general visitor guidelines.,Title gives general guidance for Antarctic visitors.,Tourism and NG_Activities,2,2
OV200,Resolution 4 (2025),2025,Resolution,General Guidelines for Visitors to the Antarctic,Tourism and NG_Activities,Site Guidelines for Visitors,Tourism and NG_Activities,,,,high,high,high,The title concerns general guidelines for Antarctic visitors.,The title explicitly concerns general visitor guidelines.,Title gives general guidance for Antarctic visitors.,Tourism and NG_Activities,2,2
