validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source
OV001,Decision 1 (1997),1997,Decision,Revised Rules of Procedure (1997),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV002,Decision 3 (1998),1998,Decision,Liability,Liability,,high,three_coder_unanimous+independent_audit
OV003,Decision 1 (1999),1999,Decision,CEP WEB SITE,Operation of the CEP,,medium,three_coder_unanimous+independent_audit
OV004,Decision 1 (2000),2000,Decision,List of CEP observers,Operation of the CEP,,high,three_coder_unanimous+independent_audit
OV005,Decision 2 (2001),2001,Decision,Guidelines on Circulation and Handling of CEP Documents,Operation of the CEP,,high,three_coder_unanimous+independent_audit
OV006,Decision 3 (2001),2001,Decision,Elaboration of draft liability annex,Liability,,high,three_coder_unanimous+independent_audit
OV007,Decision 1 (2002),2002,Decision,Naming and numbering system for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV008,Decision 2 (2002),2002,Decision,Emblem of the Antarctic Treaty,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV009,Decision 4 (2003),2003,Decision,FINANCIAL REGULATIONS FOR THE SECRETARIAT OF THE ANTARCTIC TREATY,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV010,Decision 1 (2004),2004,Decision,REVISED RULES OF PROCEDURE,Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous+independent_audit
OV011,Decision 1 (2005),2005,Decision,Annex VI on Liability Arising from Environmental Emergencies to the Protocol on Environmental Protection to the Antarctic Treaty,Liability,,high,three_coder_unanimous+independent_audit
OV012,Decision 10 (2005),2005,Decision,Establishment of an Electronic Information Exchange System,Exchange of Information,,high,three_coder_unanimous+independent_audit
OV013,Decision 2 (2005),2005,Decision,Decision confirming the recognition of Ukraine as a Consultative Party,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV014,Decision 3 (2005),2005,Decision,Amendments to the Rules of Procedure,Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous+independent_audit
OV015,Decision 4 (2005),2005,Decision,Consultative Party Status,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV016,Decision 5 (2005),2005,Decision,Appointment of External Auditor,Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous+independent_audit
OV017,Decision 9 (2005),2005,Decision,Marine Protected Areas and other areas of interest to CCAMLR,Marine Protected Areas,Cooperation with Other Organisations,high,three_coder_unanimous+independent_audit
OV018,Decision 3 (2007),2007,Decision,Appointment of an External Auditor,Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous+independent_audit
OV019,Decision 1 (2008),2008,Decision,Amendment to the Rules of Procedure,Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous+independent_audit
OV020,Decision 2 (2008),2008,Decision,Approval of the Secretariat's Financial Report for 2006/07 and Programme and Budget for 2008/09,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV021,Decision 4 (2008),2008,Decision,Procedure for Selection and Appointment of the Executive Secretary of the Secretariat of the Antarctic Treaty,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV022,Decision 5 (2008),2008,Decision,Electronic Information Exchange System,Exchange of Information,,high,three_coder_unanimous+independent_audit
OV023,Decision 5 (2009),2009,Decision,"(Part II, section 2, page 245).",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV024,Decision 6 (2009),2009,Decision,"(Part II, section 2, page 251).",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV025,Decision 1 (2010),2010,Decision,Compilation of Key Documents of the Antarctic Treaty System,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV026,Decision 2 (2010),2010,Decision,"Secretariat Reports, Programme and Budgets",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV027,Decision 3 (2010),2010,Decision,Revised Rules of Procedure for the Committee for,INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV028,Decision 4 (2010),2010,Decision,Liability arising from Environmental Emergencies,Liability,,high,three_coder_unanimous+independent_audit
OV029,Decision 5 (2010),2010,Decision,"Letters to UNFCCC, IPCC, WMO and IMO",Cooperation with Other Organisations,,high,three_coder_unanimous+independent_audit
OV030,Decision 1 (2011),2011,Decision,Measures designated as no longer current,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV031,Decision 2 (2011),2011,Decision,"Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting (2011); Revised Rules of Procedure for the Committee for Environmental Protection (2011); Guidelines for the Submission, Translation and Distribution",Operation of the Antarctic Treaty system General,Operation of the CEP,high,three_coder_unanimous+independent_audit
OV032,Decision 4 (2012),2012,Decision,"Electronic Information Exchange System, encouraging use of the system and modifying it in several respects; and Parties will continue to work with the Secretariat to refine and improve the EIES.",Exchange of Information,,high,three_coder_unanimous+independent_audit
OV033,Decision 1 (2013),2013,Decision,Recognition of the Czech Republic as a Consultative Party,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV034,Decision 3 (2013),2013,Decision,Renewal of the Contract of the Secretariat's External Auditor,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV035,Decision 4 (2013),2013,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV036,Decision 3 (2014),2014,Decision,"Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting, including two new priorities.",Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit
OV037,Decision 1 (2015),2015,Decision,Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting (2015): Committees and Working Groups.,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV038,Decision 4 (2015),2015,Decision,Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting.,Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit
OV039,Decision 2 (2017),2017,Decision,Guidelines on the procedure to be followed with respect to Consultative Party status.,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV040,Decision 4 (2017),2017,Decision,Procedure for Appointing Antarctic Treaty Consultative Meeting Working Group Chairs,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV041,Decision 1 (2018),2018,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV042,Decision 1 (2019),2019,Decision,Redesign of the Format of the List of Historic Sites and Monuments.,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV043,Decision 3 (2019),2019,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit
OV044,Decision 6 (2019),2019,Decision,Manual of Regulations and Guidelines Relevant to Tourism and Non-Governmental Activities in Antarctica,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit
OV045,Decision 1 (2021),2021,Decision,Antarctic Protected Areas System: Reformatted List of Historic Sites and Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV046,Decision 5 (2021),2021,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit
OV047,Decision 2 (2022),2022,Decision,Liability arising from environmental emergencies,Liability,,high,three_coder_unanimous+independent_audit
OV048,Decision 5 (2023),2023,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit
OV049,Measure 1 (1997),1997,Measure,Antarctic Protected Areas System: Revised Description and Management Plan for Specially Protected Area,Management Plans,,high,three_coder_unanimous+independent_audit
OV050,Measure 2 (1997),1997,Measure,Antarctic Protected Areas System: Management Plans for Specially Protected Areas,Management Plans,,high,three_coder_unanimous+independent_audit
OV051,Measure 3 (1997),1997,Measure,Antarctic Protected Areas System: Revised Descriptions and Management Plans for Sites of Special Scientific Interest (SSSI),Management Plans,,high,three_coder_unanimous+independent_audit
OV052,Measure 5 (1997),1997,Measure,Antarctic Protected Areas System: Historic Sites and Monuments: Amendment Number 41: Stone Hut on Paulet Island,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV053,Measure 1 (1998),1998,Measure,Antarctic Protected Areas System: Management Plans for Specially Protected Areas,Management Plans,,high,three_coder_unanimous+independent_audit
OV054,Measure 2 (1998),1998,Measure,"Antarctic Protected Areas System: Historic Sites and Monuments. South-West Coast of Elephant Island, South Shetland Islands",Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV055,Measure 1 (2001),2001,Measure,Antarctic Protected Area System Historic Sites And Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV056,Measure 2 (2001),2001,Measure,Antarctic Protected Area System Historic Sites And Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV057,Measure 3 (2001),2001,Measure,Antarctic Protected Areas System: Extension of Expiry Dates for Certain Sites of Special Scientific Interest,Management Plans,,high,three_coder_unanimous+independent_audit
OV058,Measure 1 (2004),2004,Measure,ANTARCTIC SPECIALLY MANAGED AREAS: DESIGNATIONS AND MANAGEMENT PLANS,Management Plans,,high,three_coder_unanimous+independent_audit
OV059,Measure 1 (2006),2006,Measure,Antarctic Specially Protected Areas: Designations and Management Plans,Management Plans,,high,three_coder_unanimous+independent_audit
OV060,Measure 1 (2007),2007,Measure,Antarctic Specially Protected Areas: Revised Management Plans,Management Plans,,high,three_coder_unanimous+independent_audit
OV061,Measure 3 (2007),2007,Measure,Antarctic Historic Sites and Monuments: Monument to the Antarctic Treaty,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV062,Measure 13 (2008),2008,Measure,"Antarctic Specially Protected Area No 160 (Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV063,Measure 13 (2009),2009,Measure,Designation of ASPA 171  (Narębski Point),Management Plans,,high,three_coder_unanimous+independent_audit
OV064,Measure 14 (2009),2009,Measure,Historic Sites 83 (Base “W”) and 84 (Hut at Damoy Point),Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV065,Measure 15 (2009),2009,Measure,Landing of Persons from Passenger vessels,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit
OV066,Measure 16 (2009),2009,Measure,Amendment of Annex II to the Environment Protocol,Environmental Protection General,,medium,adversarial_adjudication+independent_audit
OV067,Measure 11 (2010),2010,Measure,"Antarctic Specially Protected Area No 159 (Cape Adare, Borchgrevink Coast): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV068,Measure 15 (2010),2010,Measure,Antarctic Historic Sites and Monuments: Plaque,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV069,Measure 2 (2010),2010,Measure,"Antarctic Specially Protected Area No 102 (Rookery Islands, Holme Bay, Mac.Robertson Land): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV070,Measure 4 (2010),2010,Measure,"Antarctic Specially Protected Area No 105 (Beaufort Island,",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV071,Measure 6 (2010),2010,Measure,Antarctic Specially Protected Area No 119 (Davis Valley and,INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV072,Measure 3 (2011),2011,Measure,"ASPA 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV073,Measure 1 (2012),2012,Measure,"ASPA No 109 (Moe Island, South Orkney Islands):",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV074,Measure 11 (2012),2012,Measure,Antarctic Historic Sites and Monuments:,INSUFFICIENT_TITLE,,high,adversarial_adjudication+independent_audit
OV075,Measure 1 (2013),2013,Measure,"Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV076,Measure 13 (2013),2013,Measure,"Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV077,Measure 15 (2013),2013,Measure,"Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV078,Measure 4 (2013),2013,Measure,"Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV079,Measure 6 (2013),2013,Measure,"Antarctic Specially Protected Area No 135 (North-east Bailey Peninsula, Budd Coast, Wilkes Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV080,Measure 9 (2013),2013,Measure,"Antarctic Specially Protected Area No 143 (Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
