validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source,in_stratified_120,in_headline_lineage_95,topic_top1,topic_top2,topic_top3,probability_top1,margin_top1_top2,high_confidence,codable,exact_top1,primary_in_top3,primary_or_secondary_in_top3,same_descriptive_region,human_model_proximity,in_lineage_union_157
OV001,Decision 1 (1997),1997,Decision,Revised Rules of Procedure (1997),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Institutional and legal matters,CEP Strategy Discussions,0.3256837947127399,0.0119209512820196,False,True,True,True,True,True,1.0,True
OV002,Decision 3 (1998),1998,Decision,Liability,Liability,,high,three_coder_unanimous+independent_audit,True,False,Liability,Environmental Monitoring and Reporting,Marine Acoustics,0.993103724000242,2.8721846720940487,True,True,True,True,True,True,1.0,False
OV003,Decision 1 (1999),1999,Decision,CEP WEB SITE,Operation of the CEP,,medium,three_coder_unanimous+independent_audit,False,True,Site Guidelines for Visitors,Operation of the CEP,Exchange of Information,0.2228302034196025,0.4476402495363466,False,True,False,True,True,True,0.07142857142857142,True
OV005,Decision 2 (2001),2001,Decision,Guidelines on Circulation and Handling of CEP Documents,Operation of the CEP,,high,three_coder_unanimous+independent_audit,False,True,Operation of the CEP,Operation of the Antarctic Treaty system General,Comprehensive Environmental Evaluations,0.4043942308254048,0.7593401628662679,True,True,True,True,True,True,1.0,True
OV006,Decision 3 (2001),2001,Decision,Elaboration of draft liability annex,Liability,,high,three_coder_unanimous+independent_audit,False,True,Liability,Area Protection and Management Plans General,Historic Sites and Monuments,0.9680154625900442,2.2191301827955887,True,True,True,True,True,True,1.0,True
OV007,Decision 1 (2002),2002,Decision,Naming and numbering system for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit,False,True,Area Protection and Management Plans General,Management Plans,Environmental Protection General,0.5260509649215754,0.3742677756688957,False,True,True,True,True,True,1.0,True
OV008,Decision 2 (2002),2002,Decision,Emblem of the Antarctic Treaty,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,0.8681190194974641,1.4810449209588838,True,True,True,True,True,True,1.0,False
OV009,Decision 4 (2003),2003,Decision,FINANCIAL REGULATIONS FOR THE SECRETARIAT OF THE ANTARCTIC TREATY,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,Institutional and legal matters,0.953224051183342,1.8645192377009476,True,True,True,True,True,True,1.0,True
OV010,Decision 1 (2004),2004,Decision,REVISED RULES OF PROCEDURE,Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,CEP Strategy Discussions,Environmental Protection General,0.7826897780313321,0.8535664489093112,True,True,True,True,True,True,1.0,True
OV011,Decision 1 (2005),2005,Decision,Annex VI on Liability Arising from Environmental Emergencies to the Protocol on Environmental Protection to the Antarctic Treaty,Liability,,high,three_coder_unanimous+independent_audit,True,False,Liability,Emergency report and contingency planning,Institutional and legal matters,0.958874602555284,2.137057043375401,True,True,True,True,True,True,1.0,False
OV012,Decision 10 (2005),2005,Decision,Establishment of an Electronic Information Exchange System,Exchange of Information,,high,three_coder_unanimous+independent_audit,False,True,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,Operation of the CEP,0.6134223111414161,0.9876957302964724,True,True,True,True,True,True,1.0,True
OV013,Decision 2 (2005),2005,Decision,Decision confirming the recognition of Ukraine as a Consultative Party,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Institutional and legal matters,Science issues,0.391674298513874,0.691842535069699,True,True,True,True,True,True,1.0,False
OV014,Decision 3 (2005),2005,Decision,Amendments to the Rules of Procedure,Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Operation of the CEP,Institutional and legal matters,0.6588136707660238,0.536865107632588,False,True,True,True,True,True,1.0,False
OV015,Decision 4 (2005),2005,Decision,Consultative Party Status,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Institutional and legal matters,Opening statements,0.8486853976501202,1.5996773060977474,True,True,True,True,True,True,1.0,True
OV016,Decision 5 (2005),2005,Decision,Appointment of External Auditor,Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system The Secretariat,Environmental Impact Assessment EIA Other EIA Matters,0.2232899741774173,0.3191826128618612,False,True,False,True,True,True,0.3333333333333333,True
OV017,Decision 9 (2005),2005,Decision,Marine Protected Areas and other areas of interest to CCAMLR,Marine Protected Areas,Cooperation with Other Organisations,high,three_coder_unanimous+independent_audit,True,False,Marine Protected Areas,Operation of the Antarctic Treaty system General,Area Protection and Management Plans General,0.7152940870710385,1.091930297854602,True,True,True,True,True,True,1.0,False
OV018,Decision 3 (2007),2007,Decision,Appointment of an External Auditor,Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system The Secretariat,Comprehensive Environmental Evaluations,0.1616119713933834,0.1401367582538518,False,True,False,True,True,True,0.3333333333333333,True
OV019,Decision 1 (2008),2008,Decision,Amendment to the Rules of Procedure,Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous+independent_audit,True,True,Operation of the Antarctic Treaty system General,Environmental Protection General,CEP Strategy Discussions,0.7090067134931458,0.620788149817204,True,True,True,True,True,True,1.0,True
OV020,Decision 2 (2008),2008,Decision,Approval of the Secretariat's Financial Report for 2006/07 and Programme and Budget for 2008/09,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system The Secretariat,Operational issues,Science issues,0.4726034587874358,0.4073803159409873,False,True,True,True,True,True,1.0,False
OV021,Decision 4 (2008),2008,Decision,Procedure for Selection and Appointment of the Executive Secretary of the Secretariat of the Antarctic Treaty,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system The Secretariat,Cooperation with Other Organisations,Institutional and legal matters,0.9260255734899584,1.9764455483104628,True,True,True,True,True,True,1.0,True
OV022,Decision 5 (2008),2008,Decision,Electronic Information Exchange System,Exchange of Information,,high,three_coder_unanimous+independent_audit,True,False,Exchange of Information,Environmental Monitoring and Reporting,Environmental Protection General,0.9831067921428618,2.2553019226799544,True,True,True,True,True,True,1.0,False
OV023,Decision 5 (2009),2009,Decision,"(Part II, section 2, page 245).",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit,True,False,Operational issues,Fauna and Flora_General,Exchange of Information,0.2105194412703762,0.379076961247984,False,False,False,False,False,False,,False
OV024,Decision 6 (2009),2009,Decision,"(Part II, section 2, page 251).",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit,True,False,Operational issues,Fauna and Flora_General,Exchange of Information,0.2055763101632648,0.3764229811015104,False,False,False,False,False,False,,False
OV025,Decision 1 (2010),2010,Decision,Compilation of Key Documents of the Antarctic Treaty System,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system Reports,Safety and Operations in Antarctica,Exchange of Information,0.2006722113815833,0.1468420684728045,False,True,False,False,False,True,0.20833333333333334,False
OV026,Decision 2 (2010),2010,Decision,"Secretariat Reports, Programme and Budgets",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,True,True,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,Science issues,0.782074887109535,1.2862815808829422,True,True,True,True,True,True,1.0,True
OV027,Decision 3 (2010),2010,Decision,Revised Rules of Procedure for the Committee for,INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit,True,False,Operation of the CEP,Operation of the Antarctic Treaty system General,Institutional and legal matters,0.3163880435663152,0.0246223808004875,False,False,False,False,False,False,,False
OV028,Decision 4 (2010),2010,Decision,Liability arising from Environmental Emergencies,Liability,,high,three_coder_unanimous+independent_audit,True,False,Liability,Emergency report and contingency planning,Repair and remediation of environmental damage,0.7473147950126036,0.7441206523957853,True,True,True,True,True,True,1.0,False
OV029,Decision 5 (2010),2010,Decision,"Letters to UNFCCC, IPCC, WMO and IMO",Cooperation with Other Organisations,,high,three_coder_unanimous+independent_audit,True,False,Climate Change,Cooperation with Other Organisations,Tourism and NG_Activities,0.208377524053113,0.4159293266824617,False,True,False,True,True,True,0.21428571428571427,False
OV030,Decision 1 (2011),2011,Decision,Measures designated as no longer current,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,True,Management Plans,Operational issues,Environmental Protection General,0.1056472586611286,0.0051798845249222,False,True,False,False,False,False,0.25,True
OV031,Decision 2 (2011),2011,Decision,"Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting (2011); Revised Rules of Procedure for the Committee for Environmental Protection (2011); Guidelines for the Submission, Translation and Distribution",Operation of the Antarctic Treaty system General,Operation of the CEP,high,three_coder_unanimous+independent_audit,False,True,Operation of the CEP,Operation of the Antarctic Treaty system General,CEP Strategy Discussions,0.3938207518753195,0.2951717413826438,False,True,False,True,True,False,0.3333333333333333,True
OV032,Decision 4 (2012),2012,Decision,"Electronic Information Exchange System, encouraging use of the system and modifying it in several respects; and Parties will continue to work with the Secretariat to refine and improve the EIES.",Exchange of Information,,high,three_coder_unanimous+independent_audit,True,False,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,Cooperation with Other Organisations,0.2282169401402271,0.0753312462363557,False,True,True,True,True,True,1.0,True
OV033,Decision 1 (2013),2013,Decision,Recognition of the Czech Republic as a Consultative Party,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Exchange of Information,Opening statements,0.3549815169148906,0.395741068658124,False,True,True,True,True,True,1.0,False
OV034,Decision 3 (2013),2013,Decision,Renewal of the Contract of the Secretariat's External Auditor,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system The Secretariat,Operational issues,Operation of the Antarctic Treaty system Reports,0.9043620918227532,1.3809739391725868,True,True,True,True,True,True,1.0,False
OV035,Decision 4 (2013),2013,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,Safety and Operations in Antarctica,0.8790115794514276,1.5755426729564732,True,True,True,True,True,True,1.0,True
OV036,Decision 3 (2014),2014,Decision,"Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting, including two new priorities.",Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Operation of the CEP,Operational issues,0.5721642069766072,0.8599769539606071,True,True,False,False,False,False,0.08333333333333333,False
OV037,Decision 1 (2015),2015,Decision,Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting (2015): Committees and Working Groups.,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Institutional and legal matters,CEP Strategy Discussions,0.9474579059563628,1.81288263687216,True,True,True,True,True,True,1.0,False
OV038,Decision 4 (2015),2015,Decision,Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting.,Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Operational issues,Operation of the Antarctic Treaty system Reports,0.8071301314089744,1.237878430042476,True,True,False,False,False,False,0.08333333333333333,True
OV039,Decision 2 (2017),2017,Decision,Guidelines on the procedure to be followed with respect to Consultative Party status.,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Site Guidelines for Visitors,Nonnative Species and Quarantine,0.1548807422069364,0.2959364952912863,False,True,True,True,True,True,1.0,False
OV040,Decision 4 (2017),2017,Decision,Procedure for Appointing Antarctic Treaty Consultative Meeting Working Group Chairs,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system The Secretariat,Institutional and legal matters,0.9466768254675224,1.8809243375018232,True,True,True,True,True,True,1.0,True
OV041,Decision 1 (2018),2018,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,Science issues,0.8989768176645969,1.6715096947742705,True,True,True,True,True,True,1.0,False
OV042,Decision 1 (2019),2019,Decision,Redesign of the Format of the List of Historic Sites and Monuments.,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,True,False,Historic Sites and Monuments,Operation of the Antarctic Treaty system Reports,Institutional and legal matters,0.9799145021375988,2.0551898807114872,True,True,True,True,True,True,1.0,True
OV043,Decision 3 (2019),2019,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system The Secretariat,Operation of the Antarctic Treaty system Reports,Science issues,0.8500839420701783,1.4484833234349046,True,True,True,True,True,True,1.0,False
OV044,Decision 6 (2019),2019,Decision,Manual of Regulations and Guidelines Relevant to Tourism and Non-Governmental Activities in Antarctica,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit,True,False,Tourism and NG_Activities,Environmental Monitoring and Reporting,Emergency report and contingency planning,0.9773993471271956,2.251041764063093,True,True,True,True,True,True,1.0,False
OV045,Decision 1 (2021),2021,Decision,Antarctic Protected Areas System: Reformatted List of Historic Sites and Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,False,True,Historic Sites and Monuments,Management Plans,Environmental Domains Analysis,0.947550841412924,1.3718149528651429,True,True,True,True,True,True,1.0,True
OV046,Decision 5 (2021),2021,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit,True,False,Operation of the Antarctic Treaty system General,Operational issues,Multiyear strategic workplan,0.8155292781823031,1.1584014086449534,True,True,False,True,True,False,0.08333333333333333,False
OV047,Decision 2 (2022),2022,Decision,Liability arising from environmental emergencies,Liability,,high,three_coder_unanimous+independent_audit,True,False,Liability,Emergency report and contingency planning,Repair and remediation of environmental damage,0.7473147950126036,0.7441206523957853,True,True,True,True,True,True,1.0,False
OV048,Decision 5 (2023),2023,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,three_coder_unanimous+independent_audit,False,True,Operation of the Antarctic Treaty system General,Operational issues,Multiyear strategic workplan,0.8155292781823031,1.1584014086449534,True,True,False,True,True,False,0.08333333333333333,True
OV049,Measure 1 (1997),1997,Measure,Antarctic Protected Areas System: Revised Description and Management Plan for Specially Protected Area,Management Plans,,high,three_coder_unanimous+independent_audit,True,True,Management Plans,Area Protection and Management Plans General,Environmental Domains Analysis,0.7780058179048349,0.5121324312636151,False,True,True,True,True,True,1.0,True
OV050,Measure 2 (1997),1997,Measure,Antarctic Protected Areas System: Management Plans for Specially Protected Areas,Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Marine Protected Areas,0.979496355454178,1.7857643106676,True,True,True,True,True,True,1.0,True
OV051,Measure 3 (1997),1997,Measure,Antarctic Protected Areas System: Revised Descriptions and Management Plans for Sites of Special Scientific Interest (SSSI),Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Area Protection and Management Plans General,Management Plans,Marine Protected Areas,0.4747229449684099,0.0556318646218447,False,True,False,True,True,True,0.6111111111111112,True
OV052,Measure 5 (1997),1997,Measure,Antarctic Protected Areas System: Historic Sites and Monuments: Amendment Number 41: Stone Hut on Paulet Island,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,False,True,Historic Sites and Monuments,Management Plans,Environmental Protection General,0.8706772030791012,1.2731652565378693,True,True,True,True,True,True,1.0,True
OV053,Measure 1 (1998),1998,Measure,Antarctic Protected Areas System: Management Plans for Specially Protected Areas,Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Environmental Domains Analysis,0.978596283866592,1.6843858927033215,True,True,True,True,True,True,1.0,True
OV054,Measure 2 (1998),1998,Measure,"Antarctic Protected Areas System: Historic Sites and Monuments. South-West Coast of Elephant Island, South Shetland Islands",Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,False,True,Historic Sites and Monuments,Management Plans,Educational issues,0.5742361248025623,0.3857378295547975,False,True,True,True,True,True,1.0,True
OV055,Measure 1 (2001),2001,Measure,Antarctic Protected Area System Historic Sites And Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,False,True,Historic Sites and Monuments,Environmental Protection General,Area Protection and Management Plans General,0.995641438532886,2.992763836259998,True,True,True,True,True,True,1.0,True
OV056,Measure 2 (2001),2001,Measure,Antarctic Protected Area System Historic Sites And Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,False,True,Historic Sites and Monuments,Environmental Protection General,Area Protection and Management Plans General,0.995641438532886,2.992763836259998,True,True,True,True,True,True,1.0,True
OV057,Measure 3 (2001),2001,Measure,Antarctic Protected Areas System: Extension of Expiry Dates for Certain Sites of Special Scientific Interest,Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Area Protection and Management Plans General,Management Plans,Marine Protected Areas,0.6132761648241503,0.3142838110579298,False,True,False,True,True,True,0.6111111111111112,False
OV058,Measure 1 (2004),2004,Measure,ANTARCTIC SPECIALLY MANAGED AREAS: DESIGNATIONS AND MANAGEMENT PLANS,Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.8668093927904391,0.8244230586342076,True,True,True,True,True,True,1.0,False
OV059,Measure 1 (2006),2006,Measure,Antarctic Specially Protected Areas: Designations and Management Plans,Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Area Protection and Management Plans General,Management Plans,Marine Protected Areas,0.7277577595227359,0.4083558758608443,False,True,False,True,True,True,0.6111111111111112,False
OV060,Measure 1 (2007),2007,Measure,Antarctic Specially Protected Areas: Revised Management Plans,Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Area Protection and Management Plans General,Exchange of Information,0.9922727782321836,1.985296008338,True,True,True,True,True,True,1.0,False
OV061,Measure 3 (2007),2007,Measure,Antarctic Historic Sites and Monuments: Monument to the Antarctic Treaty,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,True,False,Historic Sites and Monuments,Educational issues,Environmental Monitoring and Reporting,0.9958412433522348,2.914272769142268,True,True,True,True,True,True,1.0,True
OV062,Measure 13 (2008),2008,Measure,"Antarctic Specially Protected Area No 160 (Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Area Protection and Management Plans General,Environmental Protection General,0.6579114471090007,0.3974967732015557,False,True,True,True,True,True,1.0,False
