validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
OS001,Decision 1 (2007),Area Protection and Management Plans General,,high,"The title concerns the status of measures across the area-protection and management system."
OS002,Decision 5 (2019),Multiyear strategic workplan,,high,"The title explicitly concerns the ATCM multi-year strategic work plan."
OS003,Decision 2 (2021),Operation of the Antarctic Treaty system The Secretariat,,high,"The title concerns staff regulations for the Treaty Secretariat."
OS004,Decision 5 (2025),Operation of the Antarctic Treaty system The Secretariat,,high,"The title concerns appointment of the Executive Secretary."
OS005,Decision 6 (2025),Liability,,high,"The title explicitly concerns liability arising from environmental emergencies."
OS006,Measure 1 (2005),Liability,,high,"The title explicitly concerns the Protocol annex on environmental-emergency liability."
OS007,Measure 3 (2006),Historic Sites and Monuments,,high,"The title identifies a named Antarctic Historic Site or Monument."
OS008,Measure 4 (2008),Management Plans,,medium,"The title identifies a specific numbered ASPA rather than the protected-area system generally."
OS009,Measure 4 (2011),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS010,Measure 4 (2012),INSUFFICIENT_TITLE,,high,"The title is truncated after naming an ASPA and does not state an action."
OS011,Measure 4 (2014),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS012,Measure 4 (2016),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS013,Measure 3 (2022),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS014,Measure 4 (2022),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS015,Measure 11 (2023),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS016,Measure 15 (2023),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS017,Measure 4 (2023),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS018,Measure 1 (2024),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS019,Measure 6 (2024),Management Plans,,high,"The title names an individual ASPA revised management plan."
OS020,Resolution 1 (2001),Operation of the Antarctic Treaty system General,,high,"The title concerns the status of superseded Treaty recommendations."
OS021,Resolution 1 (2004),Prevention of marine pollution,Marine living resources,high,"The title concerns preventing marine pollution caused by fishing activities."
OS022,Resolution 4 (2004),Emergency report and contingency planning,Tourism and NG_Activities,high,"The title concerns contingency planning for tourist and non-governmental activities."
OS023,Resolution 4 (2008),Inspections,Area Protection and Management Plans General,high,"The title is an inspection checklist specifically for ASPAs and ASMAs."
OS024,Resolution 1 (2010),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OS025,Resolution 3 (2010),Inspections,,high,"The title explicitly concerns a revised Antarctic inspection checklist."
OS026,Resolution 5 (2010),Cooperation with Other Organisations,,high,"The title concerns coordinating Antarctic proposals being considered by the IMO."
OS027,Resolution 6 (2010),Search and Rescue,,high,"The title explicitly concerns coordination of maritime search and rescue."
OS028,Resolution 6 (2011),Nonnative Species and Quarantine,,high,"The title explicitly concerns non-native species."
OS029,Resolution 7 (2012),Safety and Operations in Antarctica,,high,"The title explicitly concerns vessel safety in the Treaty area."
OS030,Resolution 8 (2012),Search and Rescue,,high,"The title explicitly concerns cross-domain search-and-rescue coordination."
OS031,Resolution 9 (2012),Tourism and NG_Activities,,medium,"The title concerns assessment of land-based expeditionary activities."
OS032,Resolution 1 (2013),Safety and Operations in Antarctica,,high,"The title explicitly concerns air safety in Antarctica."
OS033,Resolution 1 (2014),Operational issues,,medium,"The title concerns operational storage and handling of fuel."
OS034,Resolution 3 (2014),Safety and Operations in Antarctica,,medium,"The title supports the safety-oriented Polar Code."
OS035,Resolution 4 (2014),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OS036,Resolution 5 (2014),Operational issues,,high,"The title concerns cooperation in hydrographic surveying and charting."
OS037,Resolution 6 (2014),Tourism and NG_Activities,,high,"The title explicitly concerns risk assessment for tourism and non-governmental activities."
OS038,Resolution 1 (2015),Operational issues,,high,"The title concerns cooperative air-transport systems without an explicit safety focus."
OS039,Resolution 3 (2016),Environmental Protection General,,medium,"The title sets conduct rules for activity in terrestrial geothermal environments."
OS040,Resolution 1 (2017),Area Protection and Management Plans General,,high,"The title gives system-wide guidance for ASMA designations."
OS041,Resolution 2 (2018),Historic Sites and Monuments,,high,"The title concerns assessment and management guidelines for Antarctic heritage."
OS042,Resolution 1 (2019),Repair and remediation of environmental damage,,high,"The title concerns a revised Antarctic clean-up manual."
OS043,Resolution 5 (2019),Prevention of marine pollution,Waste management and disposal,high,"The title concerns reducing plastic pollution in Antarctica and the Southern Ocean."
OS044,Resolution 2 (2021),Area Protection and Management Plans General,Historic Sites and Monuments,high,"The title gives general proposal guidance spanning protected areas and historic sites."
OS045,Resolution 6 (2022),Site Guidelines for Visitors,,high,"The title concerns a standard post-visit report form."
OS046,Resolution 1 (2024),Area Protection and Management Plans General,,high,"The title gives general guidance for preparing ASPA management plans."
