validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
"OS001","Decision 1 (2007)","Area Protection and Management Plans General","","high","The title concerns review of measures governing area protection and management."
"OS002","Decision 5 (2019)","Multiyear strategic workplan","","high","The title explicitly names the ATCM multi-year strategic work plan."
"OS003","Decision 2 (2021)","Operation of the Antarctic Treaty system The Secretariat","","high","The title concerns staff regulations for the Treaty Secretariat."
"OS004","Decision 5 (2025)","Operation of the Antarctic Treaty system The Secretariat","","medium","The title concerns appointment of the Executive Secretary."
"OS005","Decision 6 (2025)","Liability","","high","The title explicitly concerns environmental-emergency liability."
"OS006","Measure 1 (2005)","Liability","","high","The title explicitly concerns the Protocol annex on environmental-emergency liability."
"OS007","Measure 3 (2006)","Historic Sites and Monuments","","high","The title names an Antarctic historic site or monument."
"OS008","Measure 4 (2008)","Management Plans","","medium","The title identifies an individual numbered ASPA."
"OS009","Measure 4 (2011)","Management Plans","","high","The title names an ASPA revised management plan."
"OS010","Measure 4 (2012)","INSUFFICIENT_TITLE","","high","The title is truncated before stating the action for the named ASPA."
"OS011","Measure 4 (2014)","Management Plans","","high","The title names an ASPA revised management plan."
"OS012","Measure 4 (2016)","Management Plans","","high","The title names an ASPA revised management plan."
"OS013","Measure 3 (2022)","Management Plans","","high","The title names an ASPA revised management plan."
"OS014","Measure 4 (2022)","Management Plans","","high","The title names an ASPA revised management plan."
"OS015","Measure 11 (2023)","Management Plans","","high","The title names an ASPA revised management plan."
"OS016","Measure 15 (2023)","Management Plans","","high","The title names an ASPA revised management plan."
"OS017","Measure 4 (2023)","Management Plans","","high","The title names an ASPA revised management plan."
"OS018","Measure 1 (2024)","Management Plans","","high","The title names an ASPA revised management plan."
"OS019","Measure 6 (2024)","Management Plans","","high","The title names an ASPA revised management plan."
"OS020","Resolution 1 (2001)","Operation of the Antarctic Treaty system General","","high","The title concerns the status of superseded recommendations."
"OS021","Resolution 1 (2004)","Prevention of marine pollution","Marine living resources","high","The title concerns preventing marine pollution caused by fishing activities."
"OS022","Resolution 4 (2004)","Emergency report and contingency planning","Tourism and NG_Activities","high","The title concerns contingency planning for tourism and nongovernmental activities."
"OS023","Resolution 4 (2008)","Inspections","Area Protection and Management Plans General","high","The title concerns an inspection checklist for ASPAs and ASMAs."
"OS024","Resolution 1 (2010)","Site Guidelines for Visitors","","high","The title explicitly concerns visitor site guidelines."
"OS025","Resolution 3 (2010)","Inspections","","high","The title explicitly concerns an Antarctic inspection checklist."
"OS026","Resolution 5 (2010)","Cooperation with Other Organisations","","high","The title concerns coordinating Antarctic proposals under consideration by the IMO."
"OS027","Resolution 6 (2010)","Search and Rescue","","high","The title explicitly concerns coordination of maritime search and rescue."
"OS028","Resolution 6 (2011)","Nonnative Species and Quarantine","","high","The title explicitly concerns non-native species."
"OS029","Resolution 7 (2012)","Safety and Operations in Antarctica","","high","The title explicitly concerns vessel safety in Antarctica."
"OS030","Resolution 8 (2012)","Search and Rescue","","high","The title explicitly concerns coordination of search and rescue."
"OS031","Resolution 9 (2012)","Tourism and NG_Activities","","medium","The title concerns assessment of land-based expeditionary activities."
"OS032","Resolution 1 (2013)","Safety and Operations in Antarctica","","high","The title explicitly concerns air safety in Antarctica."
"OS033","Resolution 1 (2014)","Operational issues","","medium","The title concerns operational fuel storage and handling."
"OS034","Resolution 3 (2014)","Cooperation with Other Organisations","","medium","The title supports an external polar regulatory code."
"OS035","Resolution 4 (2014)","Site Guidelines for Visitors","","high","The title explicitly concerns visitor site guidelines."
"OS036","Resolution 5 (2014)","Operational issues","","high","The title concerns cooperation in hydrographic surveying and charting."
"OS037","Resolution 6 (2014)","Tourism and NG_Activities","","high","The title explicitly concerns risk assessment for tourism and nongovernmental activities."
"OS038","Resolution 1 (2015)","Operational issues","","high","The title concerns cooperative air transport systems."
"OS039","Resolution 3 (2016)","Environmental Protection General","","high","The title concerns conduct for activities in terrestrial geothermal environments."
"OS040","Resolution 1 (2017)","Area Protection and Management Plans General","","high","The title concerns general guidance for ASMA designations."
"OS041","Resolution 2 (2018)","Historic Sites and Monuments","","high","The title concerns assessment and management of Antarctic heritage."
"OS042","Resolution 1 (2019)","Repair and remediation of environmental damage","","high","The title explicitly concerns an Antarctic clean-up manual."
"OS043","Resolution 5 (2019)","Prevention of marine pollution","","medium","The title concerns reducing plastic pollution including in the Southern Ocean."
"OS044","Resolution 2 (2021)","Area Protection and Management Plans General","Historic Sites and Monuments","high","The title gives proposal guidance spanning protected areas and historic sites."
"OS045","Resolution 6 (2022)","Site Guidelines for Visitors","","high","The title concerns the standard post-visit report form."
"OS046","Resolution 1 (2024)","Area Protection and Management Plans General","","high","The title concerns general guidance for preparing ASPA management plans."
