validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
OS001,"Decision 1 (2007)","Area Protection and Management Plans General",,high,"Title concerns review of system-wide area-protection and management measures."
OS002,"Decision 5 (2019)","Multiyear strategic workplan",,high,"Title explicitly names the ATCM multi-year strategic work plan."
OS003,"Decision 2 (2021)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns Secretariat staff regulations."
OS004,"Decision 5 (2025)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns appointment of the Executive Secretary."
OS005,"Decision 6 (2025)",Liability,,high,"Title explicitly concerns liability arising from environmental emergencies."
OS006,"Measure 1 (2005)",Liability,,high,"Title explicitly concerns the Protocol annex on environmental-emergency liability."
OS007,"Measure 3 (2006)","Historic Sites and Monuments",,high,"Title names an Antarctic historic site or monument."
OS008,"Measure 4 (2008)","Management Plans",,medium,"Title identifies an individual numbered ASPA and its named location."
OS009,"Measure 4 (2011)","Management Plans",,high,"Title revises the management plan for named ASPA 126."
OS010,"Measure 4 (2012)",INSUFFICIENT_TITLE,,high,"Visible ASPA title is truncated before stating the action."
OS011,"Measure 4 (2014)","Management Plans",,high,"Title revises the management plan for named ASPA 128."
OS012,"Measure 4 (2016)","Management Plans",,high,"Title revises the management plan for named ASPA 126."
OS013,"Measure 3 (2022)","Management Plans",,high,"Title revises the management plan for named ASPA 110."
OS014,"Measure 4 (2022)","Management Plans",,high,"Title revises the management plan for named ASPA 111."
OS015,"Measure 11 (2023)","Management Plans",,high,"Title revises the management plan for named ASPA 147."
OS016,"Measure 15 (2023)","Management Plans",,high,"Title revises the management plan for named ASPA 168."
OS017,"Measure 4 (2023)","Management Plans",,high,"Title revises the management plan for named ASPA 122."
OS018,"Measure 1 (2024)","Management Plans",,high,"Title revises the management plan for named ASPA 116."
OS019,"Measure 6 (2024)","Management Plans",,high,"Title revises the management plan for named ASPA 141."
OS020,"Resolution 1 (2001)","Operation of the Antarctic Treaty system General",,high,"Title concerns the status of superseded Treaty recommendations."
OS021,"Resolution 1 (2004)","Prevention of marine pollution",,high,"Title explicitly concerns preventing marine pollution from fishing."
OS022,"Resolution 4 (2004)","Emergency report and contingency planning","Tourism and NG_Activities",high,"Title governs contingency planning for tourist and non-governmental activities."
OS023,"Resolution 4 (2008)",Inspections,"Area Protection and Management Plans General",high,"Title provides an inspection checklist specifically for ASPAs and ASMAs."
OS024,"Resolution 1 (2010)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OS025,"Resolution 3 (2010)",Inspections,,high,"Title explicitly concerns an Antarctic inspection checklist."
OS026,"Resolution 5 (2010)","Cooperation with Other Organisations",,high,"Title concerns coordination on Antarctic proposals before the IMO."
OS027,"Resolution 6 (2010)","Search and Rescue",,high,"Title explicitly concerns coordination of maritime search and rescue."
OS028,"Resolution 6 (2011)","Nonnative Species and Quarantine",,high,"Title explicitly concerns non-native species."
OS029,"Resolution 7 (2012)","Safety and Operations in Antarctica",,high,"Title explicitly concerns vessel safety in the Treaty area."
OS030,"Resolution 8 (2012)","Search and Rescue",,high,"Title explicitly concerns coordinated maritime aeronautical and land-based SAR."
OS031,"Resolution 9 (2012)","Tourism and NG_Activities",,medium,"Title concerns assessment of land-based expeditionary activities."
OS032,"Resolution 1 (2013)","Safety and Operations in Antarctica",,high,"Title explicitly concerns air safety in Antarctica."
OS033,"Resolution 1 (2014)","Operational issues",,medium,"Title concerns the operational handling and storage of fuel."
OS034,"Resolution 3 (2014)","Institutional and legal matters",,medium,"Title supports a named regulatory code without stating a narrower concern."
OS035,"Resolution 4 (2014)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OS036,"Resolution 5 (2014)","Operational issues",,high,"Title concerns cooperation in hydrographic surveying and charting."
OS037,"Resolution 6 (2014)","Tourism and NG_Activities",,high,"Title explicitly assesses risks from tourism and non-governmental activities."
OS038,"Resolution 1 (2015)","Operational issues",,high,"Title concerns cooperative air-transport systems."
OS039,"Resolution 3 (2016)","Environmental Protection General",,medium,"Title sets conduct for activity in a distinct Antarctic environment."
OS040,"Resolution 1 (2017)","Area Protection and Management Plans General",,high,"Title provides general guidance for ASMA designations."
OS041,"Resolution 2 (2018)","Historic Sites and Monuments",,high,"Title concerns assessment and management of Antarctic heritage."
OS042,"Resolution 1 (2019)","Repair and remediation of environmental damage",,medium,"Title explicitly concerns an Antarctic clean-up manual."
OS043,"Resolution 5 (2019)","Prevention of marine pollution","Waste management and disposal",high,"Title concerns reducing plastic pollution including in the Southern Ocean."
OS044,"Resolution 2 (2021)","Area Protection and Management Plans General","Historic Sites and Monuments",high,"Title gives proposal guidance spanning protected areas and historic sites."
OS045,"Resolution 6 (2022)","Site Guidelines for Visitors",,high,"Title revises the standard post-visit reporting form."
OS046,"Resolution 1 (2024)","Area Protection and Management Plans General",,high,"Title gives general guidance for preparing ASPA management plans."
