validation_id,outcome_id,year,instrument,title,primary_a,secondary_a,confidence_a,rationale_a,primary_b,secondary_b,confidence_b,rationale_b,primary_c,secondary_c,confidence_c,rationale_c,n_distinct_primary,unanimous_primary,majority_primary,majority_count
OS001,Decision 1 (2007),2007,Decision,Review of the Status of Measures Relating to Area Protection and Management,Area Protection and Management Plans General,,high,The title concerns the status of measures across the area-protection and management system.,Area Protection and Management Plans General,,high,The title concerns review of measures governing area protection and management.,Area Protection and Management Plans General,,high,Title concerns review of system-wide area-protection and management measures.,1,True,Area Protection and Management Plans General,3
OS002,Decision 5 (2019),2019,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,The title explicitly concerns the ATCM multi-year strategic work plan.,Multiyear strategic workplan,,high,The title explicitly names the ATCM multi-year strategic work plan.,Multiyear strategic workplan,,high,Title explicitly names the ATCM multi-year strategic work plan.,1,True,Multiyear strategic workplan,3
OS003,Decision 2 (2021),2021,Decision,Staff Regulations for the Secretariat of the Antarctic Treaty,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns staff regulations for the Treaty Secretariat.,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns staff regulations for the Treaty Secretariat.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns Secretariat staff regulations.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OS004,Decision 5 (2025),2025,Decision,Appointment of the Executive Secretary,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns appointment of the Executive Secretary.,Operation of the Antarctic Treaty system The Secretariat,,medium,The title concerns appointment of the Executive Secretary.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns appointment of the Executive Secretary.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OS005,Decision 6 (2025),2025,Decision,Liability arising from environmental emergencies,Liability,,high,The title explicitly concerns liability arising from environmental emergencies.,Liability,,high,The title explicitly concerns environmental-emergency liability.,Liability,,high,Title explicitly concerns liability arising from environmental emergencies.,1,True,Liability,3
OS006,Measure 1 (2005),2005,Measure,Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty: Liability Arising From Environmental Emergencies,Liability,,high,The title explicitly concerns the Protocol annex on environmental-emergency liability.,Liability,,high,The title explicitly concerns the Protocol annex on environmental-emergency liability.,Liability,,high,Title explicitly concerns the Protocol annex on environmental-emergency liability.,1,True,Liability,3
OS007,Measure 3 (2006),2006,Measure,Antarctic Historic Sites and Monuments: Rocher du Débarquement,Historic Sites and Monuments,,high,The title identifies a named Antarctic Historic Site or Monument.,Historic Sites and Monuments,,high,The title names an Antarctic historic site or monument.,Historic Sites and Monuments,,high,Title names an Antarctic historic site or monument.,1,True,Historic Sites and Monuments,3
OS008,Measure 4 (2008),2008,Measure,"Antarctic Specially Protected Area No 170: Marion Nunataks, Charcot Island, Antarctic Peninsula",Management Plans,,medium,The title identifies a specific numbered ASPA rather than the protected-area system generally.,Management Plans,,medium,The title identifies an individual numbered ASPA.,Management Plans,,medium,Title identifies an individual numbered ASPA and its named location.,1,True,Management Plans,3
OS009,Measure 4 (2011),2011,Measure,"ASPA 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 126.,1,True,Management Plans,3
OS010,Measure 4 (2012),2012,Measure,"ASPA No 112 (Coppermine Peninsula, Robert Island,",INSUFFICIENT_TITLE,,high,The title is truncated after naming an ASPA and does not state an action.,INSUFFICIENT_TITLE,,high,The title is truncated before stating the action for the named ASPA.,INSUFFICIENT_TITLE,,high,Visible ASPA title is truncated before stating the action.,1,True,INSUFFICIENT_TITLE,3
