validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source
OS001,Decision 1 (2007),2007,Decision,Review of the Status of Measures Relating to Area Protection and Management,Area Protection and Management Plans General,,high,three_coder_unanimous
OS002,Decision 5 (2019),2019,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,three_coder_unanimous
OS003,Decision 2 (2021),2021,Decision,Staff Regulations for the Secretariat of the Antarctic Treaty,Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OS004,Decision 5 (2025),2025,Decision,Appointment of the Executive Secretary,Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous
OS005,Decision 6 (2025),2025,Decision,Liability arising from environmental emergencies,Liability,,high,three_coder_unanimous
OS006,Measure 1 (2005),2005,Measure,Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty: Liability Arising From Environmental Emergencies,Liability,,high,three_coder_unanimous
OS007,Measure 3 (2006),2006,Measure,Antarctic Historic Sites and Monuments: Rocher du Débarquement,Historic Sites and Monuments,,high,three_coder_unanimous
OS008,Measure 4 (2008),2008,Measure,"Antarctic Specially Protected Area No 170: Marion Nunataks, Charcot Island, Antarctic Peninsula",Management Plans,,medium,three_coder_unanimous
OS009,Measure 4 (2011),2011,Measure,"ASPA 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS010,Measure 4 (2012),2012,Measure,"ASPA No 112 (Coppermine Peninsula, Robert Island,",INSUFFICIENT_TITLE,,high,three_coder_unanimous
OS011,Measure 4 (2014),2014,Measure,"Antarctic Specially Protected Area No 128 (Western shores of Admiralty Bay, King George Island, South Shetland Islands): Revised Management Plan.",Management Plans,,high,three_coder_unanimous
OS012,Measure 4 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan.",Management Plans,,high,three_coder_unanimous
OS013,Measure 3 (2022),2022,Measure,"Antarctic Specially Protected Area No 110 (Lynch Island, South Orkney Islands): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS014,Measure 4 (2022),2022,Measure,"Antarctic Specially Protected Area No 111 (Southern Powell Island and adjacent islands, South Orkney Islands): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS015,Measure 11 (2023),2023,Measure,"Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS016,Measure 15 (2023),2023,Measure,"Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS017,Measure 4 (2023),2023,Measure,"Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS018,Measure 1 (2024),2024,Measure,"Antarctic Specially Protected Area No 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS019,Measure 6 (2024),2024,Measure,"Antarctic Specially Protected Area No 141 (Yukidori Valley, Langhovde, Lützow-Holm Bay): Revised Management Plan",Management Plans,,high,three_coder_unanimous
OS020,Resolution 1 (2001),2001,Resolution,Decision on superseded recommendations,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OS021,Resolution 1 (2004),2004,Resolution,ENHANCING PREVENTION OF MARINE POLLUTION BY FISHING ACTIVITIES,Prevention of marine pollution,,high,three_coder_unanimous
