validation_id,outcome_id,in_adoption_95,in_discussion_85,in_lineage_union_157
OS001,Decision 1 (2007),False,True,True
OS002,Decision 5 (2019),False,True,True
OS003,Decision 2 (2021),False,True,True
OS004,Decision 5 (2025),False,True,True
OS005,Decision 6 (2025),False,True,True
OS006,Measure 1 (2005),False,True,True
OS007,Measure 3 (2006),False,True,True
OS008,Measure 4 (2008),False,True,True
OS009,Measure 4 (2011),False,True,True
OS010,Measure 4 (2012),False,True,True
OS011,Measure 4 (2014),False,True,True
OS012,Measure 4 (2016),False,True,True
OS013,Measure 3 (2022),False,True,True
OS014,Measure 4 (2022),False,True,True
OS015,Measure 11 (2023),False,True,True
OS016,Measure 15 (2023),False,True,True
OS017,Measure 4 (2023),False,True,True
OS018,Measure 1 (2024),False,True,True
OS019,Measure 6 (2024),False,True,True
OS020,Resolution 1 (2001),False,True,True
OS021,Resolution 1 (2004),False,True,True
OS022,Resolution 4 (2004),False,True,True
OS023,Resolution 4 (2008),False,True,True
OS024,Resolution 1 (2010),False,True,True
OS025,Resolution 3 (2010),False,True,True
OS026,Resolution 5 (2010),False,True,True
OS027,Resolution 6 (2010),False,True,True
OS028,Resolution 6 (2011),False,True,True
OS029,Resolution 7 (2012),False,True,True
OS030,Resolution 8 (2012),False,True,True
OS031,Resolution 9 (2012),False,True,True
OS032,Resolution 1 (2013),False,True,True
OS033,Resolution 1 (2014),False,True,True
OS034,Resolution 3 (2014),False,True,True
OS035,Resolution 4 (2014),False,True,True
OS036,Resolution 5 (2014),False,True,True
OS037,Resolution 6 (2014),False,True,True
OS038,Resolution 1 (2015),False,True,True
OS039,Resolution 3 (2016),False,True,True
OS040,Resolution 1 (2017),False,True,True
OS041,Resolution 2 (2018),False,True,True
OS042,Resolution 1 (2019),False,True,True
OS043,Resolution 5 (2019),False,True,True
OS044,Resolution 2 (2021),False,True,True
OS045,Resolution 6 (2022),False,True,True
OS046,Resolution 1 (2024),False,True,True
