validation_id,outcome_id,consensus_primary,consensus_secondary,consensus_confidence,consensus_source
OV001,Decision 1 (1997),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV002,Decision 3 (1998),Liability,,high,three_coder_unanimous
OV003,Decision 1 (1999),Operation of the CEP,,medium,three_coder_unanimous
OV004,Decision 1 (2000),Operation of the CEP,,high,three_coder_unanimous
OV005,Decision 2 (2001),Operation of the CEP,,high,three_coder_unanimous
OV006,Decision 3 (2001),Liability,,high,three_coder_unanimous
OV007,Decision 1 (2002),Area Protection and Management Plans General,,high,three_coder_unanimous
OV008,Decision 2 (2002),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV009,Decision 4 (2003),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV010,Decision 1 (2004),Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous
OV011,Decision 1 (2005),Liability,,high,three_coder_unanimous
OV012,Decision 10 (2005),Exchange of Information,,high,three_coder_unanimous
OV013,Decision 2 (2005),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV014,Decision 3 (2005),Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous
OV015,Decision 4 (2005),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV016,Decision 5 (2005),Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous
OV017,Decision 9 (2005),Marine Protected Areas,Cooperation with Other Organisations,high,three_coder_unanimous
OV018,Decision 3 (2007),Operation of the Antarctic Treaty system The Secretariat,,medium,three_coder_unanimous
OV019,Decision 1 (2008),Operation of the Antarctic Treaty system General,,medium,three_coder_unanimous
OV020,Decision 2 (2008),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV021,Decision 4 (2008),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV022,Decision 5 (2008),Exchange of Information,,high,three_coder_unanimous
OV023,Decision 5 (2009),INSUFFICIENT_TITLE,,high,three_coder_unanimous
OV024,Decision 6 (2009),INSUFFICIENT_TITLE,,high,three_coder_unanimous
OV025,Decision 1 (2010),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV026,Decision 2 (2010),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV027,Decision 3 (2010),INSUFFICIENT_TITLE,,high,three_coder_unanimous
OV028,Decision 4 (2010),Liability,,high,three_coder_unanimous
OV029,Decision 5 (2010),Cooperation with Other Organisations,,high,three_coder_unanimous
OV030,Decision 1 (2011),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV031,Decision 2 (2011),Operation of the Antarctic Treaty system General,Operation of the CEP,high,three_coder_unanimous
OV032,Decision 4 (2012),Exchange of Information,,high,three_coder_unanimous
OV033,Decision 1 (2013),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV034,Decision 3 (2013),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV035,Decision 4 (2013),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV036,Decision 3 (2014),Multiyear strategic workplan,,high,three_coder_unanimous
OV037,Decision 1 (2015),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV038,Decision 4 (2015),Multiyear strategic workplan,,high,three_coder_unanimous
OV039,Decision 2 (2017),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV040,Decision 4 (2017),Operation of the Antarctic Treaty system General,,high,three_coder_unanimous
OV041,Decision 1 (2018),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV042,Decision 1 (2019),Historic Sites and Monuments,,high,three_coder_unanimous
OV043,Decision 3 (2019),Operation of the Antarctic Treaty system The Secretariat,,high,three_coder_unanimous
OV044,Decision 6 (2019),Tourism and NG_Activities,,high,three_coder_unanimous
OV045,Decision 1 (2021),Historic Sites and Monuments,,high,three_coder_unanimous
OV046,Decision 5 (2021),Multiyear strategic workplan,,high,three_coder_unanimous
OV047,Decision 2 (2022),Liability,,high,three_coder_unanimous
OV048,Decision 5 (2023),Multiyear strategic workplan,,high,three_coder_unanimous
OV049,Measure 1 (1997),Management Plans,,high,three_coder_unanimous
OV050,Measure 2 (1997),Management Plans,,high,three_coder_unanimous
OV051,Measure 3 (1997),Management Plans,,high,three_coder_unanimous
OV052,Measure 5 (1997),Historic Sites and Monuments,,high,three_coder_unanimous
OV053,Measure 1 (1998),Management Plans,,high,three_coder_unanimous
OV054,Measure 2 (1998),Historic Sites and Monuments,,high,three_coder_unanimous
OV055,Measure 1 (2001),Historic Sites and Monuments,,high,three_coder_unanimous
OV056,Measure 2 (2001),Historic Sites and Monuments,,high,three_coder_unanimous
OV057,Measure 3 (2001),Management Plans,,high,three_coder_unanimous
OV058,Measure 1 (2004),Management Plans,,high,three_coder_unanimous
OV059,Measure 1 (2006),Management Plans,,high,three_coder_unanimous
OV060,Measure 1 (2007),Management Plans,,high,three_coder_unanimous
OV061,Measure 3 (2007),Historic Sites and Monuments,,high,three_coder_unanimous
OV062,Measure 13 (2008),Management Plans,,high,three_coder_unanimous
OV063,Measure 13 (2009),Management Plans,,high,three_coder_unanimous
OV064,Measure 14 (2009),Historic Sites and Monuments,,high,three_coder_unanimous
OV065,Measure 15 (2009),Tourism and NG_Activities,,high,three_coder_unanimous
OV067,Measure 11 (2010),Management Plans,,high,three_coder_unanimous
OV068,Measure 15 (2010),Historic Sites and Monuments,,high,three_coder_unanimous
OV069,Measure 2 (2010),Management Plans,,high,three_coder_unanimous
OV070,Measure 4 (2010),INSUFFICIENT_TITLE,,high,three_coder_unanimous
OV071,Measure 6 (2010),INSUFFICIENT_TITLE,,high,three_coder_unanimous
OV072,Measure 3 (2011),Management Plans,,high,three_coder_unanimous
OV073,Measure 1 (2012),INSUFFICIENT_TITLE,,high,three_coder_unanimous
OV075,Measure 1 (2013),Management Plans,,high,three_coder_unanimous
OV076,Measure 13 (2013),Management Plans,,high,three_coder_unanimous
OV077,Measure 15 (2013),Management Plans,,high,three_coder_unanimous
OV078,Measure 4 (2013),Management Plans,,high,three_coder_unanimous
OV079,Measure 6 (2013),Management Plans,,high,three_coder_unanimous
OV080,Measure 9 (2013),Management Plans,,high,three_coder_unanimous
OV081,Measure 14 (2014),Management Plans,,high,three_coder_unanimous
