analysis,specification,term,estimate,ci_low,ci_high,outcome_bootstrap_ci_low,outcome_bootstrap_ci_high,coefficient,se,p_value,predictor_sd,n_groups,n_rows,scale
conditional_logit,exact_nearby_and_title,same_concern_mass,1.6509602582247036,1.419824757449517,1.91972266995372,,,0.501357093312538,0.07695083651115238,7.254886808908449e-11,0.2147280234095561,89,15189,odds ratio per one-SD increase
conditional_logit,exact_nearby_and_title,related_concern_proximity,1.2602956916965082,0.9811133949843316,1.6189211549131342,,,0.23134636938090294,0.12776204298998142,0.0701780440434886,0.14228170565134057,89,15189,odds ratio per one-SD increase
conditional_logit,exact_nearby_and_title,title_overlap,1.2369754376324418,1.1653232193086123,1.313033335261084,,,0.2126692368125969,0.030444258575550862,2.837855858169036e-12,0.06061676768408398,89,15189,odds ratio per one-SD increase
conditional_logit,recommended_add_paper_type,same_concern_mass,1.499954039824452,1.2846824612529386,1.7512982308417477,1.2751412237734074,1.8132542346229497,0.40543446752171436,0.07904229162097781,2.9076604275735687e-07,0.2147280234095561,89,15189,odds ratio per one-SD increase
conditional_logit,recommended_add_paper_type,related_concern_proximity,1.1444732777291586,0.8893041016341747,1.4728584755532057,0.8626375071586915,1.4602278632573713,0.13494451171427835,0.1287043582123243,0.29441548627372427,0.14228170565134057,89,15189,odds ratio per one-SD increase
conditional_logit,recommended_add_paper_type,title_overlap,1.1797232322912017,1.1086680613485669,1.2553323698300654,1.106014421167402,1.2597268724042077,0.16527986206091566,0.03169413876418966,1.8397598074475153e-07,0.06061676768408398,89,15189,odds ratio per one-SD increase
conditional_logit,recommended_add_paper_type,working_paper,2.1765818687554264,1.779339332584317,2.6625099241267796,1.7562335685717718,2.7524580727472077,0.7777556961685997,0.10281304195487632,3.88589835228726e-14,0.45646318453880047,89,15189,odds ratio per one-SD increase
conditional_logit,add_paper_type_and_hubness,same_concern_mass,1.4818115095382023,1.2667373088753835,1.7334022882370923,,,0.3932653322385783,0.08001060487993335,8.870767362499765e-07,0.2147280234095561,89,15189,odds ratio per one-SD increase
conditional_logit,add_paper_type_and_hubness,related_concern_proximity,1.0428417128196557,0.7760652766528696,1.4013239230172065,,,0.04194940306321372,0.15074900306221545,0.7808026697344261,0.14228170565134057,89,15189,odds ratio per one-SD increase
conditional_logit,add_paper_type_and_hubness,title_overlap,1.1810413323918836,1.1098858535938108,1.2567586336031251,,,0.16639653439442026,0.03170375457050409,1.5335895509454152e-07,0.06061676768408398,89,15189,odds ratio per one-SD increase
conditional_logit,add_paper_type_and_hubness,working_paper,2.1783284156903004,1.780965160483348,2.664350090552028,,,0.7785578008800341,0.10275630537563664,3.543461167317432e-14,0.45646318453880047,89,15189,odds ratio per one-SD increase
conditional_logit,add_paper_type_and_hubness,paper_concern_hubness,1.154521439393676,0.9110019498468312,1.463136005629573,,,0.14368591992467855,0.12086538842466363,0.23451464554112722,0.08480639926313542,89,15189,odds ratio per one-SD increase
conditional_logit,known_lineage_controls,same_concern_mass,1.6196651100599972,1.1820267362373618,2.2193364907262785,,,0.4822194056891297,0.16070860585249302,0.002694638824923476,0.32579380546221015,86,729,odds ratio per one-SD increase
conditional_logit,known_lineage_controls,related_concern_proximity,0.9174076907285794,0.6550700578911027,1.2848043669061373,,,-0.08620331367502444,0.17184172284650753,0.615918190211429,0.15657187846133205,86,729,odds ratio per one-SD increase
conditional_logit,known_lineage_controls,title_overlap,1.435145954619049,1.1392075719732846,1.8079619217170388,,,0.3612665545753412,0.1178232888651248,0.002168180248366243,0.12294013945802806,86,729,odds ratio per one-SD increase
conditional_logit,known_lineage_controls,working_paper,1.2511375426349223,0.9814179101109648,1.5949832731436142,,,0.22405317159215601,0.12388269261855464,0.07051450665778165,0.4806189735195534,86,729,odds ratio per one-SD increase
conditional_logit,nonexact_candidates_only,related_concern_proximity,1.0069139705663106,0.7804229052167766,1.299136323837126,,,0.006890178673161393,0.1300048462888389,0.9577323868601608,0.13391278611677707,64,10792,odds ratio per one-SD increase
conditional_logit,nonexact_candidates_only,title_overlap,1.1258177639293405,1.0398750549939622,1.218863392762335,,,0.11850967286213808,0.04051485018115236,0.0034435416370056735,0.04167335894088379,64,10792,odds ratio per one-SD increase
conditional_logit,nonexact_candidates_only,working_paper,2.1547096456304917,1.7312807829177121,2.6816988340554753,,,0.7676559792718395,0.11162985088250536,6.121264151785454e-12,0.45018209387773117,64,10792,odds ratio per one-SD increase
conditional_logit,high_consensus_confidence,same_concern_mass,1.5095466016098233,1.2762206829652867,1.7855304908059924,,,0.411809341904068,0.08566644025667006,1.5311576755041599e-06,0.21735934348488056,80,13597,odds ratio per one-SD increase
conditional_logit,high_consensus_confidence,related_concern_proximity,1.2174659639776069,0.935155455138473,1.5850021141398822,,,0.1967716199186309,0.13459904145506146,0.14376600619508811,0.14294011035233534,80,13597,odds ratio per one-SD increase
