analysis,specification,term,estimate,ci_low,ci_high,n_groups,n_rows,scale
outcome_balanced_rank,all_same_meeting_papers,expected_proximity,0.6601784743578887,0.6006174301216486,0.721147471882349,89,26392,probability linked paper ranks closer
outcome_balanced_rank,same_paper_type_controls,expected_proximity,0.6338207930446813,0.5731154307505105,0.6970517001000123,89,26392,probability linked paper ranks closer
outcome_balanced_rank,all_same_meeting_papers,same_concern_mass,0.6387607723572429,0.5948212542896525,0.6875060289595509,89,26392,probability linked paper ranks closer
outcome_balanced_rank,same_paper_type_controls,same_concern_mass,0.6352052766482178,0.5923262944234636,0.6823514665998075,89,26392,probability linked paper ranks closer
outcome_balanced_rank,all_same_meeting_papers,related_concern_proximity,0.3952609902067446,0.3335059968832053,0.45831387576729415,89,26392,probability linked paper ranks closer
outcome_balanced_rank,same_paper_type_controls,related_concern_proximity,0.37931584912934224,0.3215767592045456,0.4392059243206214,89,26392,probability linked paper ranks closer
outcome_balanced_rank,nonexact_candidates_only,related_concern_proximity,0.5353162578027875,0.46699953017519324,0.6019665327587252,64,25282,probability linked paper ranks closer
outcome_balanced_rank,nonexact_same_paper_type_controls,related_concern_proximity,0.5009302699075576,0.43236366430251216,0.5673862406102573,64,25282,probability linked paper ranks closer
outcome_balanced_rank,discussion_same_paper_type_controls,expected_proximity,0.47454871408885846,0.4162850628584834,0.5331686580634741,79,26392,probability linked paper ranks closer
outcome_balanced_rank,papers_known_to_enter_any_lineage,expected_proximity,0.6144437388623435,0.5422531158414153,0.6829692972698059,86,1243,probability linked paper ranks closer
outcome_balanced_rank,papers_known_to_enter_any_lineage,same_concern_mass,0.6308613866753401,0.5864254689109341,0.6759480821181402,86,1243,probability linked paper ranks closer
outcome_balanced_rank,papers_known_to_enter_any_lineage,related_concern_proximity,0.364639570162826,0.2997320344922089,0.43085521410921135,86,1243,probability linked paper ranks closer
outcome_balanced_rank,nonexact_papers_known_to_enter_any_lineage,related_concern_proximity,0.48171185978563036,0.3999477417125983,0.5609716639045533,61,1128,probability linked paper ranks closer
outcome_balanced_rank,adoption_versus_discussion_same_output,expected_proximity,0.6820175438596491,0.5087719298245613,0.8464912280701754,19,249,probability linked paper ranks closer
outcome_balanced_rank,adoption_versus_discussion_same_output,same_concern_mass,0.5482456140350876,0.45175438596491224,0.6491228070175439,19,249,probability linked paper ranks closer
outcome_balanced_rank,adoption_versus_discussion_same_output,related_concern_proximity,0.5855263157894736,0.42105263157894735,0.7412280701754386,19,249,probability linked paper ranks closer
