,prior_document_volume_percentile,strength_percentile,degree_percentile,closeness_percentile,betweenness_percentile,eigenvector_percentile,pagerank_percentile,clustering_percentile,ubiquity_percentile,holder_breadth_percentile,topic_complexity_percentile
prior_document_volume_percentile,1.0,0.3329598692010959,0.3880374609178486,0.2477613473379826,0.04279774485551546,0.35995920715911844,0.3261635386964124,0.2037621426676166,0.7678736219446097,-0.5993059657147956,0.2509320090237354
strength_percentile,0.3329598692010959,1.0,0.7185421098871402,0.9750077831276952,0.7117114762426081,0.9909122594217555,0.9978124132512476,0.8668914720644305,0.4176304324591694,0.20955798610425486,-0.13354714924713604
degree_percentile,0.3880374609178486,0.7185421098871402,1.0,0.6834564473801868,0.5306851842041491,0.6840572191193637,0.729822323551638,0.38305299425803346,0.4692335436861045,-0.011460536188813139,-0.0175271634375144
closeness_percentile,0.2477613473379826,0.9750077831276952,0.6834564473801868,1.0,0.717387133788852,0.9654429159531206,0.975684292319858,0.8724962668190425,0.3027306666838874,0.2976701494108953,-0.20906255246994135
betweenness_percentile,0.04279774485551546,0.7117114762426081,0.5306851842041491,0.717387133788852,1.0,0.6756800747158979,0.7224757633109762,0.5893780656148426,0.1522180861564931,0.393965624547775,-0.16016595091361036
eigenvector_percentile,0.35995920715911844,0.9909122594217555,0.6840572191193637,0.9654429159531206,0.6756800747158979,1.0,0.9859573436111111,0.8844204957590516,0.446468409042348,0.17105641819990933,-0.11135471953912728
pagerank_percentile,0.3261635386964124,0.9978124132512476,0.729822323551638,0.975684292319858,0.7224757633109762,0.9859573436111111,1.0,0.8555033290049515,0.4097561031175675,0.21885371226458677,-0.1366412556067724
clustering_percentile,0.2037621426676166,0.8668914720644305,0.38305299425803346,0.8724962668190425,0.5893780656148426,0.8844204957590516,0.8555033290049515,1.0,0.26670795330653524,0.2722035377160158,-0.19535091558736267
ubiquity_percentile,0.7678736219446097,0.4176304324591694,0.4692335436861045,0.3027306666838874,0.1522180861564931,0.446468409042348,0.4097561031175675,0.26670795330653524,1.0,-0.7038306581177769,0.5439893268743199
holder_breadth_percentile,-0.5993059657147956,0.20955798610425486,-0.011460536188813139,0.2976701494108953,0.393965624547775,0.17105641819990933,0.21885371226458677,0.2722035377160158,-0.7038306581177769,1.0,-0.6956069049251509
topic_complexity_percentile,0.2509320090237354,-0.13354714924713604,-0.0175271634375144,-0.20906255246994135,-0.16016595091361036,-0.11135471953912728,-0.1366412556067724,-0.19535091558736267,0.5439893268743199,-0.6956069049251509,1.0
