comparison,added_term,baseline_auc,augmented_auc,delta_auc,delta_ci_low,delta_ci_high,n_outputs,folds_grouped_by
add_neighbouring_concerns_to_content_baseline,related_concern_proximity,0.7999522034871025,0.791787795254268,-0.008164408232834456,-0.024230517154038088,0.0070311455150041885,89,meeting
add_to_content_baseline,strength_percentile,0.7999522034871025,0.795350818878869,-0.004601384608233594,-0.011738146248533761,0.0030981380909665033,89,meeting
add_to_full_baseline,strength_percentile,0.791787795254268,0.7901713033998291,-0.001616491854439127,-0.008281899342882947,0.005430240718641079,89,meeting
add_to_content_baseline,degree_percentile,0.7999522034871025,0.7831346617952678,-0.016817541691834727,-0.030562868327435218,-0.005790921621365369,89,meeting
add_to_full_baseline,degree_percentile,0.791787795254268,0.7857154047370458,-0.006072390517222249,-0.014250381227756136,0.0010227804845395689,89,meeting
add_to_content_baseline,closeness_percentile,0.7999522034871025,0.7906432946062427,-0.009308908880860065,-0.019404746319377605,0.0004734403599370514,89,meeting
add_to_full_baseline,closeness_percentile,0.791787795254268,0.7890653420607477,-0.00272245319352033,-0.01201051444437886,0.00610902929803123,89,meeting
add_to_content_baseline,betweenness_percentile,0.7999522034871025,0.7806253556788151,-0.019326847808287712,-0.03767352317650452,-0.0013434579233085608,89,meeting
add_to_full_baseline,betweenness_percentile,0.791787795254268,0.7672374380478082,-0.024550357206459993,-0.04657954408769839,-0.004941566958956401,89,meeting
add_to_content_baseline,eigenvector_percentile,0.7999522034871025,0.7969138600859444,-0.003038343401157934,-0.010892697201372077,0.005576833353865864,89,meeting
add_to_full_baseline,eigenvector_percentile,0.791787795254268,0.7905808849498068,-0.0012069103044614878,-0.009921391252910531,0.007856320539938524,89,meeting
add_to_content_baseline,pagerank_percentile,0.7999522034871025,0.7971548220805406,-0.0027973814065618626,-0.010755569777342683,0.0060202659228828555,89,meeting
add_to_full_baseline,pagerank_percentile,0.791787795254268,0.7904382680501714,-0.0013495272040968426,-0.007901849071340207,0.005597026010096726,89,meeting
add_to_content_baseline,clustering_percentile,0.7999522034871025,0.7925899619181357,-0.007362241568967014,-0.019407841903731075,0.004912573643968891,89,meeting
add_to_full_baseline,clustering_percentile,0.791787795254268,0.795227446919592,0.0034396516653239957,-0.009305359048379582,0.016529315579875588,89,meeting
add_to_content_baseline,ubiquity_percentile,0.7999522034871025,0.7714838209846296,-0.02846838250247276,-0.044565053208647856,-0.014340472117374744,89,meeting
add_to_full_baseline,ubiquity_percentile,0.791787795254268,0.7670647665566769,-0.024723028697591114,-0.04108000994076789,-0.009938006106685155,89,meeting
add_to_content_baseline,holder_breadth_percentile,0.7957227107141578,0.7747975209526095,-0.020925189761548342,-0.03870578261108917,-0.004732638754808971,89,meeting
add_to_full_baseline,holder_breadth_percentile,0.7818491838889072,0.76282366440611,-0.01902551948279711,-0.03757493214739497,-0.002818931662718749,89,meeting
add_to_content_baseline,topic_complexity_percentile,0.7956764392639483,0.7905662203757892,-0.005110218888159028,-0.020235853533424462,0.00932550556780901,89,meeting
add_to_full_baseline,topic_complexity_percentile,0.7818029124386975,0.7852252298252856,0.00342231738658811,-0.010052662641713063,0.016984083560124437,89,meeting
