specification,focal_term,coefficient,standard_error,odds_ratio,ci_low,ci_high,p_value,log_likelihood,n_terms,n_outputs,n_rows,scale,p_value_bh
not_popularity_adjusted,strength_percentile,-0.007362615011757066,0.11156229540981061,0.9926644226415119,0.7976983870921693,1.2352822469281877,0.9473813685542498,-480.3729890010126,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,strength_percentile,-0.0017397190142102855,0.1153456592350971,0.9982617934197168,0.7962697958020033,1.2514936689239193,0.9879662371019914,-480.35555263465335,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,degree_percentile,0.0675391508594842,0.11430423930143606,1.0698721451919906,0.8551339478436261,1.3385346353563592,0.5546063266169708,-480.203459924886,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,degree_percentile,0.08483517407686675,0.11992809960715284,1.0885376326909435,0.8605152844893867,1.376982139820455,0.47932810895506406,-480.11812855232387,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,closeness_percentile,-0.0003316616462700349,0.11170506420663659,0.9996683933473738,0.803101969441688,1.2443462159013918,0.9976310177157411,-480.3751441794748,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,closeness_percentile,0.00403700840913467,0.11367605942810924,1.0040451681041398,0.8035080557181415,1.2546317269865668,0.9716704663963391,-480.3550516734345,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,betweenness_percentile,-0.1095346539219384,0.10388749698403461,0.8962511052081142,0.7311372005369652,1.0986529518629715,0.2917188657328861,-479.8172733974148,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,betweenness_percentile,-0.10925369136647123,0.10410790839658553,0.8965029535872991,0.7310267751260205,1.0994365365785672,0.29398145407694865,-479.80906158111503,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,eigenvector_percentile,-0.025512518875397225,0.11027838130447404,0.9748101753622322,0.7853245978417164,1.2100154262343272,0.8170456151496925,-480.3486089942987,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,eigenvector_percentile,-0.02083601694455159,0.11494593926506314,0.979379553053758,0.781820536372597,1.2268599561097415,0.8561572466222342,-480.33910273973817,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,pagerank_percentile,-0.009541836484414555,0.11201722883695361,0.9905035423900397,0.7952524997514575,1.2336927803356068,0.9321168076661521,-480.37152684781717,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,pagerank_percentile,-0.004138742853450128,0.11572253685949287,0.9958698099394149,0.7937752525079467,1.2494174833686158,0.9714702488218743,-480.35501402955265,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,clustering_percentile,-0.09349838310061807,0.1115377489791829,0.9107394899991271,0.7318992792802291,1.1332794581510885,0.40188092194566494,-480.0212889742769,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,clustering_percentile,-0.09287074808964212,0.11224716294664008,0.9113112814083124,0.7313411874201511,1.1355688232897923,0.40802327564272234,-480.0159533776426,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,ubiquity_percentile,0.015775602129243192,0.10812899419213491,1.0159006938740387,0.8218830027415845,1.2557191429572008,0.8840033842615104,-480.36266441527346,5,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,ubiquity_percentile,0.05407375708857619,0.14332936325837864,1.0555624544974178,0.7970388987686039,1.3979394193508377,0.7059735438753585,-480.2843282190771,6,89,15189,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,holder_breadth_percentile,-0.040918404659223216,0.10916767886928294,0.9599074507280064,0.7750040256594289,1.188925842261436,0.7077931449211137,-479.95255187932725,5,89,15119,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,holder_breadth_percentile,-0.08238745845418427,0.12811160366344154,0.920915073230959,0.7164217840213701,1.1837783147011134,0.5201648557828069,-479.77740311257685,6,89,15119,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
not_popularity_adjusted,topic_complexity_percentile,-0.12937960641750693,0.1143884523310947,0.8786403647099557,0.7021691335543364,1.0994628695650335,0.25803203319329615,-479.3896415688327,5,89,15116,odds ratio per one-SD increase in within-meeting percentile,0.9976310177157413
popularity_adjusted,topic_complexity_percentile,-0.12658010513169898,0.1159256772906294,0.8811035657993144,0.7020192647834994,1.105872064499097,0.27487380383117566,-479.3832088992092,6,89,15116,odds ratio per one-SD increase in within-meeting percentile,0.9879662371019913
