specification,outcome,predictor,n_topic_meetings,coefficient,se_two_way_cluster_topic_meeting,incidence_rate_ratio,ci_low,ci_high,p_value,scale,p_value_bh
prior_meeting_add_strength_percentile,outcome_mass,strength_percentile,1980,-0.028599052180370677,0.07195146211515797,0.9718060298724659,0.8439821634807991,1.1189892400113142,0.6910157349956874,one SD of log1p predictor,0.9189508664393508
prior_meeting_add_degree_percentile,outcome_mass,degree_percentile,1980,-0.007642319313019397,0.07554397994627325,0.9923868089594694,0.8558086051051638,1.1507614818569625,0.919420398679085,one SD of log1p predictor,0.919420398679085
prior_meeting_add_closeness_percentile,outcome_mass,closeness_percentile,1980,-0.03791275308209203,0.06977018215861229,0.9627969382923263,0.8397405447846178,1.1038861349999898,0.5868580160543007,one SD of log1p predictor,0.9189508664393508
prior_meeting_add_betweenness_percentile,outcome_mass,betweenness_percentile,1980,-0.006999912678233692,0.04810762576051865,0.9930245296458873,0.9036701539074565,1.0912142137422194,0.8843119616909328,one SD of log1p predictor,0.919420398679085
prior_meeting_add_eigenvector_percentile,outcome_mass,eigenvector_percentile,1980,-0.023538584609357253,0.06958546024768814,0.9767362869536884,0.8522067760579007,1.119462788908006,0.7351606931514806,one SD of log1p predictor,0.9189508664393508
prior_meeting_add_pagerank_percentile,outcome_mass,pagerank_percentile,1980,-0.03322217541734499,0.0682477419144793,0.9673236201837682,0.8462099777100224,1.1057716297527278,0.6264086413468388,one SD of log1p predictor,0.9189508664393508
prior_meeting_add_clustering_percentile,outcome_mass,clustering_percentile,1980,0.022475980451949804,0.05959927965930749,1.0227304683457903,0.909974585684653,1.149458047881436,0.7060856743202666,one SD of log1p predictor,0.9189508664393508
prior_meeting_add_ubiquity_percentile,outcome_mass,ubiquity_percentile,1980,0.20046181001248353,0.14078223769194237,1.2219669444465742,0.927306273495255,1.610258936016718,0.15447134638402138,one SD of log1p predictor,0.5149044879467379
prior_meeting_add_holder_breadth_percentile,outcome_mass,holder_breadth_percentile,1584,-0.24122139286728264,0.10367954029306214,0.7856676659149638,0.6411875392999996,0.9627038010410501,0.019986269397287974,one SD of log1p predictor,0.19986269397287976
prior_meeting_add_topic_complexity_percentile,outcome_mass,topic_complexity_percentile,1570,0.14931004114212912,0.07570627684713091,1.1610329013792053,1.0009261671499134,1.346750082399554,0.04858358137681407,one SD of log1p predictor,0.24291790688407033
topic_complexity_given_ubiquity,outcome_mass,topic_complexity_percentile,1570,0.14379508236335736,0.08219255288743843,1.154647476648649,0.9828465042862325,1.3564791546970023,0.08020628650424898,one SD of log1p predictor,
topic_complexity_given_holder_breadth,outcome_mass,topic_complexity_percentile,1570,0.093008849066916,0.06662433408734528,1.0974714468233842,0.9631223294155254,1.2505613667201896,0.16270871573900691,one SD of log1p predictor,
