country,pioneer_score,topics_adopted,first_activity,abs_pioneer_score,intensity,pioneer_index,abs_pioneer_index,gdp_per_capita,residual,strategic_group,color
ACAP,5.5,2,2007,21.0,29.127162013080326,-5.5,-21.0,,,On-trend,gray7
ASOC,3.3793103448275863,29,1991,8.03448275862069,4.20815204957111,-3.3793103448275863,-8.03448275862069,,,On-trend,gray7
Argentina,0.36363636363636365,33,1961,0.36363636363636365,3.1946008613536483,-0.36363636363636365,-0.36363636363636365,,,On-trend,gray7
Australia,-1.6666666666666667,33,1961,-1.6666666666666667,3.0190827306299552,1.6666666666666667,1.6666666666666667,,,On-trend,gray7
Austria,10.5,2,1991,21.0,20.624479112006238,-10.5,-21.0,,,On-trend,gray7
Belarus,9.0,14,2006,24.071428571428573,9.961678364783696,-9.0,-24.071428571428573,,,On-trend,gray7
Belgium,4.52,25,1961,4.52,4.123721876251954,-4.52,-4.52,,,On-trend,gray7
Brazil,3.12,25,1987,7.48,4.525651436275507,-3.12,-7.48,,,On-trend,gray7
Bulgaria,6.0,12,1991,12.75,5.380862085346553,-6.0,-12.75,,,On-trend,gray7
CCAMLR,8.11111111111111,9,1991,9.666666666666666,17.876793248326848,-8.11111111111111,-9.666666666666666,,,On-trend,gray7
COMNAP,5.476190476190476,21,1992,11.047619047619047,5.543673463745726,-5.476190476190476,-11.047619047619047,,,On-trend,gray7
Canada,10.777777777777779,9,1995,21.11111111111111,14.695046498197465,-10.777777777777779,-21.11111111111111,,,On-trend,gray7
Chile,-5.344827586206897,29,1961,-5.344827586206897,2.805260522566328,5.344827586206897,5.344827586206897,,,On-trend,gray7
China,7.086956521739131,23,1985,10.695652173913043,4.3498678881142965,-7.086956521739131,-10.695652173913043,,,On-trend,gray7
Colombia,4.125,8,2013,23.125,4.407125333719019,-4.125,-23.125,,,On-trend,gray7
Czechia,8.727272727272727,11,2001,22.0,6.402310787805516,-8.727272727272727,-22.0,,,On-trend,gray7
