member,period_end,prior_breadth,breadth,n_added,retained_fraction,displacement_portfolio,displacement,null_displacement_mean,null_displacement_p05,delta_vs_null
Argentina,1966,3,2,0,1.0,0.0,,,,
Australia,1966,7,6,5,0.16666666666666666,0.4371357808857809,0.5245629370629371,0.619792727356715,0.5421052961744139,-0.09522979029377787
Belgium,1966,3,4,1,0.75,0.11206896551724138,0.4482758620689655,0.6918762775003902,0.44999999999999996,-0.24360041543142463
Chile,1966,3,5,3,0.4,0.4026315789473684,0.6710526315789473,0.6724321798890764,0.567615355001925,-0.0013795483101290973
France,1966,2,1,0,1.0,0.0,,,,
Japan,1966,1,2,1,0.5,0.3275862068965517,0.6551724137931034,0.7513793103448276,0.5155172413793103,-0.09620689655172421
New Zealand,1966,5,5,4,0.2,0.4853779840848807,0.6067224801061009,0.6509733446869223,0.5607829468325791,-0.04425086458082139
Norway,1966,2,2,0,1.0,0.0,,,,
Russian Federation,1966,4,4,1,0.75,0.11363636363636365,0.4545454545454546,0.6619028006929549,0.4545454545454546,-0.20735734614750034
South Africa,1966,2,2,0,1.0,0.0,,,,
United Kingdom,1966,4,6,3,0.5,0.3408333333333333,0.6816666666666666,0.6313184051530241,0.5525757575757576,0.05034826151364258
United States,1966,5,10,6,0.4,0.3573269230769231,0.5955448717948718,0.6218303625465137,0.5443257877180291,-0.026285490751641882
Argentina,1967,2,3,2,0.3333333333333333,0.42424242424242425,0.6363636363636364,0.7281805642633229,0.5452978056426332,-0.09181692789968654
Australia,1967,6,5,1,0.8,0.096,0.48,0.5847291793146002,0.3846153846153846,-0.10472917931460024
Belgium,1967,4,4,0,1.0,0.0,,,,
Chile,1967,5,5,0,1.0,0.0,,,,
France,1967,1,1,0,1.0,0.0,,,,
Japan,1967,2,2,0,1.0,0.0,,,,
New Zealand,1967,5,6,1,0.8333333333333334,0.11363636363636365,0.6818181818181819,0.6641156848000581,0.4603365384615385,0.017702497018123764
Norway,1967,2,2,0,1.0,0.0,,,,
Russian Federation,1967,4,3,0,1.0,0.0,,,,
South Africa,1967,2,2,0,1.0,0.0,,,,
United Kingdom,1967,6,6,0,1.0,0.0,,,,
United States,1967,10,10,0,1.0,0.0,,,,
Argentina,1968,3,3,0,1.0,0.0,,,,
Australia,1968,5,4,0,1.0,0.0,,,,
Belgium,1968,4,4,0,1.0,0.0,,,,
Chile,1968,5,6,1,0.8333333333333334,0.09649122807017545,0.5789473684210527,0.6226954097022156,0.44999999999999996,-0.04374804128116294
France,1968,1,4,3,0.25,0.46551724137931033,0.6206896551724138,0.7764367816091954,0.6206896551724138,-0.15574712643678157
Japan,1968,2,2,0,1.0,0.0,,,,
