member,period_end,from_topic,to_topic,distance
Australia,1966,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
Australia,1966,Operational issues,Exchange of Information,0.4545454545454546
Australia,1966,Historic Sites and Monuments,Management Plans,0.4375
Australia,1966,Science issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Australia,1966,Institutional and legal matters,Tourism and NG_Activities,0.6153846153846154
Belgium,1966,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Chile,1966,Inspections,Operation of the Antarctic Treaty system Reports,0.75
Chile,1966,Inspections,Operational issues,0.5789473684210527
Chile,1966,Inspections,Tourism and NG_Activities,0.6842105263157895
Japan,1966,Opening statements,Operational issues,0.6551724137931034
New Zealand,1966,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
New Zealand,1966,Opening statements,Fauna and Flora_General,0.7586206896551724
New Zealand,1966,Historic Sites and Monuments,Management Plans,0.4375
New Zealand,1966,Historic Sites and Monuments,Specially Protected Species,0.6923076923076923
Russian Federation,1966,Operational issues,Exchange of Information,0.4545454545454546
United Kingdom,1966,Cooperation with Other Organisations,Fauna and Flora_General,0.625
United Kingdom,1966,Environmental Protection General,Marine Protected Areas,0.72
United Kingdom,1966,Operation of the CEP,Specially Protected Species,0.7
United States,1966,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
United States,1966,Environmental Protection General,Institutional and legal matters,0.56
United States,1966,Historic Sites and Monuments,Management Plans,0.4375
United States,1966,Environmental Protection General,Marine Protected Areas,0.72
United States,1966,Fauna and Flora_General,Specially Protected Species,0.625
United States,1966,Historic Sites and Monuments,Tourism and NG_Activities,0.6923076923076923
Argentina,1967,Exchange of Information,Operational issues,0.4545454545454546
Argentina,1967,Exchange of Information,Tourism and NG_Activities,0.8181818181818181
Australia,1967,Exchange of Information,Environmental Protection General,0.48
New Zealand,1967,Management Plans,Exchange of Information,0.6818181818181819
Chile,1968,Inspections,Area Protection and Management Plans General,0.5789473684210527
