topic_i,topic_j,phi,label_cosine,divergence
Exchange of Information,Opening statements,0.5172413793103449,0.0,0.8020202020202021
Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5,0.0,0.7974747474747474
Educational issues,Opening statements,0.4827586206896552,0.0,0.7924242424242425
Environmental Protection General,Liability,0.48,0.0,0.7904040404040404
Inspections,Waste management and disposal,0.47368421052631576,0.0,0.788888888888889
Environmental Monitoring and Reporting,Science issues,0.4583333333333333,0.0,0.7838383838383838
Environmental Impact Assessment EIA Other EIA Matters,Inspections,0.45454545454545453,0.0,0.7777777777777777
Marine Protected Areas,Tourism and NG_Activities,0.45454545454545453,0.0,0.7777777777777777
Marine Protected Areas,Search and Rescue,0.45454545454545453,0.0,0.7777777777777777
Human Footprint and wilderness values,Operation of the CEP,0.45454545454545453,0.0,0.7777777777777777
Opening statements,Science issues,0.4482758620689655,0.0,0.7717171717171718
Marine living resources,Multiyear strategic workplan,0.4444444444444444,0.0,0.7707070707070707
Management Plans,Nonnative Species and Quarantine,0.4375,0.0,0.7656565656565657
Climate Change,Fauna and Flora_General,0.4375,0.0,0.7656565656565657
Biological Prospecting,CEP Strategy Discussions,0.42857142857142855,0.0,0.7611111111111111
Environmental Domains Analysis,Marine Acoustics,0.42857142857142855,0.0,0.7611111111111111
Drilling,Marine Acoustics,0.42857142857142855,0.0,0.7611111111111111
Operation of the Antarctic Treaty system General,Science issues,0.4230769230769231,0.0,0.7560606060606061
Human Footprint and wilderness values,Inspections,0.42105263157894735,0.0,0.747979797979798
Management Plans,Operational issues,0.42105263157894735,0.0,0.747979797979798
Inspections,Marine living resources,0.42105263157894735,0.0,0.747979797979798
Inspections,Liability,0.42105263157894735,0.0,0.747979797979798
Exchange of Information,Science issues,0.4166666666666667,0.0,0.7388888888888889
CEP Strategy Discussions,Human Footprint and wilderness values,0.4166666666666667,0.0,0.7388888888888889
Multiyear strategic workplan,Repair and remediation of environmental damage,0.4166666666666667,0.0,0.7388888888888889
Biological Prospecting,Exchange of Information,0.4090909090909091,0.0,0.7282828282828282
Environmental Protection General,Science issues,0.4,0.0,0.7181818181818183
Institutional and legal matters,Specially Protected Species,0.38461538461538464,0.0,0.7025252525252526
Inspections,Opening statements,0.3793103448275862,0.0,0.6924242424242424
Biological Prospecting,Climate Change,0.375,0.0,0.6868686868686869
International Polar Year,Science issues,0.375,0.0,0.6868686868686869
Fauna and Flora_General,Management Plans,0.375,0.0,0.6868686868686869
Fauna and Flora_General,Specially Protected Species,0.375,0.0,0.6868686868686869
Historic Sites and Monuments,Inspections,0.3684210526315789,0.0,0.6777777777777778
Environmental Monitoring and Reporting,Exchange of Information,0.36363636363636365,0.0,0.665151515151515
Exchange of Information,Liability,0.36363636363636365,0.0,0.665151515151515
Exchange of Information,Waste management and disposal,0.36363636363636365,0.0,0.665151515151515
Emergency report and contingency planning,Marine Protected Areas,0.36363636363636365,0.0,0.665151515151515
Emergency report and contingency planning,Marine Acoustics,0.36363636363636365,0.0,0.665151515151515
Environmental Protection General,Human Footprint and wilderness values,0.36,0.0,0.6545454545454545
Management Plans,Operation of the Antarctic Treaty system The Secretariat,0.35294117647058826,0.0,0.6479797979797979
Liability,Waste management and disposal,0.35294117647058826,0.0,0.6479797979797979
Liability,Marine Protected Areas,0.35294117647058826,0.0,0.6479797979797979
Environmental Monitoring and Reporting,Liability,0.35,0.0,0.6429292929292929
Liability,Opening statements,0.3448275862068966,0.0,0.6363636363636365
International Polar Year,Opening statements,0.3448275862068966,0.0,0.6363636363636365
Repair and remediation of environmental damage,Site Guidelines for Visitors,0.3333333333333333,0.0,0.6212121212121211
Safety and Operations in Antarctica,Science issues,0.3333333333333333,0.0,0.6212121212121211
Operation of the Antarctic Treaty system Reports,Science issues,0.3333333333333333,0.0,0.6212121212121211
Marine living resources,Operation of the CEP,0.3333333333333333,0.0,0.6212121212121211
CEP Strategy Discussions,Tourism and NG_Activities,0.3333333333333333,0.0,0.6212121212121211
Comprehensive Environmental Evaluations,Marine Protected Areas,0.3333333333333333,0.0,0.6212121212121211
Comprehensive Environmental Evaluations,Specially Protected Species,0.3333333333333333,0.0,0.6212121212121211
CEP Strategy Discussions,Specially Protected Species,0.3333333333333333,0.0,0.6212121212121211
Marine Protected Areas,Repair and remediation of environmental damage,0.3333333333333333,0.0,0.6212121212121211
Environmental Impact Assessment EIA Other EIA Matters,Liability,0.3181818181818182,0.0,0.6005050505050504
Exchange of Information,Management Plans,0.3181818181818182,0.0,0.6005050505050504
Emergency report and contingency planning,Environmental Impact Assessment EIA Other EIA Matters,0.3181818181818182,0.0,0.6005050505050504
Inspections,Mineral resources,0.3157894736842105,0.0,0.5909090909090908
Emergency report and contingency planning,Operational issues,0.3157894736842105,0.0,0.5909090909090908
