actor,breadth_topics,topic_assignments,iso3,gdp_per_capita,gdp_year,log_gdp_per_capita,log_topic_assignments
Argentina,17,476,ARG,13969.7836603737,2024.0,9.54465196611633,6.1675164908883415
Australia,21,643,AUS,64603.9856308464,2024.0,11.076031384939434,6.467698726104354
Austria,2,2,AUT,58268.8787651601,2024.0,10.972823417891926,1.0986122886681098
Belarus,13,34,BLR,8317.63399913792,2024.0,9.026133118269371,3.5553480614894135
Belgium,15,169,BEL,56614.5679499036,2024.0,10.94402161534754,5.135798437050262
Brazil,15,148,BRA,10310.5488778166,2024.0,9.240922813015535,5.003946305945459
Bulgaria,9,60,BGR,17596.0173663521,2024.0,9.775427869416982,4.110873864173311
Canada,7,28,CAN,54340.3477224733,2024.0,10.903022281974833,3.367295829986474
Chile,13,552,CHL,16709.8893972307,2024.0,9.723756002610664,6.315358001522335
China,16,127,CHN,13303.1481543868,2024.0,9.495755989537383,4.852030263919617
Colombia,8,56,COL,7919.20886825345,2024.0,8.977046589447056,4.04305126783455
Czechia,10,36,CZE,31823.3078290564,2024.0,10.367954250890415,3.6109179126442243
Denmark,2,4,DNK,71026.4832271897,2024.0,11.170808089674908,1.6094379124341003
Ecuador,10,104,ECU,6874.705739766,2024.0,8.83560412013018,4.653960350157523
Estonia,4,6,EST,31428.3547816104,2024.0,10.35546578294303,1.9459101490553132
Finland,15,67,FIN,53149.7671934051,2024.0,10.880869003579976,4.219507705176107
France,17,273,FRA,46103.0840855884,2024.0,10.738635126651344,5.6131281063880705
Germany,19,271,DEU,56103.7323182554,2024.0,10.934957619034956,5.605802066295998
Greece,2,11,GRC,24626.1481858973,2024.0,10.111564091791761,2.4849066497880004
Iceland,1,1,ISL,86040.5309851288,2024.0,11.3625737547379,0.6931471805599453
India,15,125,IND,2694.73780859961,2024.0,7.899056190521106,4.836281906951478
Italy,16,165,ITA,40385.3413957669,2024.0,10.606222161369622,5.111987788356544
Japan,15,165,JPN,32487.0778047567,2024.0,10.388597683244114,5.111987788356544
Kazakhstan,1,1,KAZ,14154.6324958076,2024.0,9.55779723435538,0.6931471805599453
Korea (DPRK),2,2,PRK,,,,1.0986122886681098
Korea (ROK),16,125,KOR,36238.639908315,2024.0,10.497881229328884,4.836281906951478
Malaysia,4,12,MYS,11874.4273684245,2024.0,9.382142406133784,2.5649493574615367
Monaco,5,8,MCO,288001.433369041,2024.0,12.570720736081535,2.1972245773362196
Netherlands,14,147,NLD,67520.4218956281,2024.0,11.120185377704525,4.997212273764115
New Zealand,23,519,NZL,49205.1792146792,2024.0,10.80375416553109,6.253828811575473
Norway,20,327,NOR,86785.4334489176,2024.0,11.371194069156742,5.793013608384144
Peru,14,113,PER,8452.37167056621,2024.0,9.042202352043386,4.736198448394496
Poland,12,78,POL,25103.565661423,2024.0,10.130765173254584,4.3694478524670215
Portugal,7,60,PRT,29292.242104753,2024.0,10.28507798536437,4.110873864173311
Romania,6,72,ROU,20080.2096215595,2024.0,9.907490013071868,4.290459441148391
Russian Federation,19,282,RUS,14889.0185546875,2024.0,9.608379210455828,5.645446897643238
Slovakia,1,1,SVK,25992.6748502048,2024.0,10.165570040777842,0.6931471805599453
South Africa,17,108,ZAF,6267.186814093,2024.0,8.743082858954319,4.6913478822291435
Spain,14,182,ESP,35326.7683069278,2024.0,10.472396264528527,5.209486152841421
Sweden,15,71,SWE,57117.4877440616,2024.0,10.952865613974476,4.276666119016055
Switzerland,3,10,CHE,103998.186685604,2024.0,11.55212874225616,2.3978952727983707
Türkiye,6,63,TUR,15892.7157287241,2024.0,9.673616152965664,4.1588830833596715
Ukraine,10,60,UKR,5389.47314453125,2024.0,8.592202912285297,4.110873864173311
United Kingdom,23,923,GBR,53246.3676145108,2024.0,10.882684867433,6.828712071641684
United States,16,673,USA,84534.0407841548,2024.0,11.34490958173981,6.513230110912307
Uruguay,16,130,URY,23906.5133029408,2024.0,10.081906223927517,4.875197323201151
Venezuela,5,21,VEN,4217.59102643391,2024.0,8.347019397218371,3.091042453358316
