actor_i,actor_j,portfolio_emd_1d,geo_km,log_geo_km
Argentina,Australia,0.07359878384987592,12882.861834368054,9.463653167086655
Argentina,Austria,0.24930119021270333,12269.615434793466,9.414881195306167
Argentina,Belarus,0.23030689058942788,13366.186751332549,9.500483420091658
Argentina,Belgium,0.16676937830840902,11847.565951818373,9.379877720554958
Argentina,Brazil,0.18457990049043785,2942.6509672099432,7.9870661435821235
Argentina,Bulgaria,0.3189556485969793,12648.26199483844,9.445275093004184
Argentina,Canada,0.26726641626496783,11310.457484525332,9.333483017852258
Argentina,Chile,0.08784475717624558,1916.8817604660137,7.558455061678607
Argentina,China,0.0711066692555921,18493.80463343022,9.825191070300573
Argentina,Colombia,0.35076763657513277,4664.018185147379,8.447632627068048
Argentina,Czechia,0.19127043433263516,12417.05589664171,9.426826282028818
Argentina,Denmark,0.31961374559620326,12480.791217352642,9.431946038740131
Argentina,Ecuador,0.2028369092187031,4204.236566183185,8.343848002103275
Argentina,Estonia,0.3080651261413202,13442.15738207543,9.506151120694923
Argentina,Finland,0.19311133313738862,13772.177233277702,9.530405693477968
Argentina,France,0.0621157779069479,11434.50501870692,9.344390819005513
Argentina,Germany,0.06155251290211867,12221.86225080426,9.410981614797684
Argentina,Greece,0.34385925827133573,12198.560804190462,9.409073256893075
Argentina,Iceland,0.317078634350317,12035.628805631117,9.395626596931319
Argentina,India,0.1341352563891652,16104.828352993449,9.686874403713684
Argentina,Italy,0.13550307182154347,11779.111798986367,9.374083055295554
Argentina,Japan,0.22025956029827748,18015.201184725385,9.798971190742671
Argentina,Kazakhstan,0.44470249059505573,15861.895088083951,9.671674976580537
Argentina,Korea (DPRK),0.3416004252366375,19011.65940933401,9.852807723063336
Argentina,Korea (ROK),0.19016457206028933,18941.750935118594,9.849123808883139
Argentina,Malaysia,0.4127862235725209,16041.282701149365,9.68292084712275
Argentina,Netherlands,0.07756741939618167,11985.221868314839,9.391429658863581
Argentina,New Zealand,0.038811998336795786,9571.494393869323,9.166544626265566
Argentina,Norway,0.020917299054298916,14012.54812386956,9.547708501727385
Argentina,Peru,0.2293951848916339,3330.7351535061503,8.110948325427746
Argentina,Poland,0.08317254867492033,12751.891944084675,9.453434927349543
Argentina,Portugal,0.2699802385723,10256.071359086109,9.235625136925453
Argentina,Romania,0.2588536451222534,12762.710219931318,9.454282934026299
Argentina,Russian Federation,0.11391312371923776,16873.812903468584,9.733518166805181
Argentina,Slovakia,0.317078634350317,12609.595228093613,9.442213329164915
Argentina,South Africa,0.1119205042851982,8165.552997712095,9.007679730938708
Argentina,Spain,0.053275231715124674,10570.251401190035,9.2657988629892
Argentina,Sweden,0.11730378254180795,13082.688223479456,9.479045125567245
Argentina,Switzerland,0.3232413627614331,11790.05427065426,9.37501159662975
Argentina,Türkiye,0.35275924428619726,13203.297770258081,9.488221908452033
Argentina,Ukraine,0.130350706110131,13355.260924045342,9.499665662908079
Argentina,United Kingdom,0.026332570784676927,11781.221223834546,9.374262121088195
Argentina,United States,0.027739366485352402,9038.44599679464,9.109242535599764
Argentina,Uruguay,0.18190159064027575,926.690912146877,6.831620081861574
Argentina,Venezuela,0.3764847787759243,4863.558499473232,8.489525650503472
Australia,Austria,0.17856530557299496,14093.864839765723,9.553494863927952
Australia,Belarus,0.1580890902517466,13197.91507410633,9.487814147167878
Australia,Belgium,0.09477312921296323,14787.67690390862,9.601549471285828
Australia,Brazil,0.11236210015275658,15677.51987188181,9.659983109957869
Australia,Bulgaria,0.24673784825929793,13271.443960843395,9.493369935335867
Australia,Canada,0.19504861592728653,13910.223596876906,9.540379359330128
Australia,Chile,0.03219261287768948,10974.828915924094,9.303359649295592
Australia,China,0.032379379045847076,7738.175060802456,8.953921158525157
Australia,Colombia,0.2785498362374515,16430.861401936258,9.706916638259312
Australia,Czechia,0.11905263399495392,14040.36380711898,9.549691589432049
Australia,Denmark,0.24887786095649495,14333.783087278169,9.570374483697503
Australia,Ecuador,0.13061910888102185,15525.38489240408,9.650231698275629
Australia,Estonia,0.23623831790359215,13348.986070760498,9.4991957111883
Australia,Finland,0.12175366828793817,13229.295410694765,9.490188998751629
Australia,France,0.027947279817878617,15066.65247824367,9.62023913544228
Australia,Germany,0.02358463636948298,14378.53524470716,9.573491765496295
Australia,Greece,0.2731233736316273,13492.905047979439,9.50991927427414
Australia,Iceland,0.24521189969651858,15109.831670203142,9.623100914913742
Australia,India,0.062156173854080746,7797.82605225649,8.961600262581317
Australia,Italy,0.06339929015689609,14289.776165850513,9.567299607109879
Australia,Japan,0.1480417599605962,6798.404348734906,8.824443209030692
Australia,Kazakhstan,0.3724846902573743,10473.919217166382,9.256643562108371
Australia,Korea (DPRK),0.27086454059692905,7276.470682672532,8.892401227302804
Australia,Korea (ROK),0.11794677172260808,6809.629919470502,8.826093053976798
Australia,Malaysia,0.3405684232348396,4622.395353762145,8.438668324554436
